"","RegionSalesCar","2017 Q4","2017 Q3","Quarter_Rev","2016 Q4","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",550990,555680,"",512700,444544,2163.53066490671,639.032,2802.56266490671,112102.506596268,0.284137030603603,0.284138785368646
"2","CA Condo/Townhomes",449720,446800,"",413720,357440,1739.60822970112,513.82,2253.42822970112,90137.1291880448,0.375529253766276,0.382078033829701
"3","Los Angeles Metropolitan Area",496250,502000,"",460000,401600,1954.52849442695,577.3,2531.82849442695,101273.139777078,0.30208575889415,0.30208575889415
"4","Inland Empire",340000,339900,"",315000,271920,1323.39489094765,390.885,1714.27989094765,68571.1956379061,0.426472548654735,0.426472548654735
"5","S.F. Bay Area",895000,860000,"",790000,688000,3348.39542869956,989,4337.39542869956,173495.817147982,0.226892751155122,0.226892751155122
"6","United States",247800,254000,"",235000,203200,988.944696383358,292.1,1281.04469638336,51241.7878553343,0.547293707409777,0.547293707409777
"7","Alameda",867250,865000,"",779500,692000,3367.8628439827,994.75,4362.6128439827,174504.513759308,0.196351679724072,0.196351679724072
"8","Contra-Costa",612000,624450,"",550000,499560,2431.28549471098,718.1175,3149.40299471098,125976.119788439,0.33171175436934,0.33171175436934
"9","Marin",1250000,1225000,"",1149500,980000,4769.51674436856,1408.75,6178.26674436856,247130.669774742,0.181641024511013,0.181641024511013
"10","Napa",675000,653000,"",620000,522400,2542.44443597769,750.95,3293.39443597769,131735.777439108,0.263904405934735,0.263904405934735
"11","San Francisco",1501504,1370000,"",1353000,1096000,5334.07178757953,1575.5,6909.57178757953,276382.871503181,0.127729689025099,0.127729689025099
"12","San Mateo",1500000,1441250,"",1300000,1153000,5611.48245536423,1657.4375,7268.91995536423,290756.798214569,0.147560189889671,0.147560189889671
"13","Santa Clara",1270000,1165000,"",1005000,932000,4535.90776097091,1339.75,5875.65776097091,235026.310438837,0.17025542694974,0.17025542694974
"14","Solano",415000,415750,"",392500,332600,1618.71558079284,478.1125,2096.82808079284,83873.1232317136,0.434958615596358,0.434958615596358
"15","Sonoma",655000,630000,"",589000,504000,2452.89432567526,724.5,3177.39432567526,127095.77302701,0.246536860496677,0.246536860496677
"16","Los Angeles",553330,595110,"",506640,476088,2317.05070182953,684.3765,3001.42720182953,120057.088073181,0.22304699641769,0.22304699641769
"17","Orange County",785000,790000,"",743500,632000,3075.85161473564,908.5,3984.35161473564,159374.064589426,0.207128700166542,0.207128700166542
"18","Riverside County",385000,387000,"",355600,309600,1506.7779429148,445.05,1951.8279429148,78073.1177165921,0.380760286970095,0.380760286970095
"19","San Bernardino",276250,270000,"",250000,216000,1051.2404252894,310.5,1361.7404252894,54469.6170115759,0.511327208949466,0.511327208949466
"20","San Diego",610000,607000,"",568000,485600,2363.34421537283,698.05,3061.39421537283,122455.768614913,0.256892793273988,0.256892793273988
"21","Ventura",640000,634000,"",6e+05,507200,2468.46825790177,729.1,3197.56825790177,127902.730316071,0.267950224843412,0.267950224843412
"22","Monterey",599950,585000,"",507000,468000,2277.68758812703,672.75,2950.43758812703,118017.503525081,0.221181711687452,0.221181711687452
"23","San Luis Obispo",594325,599000,"",550000,479200,2332.19635091981,688.85,3021.04635091981,120841.854036792,0.234519527496755,0.234519527496755
"24","Santa Barbara",710000,664535,"",680000,531628,2587.35576303589,764.21525,3351.57101303589,134062.840521435,0.198421347049685,0.198421347049685
"25","Santa Cruz",855000,830000,"",8e+05,664000,3231.59093700074,954.5,4186.09093700074,167443.63748003,0.174729405521013,0.174729405521013
"26","Fresno",259900,260000,"",240000,208000,1012.30559472312,299,1311.30559472312,52452.2237889249,0.454622392842029,0.454755043624431
"27","Kern (Bakersfield)",233250,235000,"",225000,188000,914.968518307438,270.25,1185.21851830744,47408.7407322975,0.533026542761235,0.533026542761235
"28","Kings County",225000,225000,"",215000,180000,876.033687741164,258.75,1134.78368774116,45391.3475096465,0.516872893253363,0.516872893253363
"29","Madera",243950,264900,"R",229950,211920,1031.3836617006,304.635,1336.0186617006,53440.7464680239,0.435972111534336,0.413584725141827
"30","Merced",250000,255000,"",230125,204000,992.838179439986,293.25,1286.08817943999,51443.5271775994,0.467055030264864,0.467055030264864
"31","Placer County",453750,455000,"",429500,364000,1771.53479076547,523.25,2294.78479076547,91791.3916306186,0.436639731449571,0.436639731449571
"32","Sacramento",349900,350000,"",319000,280000,1362.71906981959,402.5,1765.21906981959,70608.7627927835,0.429677379640572,0.429677379640572
"33","San Benito",552000,550000,"",5e+05,440000,2141.41568114507,632.5,2773.91568114507,110956.627245803,0.310098826076604,0.310098826076604
"34","San Joaquin",349950,352250,"",320000,281800,1371.479406697,405.0875,1776.566906697,71062.67626788,0.405274236217341,0.405274236217341
"35","Stanislaus",298250,295000,"",275000,236000,1148.57750170508,339.25,1487.82750170508,59513.1000682033,0.456988528564802,0.456988528564802
"36","Tulare",220000,225000,"",210000,180000,876.033687741164,258.75,1134.78368774116,45391.3475096465,0.509534190257631,0.509534190257631
"37","Amador",325000,320000,"",275000,256000,1245.91457812077,368,1613.91457812077,64556.5831248306,0.444276199856865,0.444276199856865
"38","Butte County",308500,299900,"",290250,239920,1167.65556868256,344.885,1512.54056868256,60501.6227473022,0.397433545883188,0.397433545883188
"39","Calaveras",301500,339000,"",288000,271200,1319.89075619669,389.85,1709.74075619669,68389.6302478675,0.441743393863777,0.441743393863777
"40","El Dorado County",455000,462750,"",430000,370200,1801.70928445433,532.1625,2333.87178445433,93354.8713781731,0.412719916249755,0.412719916249755
"41","Humboldt",310500,318000,"",292341.5,254400,1238.12761200751,365.7,1603.82761200751,64153.1044803005,0.332188584227221,0.332188584227221
"42","Lake County",265000,249950,"",247000,199960,973.176090004017,287.4425,1260.61859000402,50424.7436001607,0.377617405725563,0.377617405725563
"43","Lassen",180000,186500,"",152880,149200,726.134590061009,214.475,940.609590061009,37624.3836024404,0.639863020568964,0.639863020568964
"44","Mariposa",291750,270000,"R",249900,216000,1051.2404252894,310.5,1361.7404252894,54469.6170115759,0.510547413869259,0.485505023026201
"45","Mendocino",389500,391000,"",365500,312800,1522.35187514131,449.65,1972.00187514131,78880.0750056525,0.275415740533556,0.275415740533556
"46","Mono",588500,571000,"",533000,456800,2223.17882533424,656.65,2879.82882533424,115193.15301337,0.201928744005089,0.201928744005089
"47","Nevada",395000,393000,"",358000,314400,1530.13884125457,451.95,1982.08884125457,79283.5536501826,0.389593469166592,0.389593469166592
"48","Plumas",295000,285000,"",246500,228000,1109.64267113881,327.75,1437.39267113881,57495.7068455523,0.466384059407997,0.466384059407997
"49","Shasta",255000,250000,"",245000,2e+05,973.370764156849,287.5,1260.87076415685,50434.8305662739,0.47957728945409,0.47957728945409
"50","Siskiyou County",198500,203500,"",189250,162800,792.323802023675,234.025,1026.34880202367,41053.952080947,0.494674550251456,0.494674550251456
"51","Sutter",275000,280600,"",255000,224480,1092.51134568965,322.69,1415.20134568965,56608.0538275859,0.51192029102225,0.51192029102225
"52","Tehama",210000,208500,"",194250,166800,811.791217306812,239.775,1051.56621730681,42062.6486922725,0.557849653863883,0.557849653863883
"53","Tuolumne",275000,289000,"",245000,231200,1125.21660336532,332.35,1457.56660336532,58302.6641346127,0.451776228305145,0.451776228305145
"54","Yolo",434950,435000,"",385000,348000,1693.66512963292,500.25,2193.91512963292,87756.6051853167,0.341625414622486,0.341625414622486
"55","Yuba",272500,268516,"",253500,214812.8,1045.46249643336,308.7934,1354.25589643336,54170.2358573345,0.429065584911755,0.429065584911755
