"","RegionSalesCar","2017 Q4","2017 Q3","Quarter_Rev","2016 Q4","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",550990,555680,NA,435795,392215.5,1668.4403344963,501.16425,2169.6045844963,65088.137534889,0.496481554360775,0.497587257257498,""
"2","CA Condo/Townhomes",449720,446800,NA,351662,316495.8,1346.33730288241,404.4113,1750.74860288241,52522.4580864722,0.578155041463522,0.578171544491832,""
"3","Los Angeles Metropolitan Area",496250,502000,NA,391000,351900,1496.94276159216,449.65,1946.59276159216,58397.7828477647,0.526528021308206,0.523954691877488,"R"
"4","Inland Empire",340000,339900,NA,267750,240975,1025.08036935115,307.9125,1332.99286935115,39989.7860805345,0.642082120954749,0.638894466578646,""
"5","S.F. Bay Area",895000,860000,NA,671500,604350,2570.83648186479,772.225,3343.06148186479,100291.844455944,0.435825578108658,0.432244008738687,"R"
"6","United States",247800,254000,"1",199750,179775,764.742497769906,229.7125,994.454997769906,29833.6499330972,0.728693286357567,0.728693286357567,""
"7","Alameda",867250,865000,NA,662575,596317.5,2536.66713621975,761.96125,3298.62838621975,98958.8515865925,0.431785125271393,0.431785125271393,""
"8","Contra-Costa",612000,624450,NA,467500,420750,1789.82286712106,537.625,2327.44786712106,69823.4360136317,0.576012529189973,0.576012529189973,""
"9","Marin",1250000,1225000,NA,977075,879367.5,3740.72979228301,1123.63625,4864.36604228301,145930.98126849,0.349546383506328,0.349546383506328,""
"10","Napa",675000,653000,NA,527000,474300,2017.61850475465,606.05,2623.66850475465,78710.0551426394,0.471610249025947,0.471610249025947,""
"11","San Francisco",1501504,1370000,NA,1150050,1035045,4402.9642531178,1322.5575,5725.5217531178,171765.652593534,0.245906352816277,0.245906352816277,""
"12","San Mateo",1500000,1441250,NA,1105000,994500,4230.49041319522,1270.75,5501.24041319522,165037.212395857,0.279982688353773,0.279982688353773,""
"13","Santa Clara",1270000,1165000,NA,854250,768825,3270.49451173939,982.3875,4252.88201173939,127586.460352182,0.399263764775338,0.399263764775338,""
"14","Solano",415000,415750,NA,333625,300262.5,1277.28268244548,383.66875,1660.95143244548,49828.5429733644,0.637838517051278,0.637838517051278,""
"15","Sonoma",655000,630000,NA,500650,450585,1916.73757951691,575.7475,2492.48507951691,74774.5523855074,0.451017548574996,0.451017548574996,""
"16","Los Angeles",553330,595110,NA,430644,387579.6,1648.71974072402,495.2406,2143.96034072402,64318.8102217207,0.463593103387699,0.466274837609942,"R"
"17","Orange County",785000,790000,NA,631975,568777.5,2419.51509400819,726.77125,3146.28634400819,94388.5903202457,0.420130541313663,0.419064525506085,""
"18","Riverside County",385000,387000,NA,302260,272034,1157.20183917863,347.599,1504.80083917863,45144.025175359,0.603284727025199,0.602380437445836,""
"19","San Bernardino",276250,270000,NA,212500,191250,813.555848691389,244.375,1057.93084869139,31737.9254607417,0.711168698776655,0.709812698789415,""
"20","San Diego",610000,607000,NA,482800,434520,1848.39888822684,555.22,2403.61888822684,72108.5666468051,0.46235859717684,0.441530214357431,"R"
"21","Ventura",640000,634000,NA,510000,459000,1952.53403685933,586.5,2539.03403685933,76171.02110578,0.537612125780634,0.51794889564987,"R"
"22","Monterey",599950,585000,NA,430950,387855,1649.89126114614,495.5925,2145.48376114614,64364.5128343841,0.47557403403243,0.47557403403243,""
"23","San Luis Obispo",594325,599000,NA,467500,420750,1789.82286712106,537.625,2327.44786712106,69823.4360136317,0.45779275025009,0.443903043094716,"R"
"24","Santa Barbara",710000,664535,NA,578000,520200,2212.87190844058,664.7,2877.57190844058,86327.1572532174,0.396297949904411,0.395428886479344,""
"25","Santa Cruz",855000,830000,NA,680000,612000,2603.37871581245,782,3385.37871581245,101561.361474373,0.348792979029871,0.348792979029871,""
"26","Fresno",259900,260000,NA,204000,183600,781.013614743734,234.6,1015.61361474373,30468.408442312,0.659970085353591,0.664024387849272,""
"27","Kern (Bakersfield)",233250,235000,NA,191250,172125,732.20026382225,219.9375,952.13776382225,28564.1329146675,0.711058812479037,0.709886237135196,""
"28","Kings County",225000,225000,NA,182750,164475,699.658029874595,210.1625,909.820529874595,27294.6158962378,0.728824723172266,0.728571090079809,""
"29","Madera",243950,264900,NA,195457.5,175911.75,748.30866962634,224.776125,973.08479462634,29192.5438387902,0.676897356045205,0.677195280407887,""
"30","Merced",250000,255000,NA,195606.25,176045.625,748.878158720424,224.9471875,973.825346220424,29214.7603866127,0.663948116081578,0.662934193521644,""
"31","Placer County",453750,455000,NA,365075,328567.5,1397.68894805181,419.83625,1817.52519805181,54525.7559415542,0.653681945975086,0.649401371804045,""
"32","Sacramento",349900,350000,NA,271150,244035,1038.09726293021,311.8225,1349.91976293021,40497.5928879064,0.636371574974858,0.630299995008268,"R"
"33","San Benito",552000,550000,NA,425000,382500,1627.11169738278,488.75,2115.86169738278,63475.8509214833,0.558726479608001,0.558726479608001,""
"34","San Joaquin",349950,352250,NA,272000,244800,1041.35148632498,312.8,1354.15148632498,40624.5445897494,0.621436286810782,0.616171119116301,""
"35","Stanislaus",298250,295000,NA,233750,210375,894.911433560528,268.8125,1163.72393356053,34911.7180068158,0.652561821746693,0.651234072024569,""
"36","Tulare",220000,225000,NA,178500,160650,683.386912900767,205.275,888.661912900767,26659.857387023,0.663589619902829,0.659366704815561,""
"37","Amador",325000,320000,NA,233750,210375,894.911433560528,268.8125,1163.72393356053,34911.7180068158,0.671623514484838,0.667276725619647,""
"38","Butte County",308500,299900,NA,246712.5,222041.25,944.538340330703,283.719375,1228.2577153307,36847.7314599211,0.580229597686053,0.577411416842078,""
"39","El Dorado County",455000,462750,NA,365500,328950,1399.31605974919,420.325,1819.64105974919,54589.2317924757,0.567266512323628,0.562538116128562,"R"
"40","Humboldt",310500,318000,NA,248490.275,223641.2475,951.344548560855,285.76381625,1237.10836481086,37113.2509443256,0.581897493191265,0.57698476055102,""
"41","Lake County",265000,249950,NA,209950,188955,803.793178507093,241.4425,1045.23567850709,31357.0703552128,0.597410643664916,0.599158002949593,""
"42","Mariposa",291750,270000,NA,212415,191173.5,813.230426351913,244.27725,1057.50767635191,31725.2302905574,0.664517067583235,0.669180523669742,"R"
"43","Mendocino",389500,391000,NA,310675,279607.5,1189.41865078681,357.27625,1546.69490078681,46400.8470236043,0.499229773643875,0.497183962503274,""
"44","Shasta",255000,250000,NA,208250,187425,797.284731717561,239.4875,1036.77223171756,31103.1669515268,0.637380449007028,0.637280533149504,""
"45","Siskiyou County",198500,203500,NA,160862.5,144776.25,615.861777459382,184.991875,800.853652459382,24025.6095737814,0.687708554214927,0.677972050248703,"R"
"46","Sutter",275000,280600,NA,216750,195075,829.826965665217,249.2625,1079.08946566522,32372.6839699565,0.698033526483514,0.693734495794628,"R"
"47","Tehama",210000,208500,NA,165112.5,148601.25,632.13289443321,189.879375,822.01226943321,24660.3680829963,0.758929322157518,0.754272053882008,"R"
"48","Yolo",434950,435000,NA,327250,294525,1252.87600698474,376.3375,1629.21350698474,48876.4052095422,0.551718003763087,0.54394532814168,"R"
"49","Yuba",272500,268516,NA,215475,193927.5,824.945630573069,247.79625,1072.74188057307,32182.2564171921,0.626795837550049,0.627545772351392,""
