"","RegionSalesCar","2017 Q4","2017 Q3","2016 Q4","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"40","El Dorado County",386750,462750,430000,348075,1528.24909427635,444.7625,1973.01159427635,59190.3478282906,0.599076416654973,0.594061453983459,"",0.567266512323628,"R"
"41","Humboldt",263925,318000,292341.5,237532.5,1042.90405224793,303.51375,1346.41780224793,40392.5340674378,0.532720997699267,0.525006024725774,"",0.581897493191265,""
"42","Lake County",225250,249950,247000,202725,890.079142820293,259.0375,1149.11664282029,34473.4992846088,0.520686720942355,0.548878302045355,"",0.597410643664916,""
"43","Lassen",153000,186500,152880,137700,604.582059274161,175.95,780.532059274161,23415.9617782248,0.790786192752469,0.784569458759164,"",NA,NA
"44","Mariposa",247987.5,270000,249900,223188.75,979.926754406869,285.185625,1265.11237940687,37953.3713822061,0.650173713381544,0.677341018478588,"R",0.664517067583235,"R"
"45","Mendocino",331075,391000,365500,297967.5,1308.24840048492,380.73625,1688.98465048492,50669.5395145476,0.460806811319498,0.460540566468552,"",0.499229773643875,""
"46","Mono",500225,571000,533000,450202.5,1976.64745490469,575.25875,2551.90620490469,76557.1861471406,0.444313538506351,0.463202082397949,"",NA,NA
"47","Nevada",335750,393000,358000,302175,1326.72174118496,386.1125,1712.83424118496,51385.0272355489,0.582059874188673,0.585071647751683,"",NA,NA
"48","Plumas",250750,285000,246500,225675,990.842819365986,288.3625,1279.20531936599,38376.1595809796,0.618594938783389,0.630492889044391,"",NA,NA
"49","Shasta",216750,250000,245000,195075,856.491250638395,249.2625,1105.75375063839,33172.6125191518,0.653133931310653,0.661870446050126,"",0.637380449007028,""
"50","Siskiyou County",168725,203500,189250,151852.5,666.719659810672,194.03375,860.753409810672,25822.6022943202,0.666244865385082,0.659608797526942,"",0.687708554214927,"R"
"51","Sutter",233750,280600,255000,210375,923.66703500219,268.8125,1192.47953500219,35774.3860500657,0.704729682624913,0.698864062938855,"",0.698033526483514,"R"
"52","Tehama",178500,208500,194250,160650,705.345735819855,205.275,910.620735819855,27318.6220745956,0.727365354758788,0.730698064773988,"",0.758929322157518,"R"
"53","Tuolumne",233750,289000,245000,210375,923.66703500219,268.8125,1192.47953500219,35774.3860500657,0.654436360342214,0.638447829284668,"",NA,NA
"54","Yolo",369707.5,435000,385000,332736.75,1460.90537045165,425.163625,1886.06899545165,56582.0698635494,0.512034272582405,0.513638734661881,"",0.551718003763087,"R"
"55","Yuba",231625,268516,253500,208462.5,915.270061956716,266.36875,1181.63881195672,35449.1643587015,0.611885930346197,0.619363061271346,"",0.626795837550049,""
