"","RegionSalesCar","2015 Q4","2015 Q3","Quarter_Rev","2014 Q4","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",483050,488540,"",451750,390832,1902.12221248475,561.821,2463.94321248475,98557.7284993899,0.289693246176515,0.290776614707705
"2","CA Condo/Townhomes",393470,389340,"R",369860,311472,1515.88869326731,447.741,1963.62969326731,78545.1877306924,0.385648744653351,0.384294533989363
"3","Los Angeles Metropolitan Area",442830,444790,"",414040,355832,1731.7823287573,511.5085,2243.2908287573,89731.633150292,0.311753422918686,0.312066524182934
"4","Inland Empire",295550,292830,"",277730,234264,1140.1286434722,336.7545,1476.8831434722,59075.325738888,0.446640812404648,0.447157687187971
"5","S.F. Bay Area",735170,754580,"R",683970,603664,2937.9444448699,867.767,3805.7114448699,152228.457794796,0.224433621335379,0.203813204408194
"6","United States",223000,223000,"",208400,178400,868.246721627909,256.45,1124.69672162791,44987.8688651164,0.575358275865549,0.575358275865549
"7","Alameda",728160,750460,"",658350,600368,2921.90329467659,863.029,3784.93229467659,151397.291787064,0.199252427743212,0.199252427743212
"8","Contra-Costa",526550,560180,"R",478370,448144,2181.05133866153,644.207,2825.25833866153,113010.333546461,0.337779849638864,0.187318330483877
"9","Marin",1171340,1063190,"",1009620,850552,4139.51225097568,1222.6685,5362.18075097568,214487.230039027,0.185273897439677,0.185275991141686
"10","Napa",655940,646260,"",581040,517008,2516.20236017602,743.199,3259.40136017602,130376.054407041,0.210541911011221,0.210541911011221
"11","San Francisco",1270110,1248790,"",1139320,999032,4862.14270628572,1436.1085,6298.25120628572,251930.048251429,0.104862506184279,0.104862506184279
"12","San Mateo",1195000,1250000,"",1050000,1e+06,4866.85382078424,1437.5,6304.35382078424,252174.15283137,0.129692370408178,0.129692370408178
"13","Santa Clara",940000,965000,"",855000,772000,3757.21114964544,1109.75,4866.96114964544,194678.445985817,0.185591101902264,0.185591101902264
"14","Solano",355900,361880,"",327590,289504,1408.97364853232,416.162,1825.13564853232,73005.4259412929,0.436171705427133,0.436171705427133
"15","Sonoma",551340,565790,"",494440,452632,2202.89377860921,650.6585,2853.55227860921,114142.091144369,0.241654329194242,0.241654329194242
"16","Los Angeles",481940,506780,"",450880,405424,1973.13934343763,582.797,2555.93634343763,102237.453737505,0.241482573105868,0.241482573105868
