"","RegionSalesCar","2015 Q4","2015 Q3","2014 Q4","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",410592.5,488540,451750,369533.25,1489.24063699948,472.181375,1961.42201199948,58842.6603599845,0.512275252127789,0.508288097532197,"",0.535134037105592,""
"2","CA Condo/Townhomes",334449.5,389340,369860,301004.55,1213.06596302699,384.616925,1597.68288802699,47930.4866408096,0.589057579688385,0.593828939293076,"",0.611283925484784,""
"3","Los Angeles Metropolitan Area",376405.5,444790,414040,338764.95,1365.24258623845,432.866325,1798.10891123845,53943.2673371534,0.52821883698601,0.527399247745843,"",0.554974436824419,"R"
"4","Inland Empire",251217.5,292830,277730,226095.75,911.179112442185,288.900125,1200.07923744218,36002.3771232655,0.646588969588678,0.651006340208395,"",0.67570376835405,""
"5","S.F. Bay Area",624894.5,754580,683970,562405.05,2266.52528538021,718.628675,2985.15396038021,89554.6188114063,0.455443300588616,0.444146716123756,"R",0.473472176198199,"R"
"6","United States",189550,223000,208400,170595,687.507839873481,217.9825,905.49033987348,27164.7101962044,0.746052765622341,0.746078373436517,"",0.770506664649306,"R"
"7","Alameda",618936,750460,658350,557042.4,2244.91349184876,711.7764,2956.68989184876,88700.6967554628,0.426130988044872,0.413258527624054,"",0.450517196661381,"R"
"8","Contra-Costa",447567.5,560180,478370,402810.75,1623.35091069678,514.702625,2138.05353569678,64141.6060709033,0.581836959884621,0.555108894854044,"R",0.615175133339544,""
"9","Marin",995639,1063190,1009620,896075.1,3611.23512626638,1144.98485,4756.21997626638,142686.599287991,0.327779791042702,0.366337757538035,"",0.307311134966562,""
"10","Napa",557549,646260,581040,501794.1,2022.25960756328,641.18135,2663.44095756328,79903.2287268983,0.441151831159085,0.447585038123661,"",0.471844925881453,""
"11","San Francisco",1079593.5,1248790,1139320,971634.15,3915.74252242918,1241.532525,5157.27504742918,154718.251422875,0.236694189166782,0.240971885847202,"",0.257221305438748,""
"12","San Mateo",1015750,1250000,1050000,914175,3684.17878317852,1168.1125,4852.29128317852,145568.738495355,0.288117296463422,0.268197553324211,"",0.346795469505066,""
"13","Santa Clara",799000,965000,855000,719100,2898.01510978059,918.85,3816.86510978059,114505.953293418,0.414899916333115,0.401213839727579,"",0.442478288734277,""
"14","Solano",302515,361880,327590,272263.5,1097.23784847969,347.89225,1445.13009847969,43353.9029543908,0.667926073662435,0.662912385836906,"",0.711060594990075,""
"15","Sonoma",468639,565790,494440,421775.1,1699.77835173025,538.93485,2238.71320173025,67161.3960519074,0.484356412334573,0.471651570234004,"",NA,NA
"16","Los Angeles",409649,506780,450880,368684.1,1485.8185127741,471.09635,1956.9148627741,58707.4458832231,0.473679239815279,0.454085841579488,"",0.499010695024576,""
"17","Orange County",602395,715250,688450,542155.5,2184.91841308671,692.75425,2877.67266308671,86330.1798926012,0.429293646316744,0.425974116848387,"",0.449241895995331,""
"18","Riverside County",289221,336130,321610,260298.9,1049.01980984462,332.60415,1381.62395984462,41448.7187953386,0.602350359118188,0.608493871392769,"",0.630584106311292,""
"19","San Bernardino",198670.5,230210,212310,178803.45,720.588374052146,228.471075,949.059449052146,28471.7834715644,0.716729690615201,0.722417757815033,"",0.751193521421645,""
"20","San Diego",464754.5,554370,493110,418279.05,1685.68906550504,534.467675,2220.15674050504,66604.7022151511,0.469149452088724,0.46352108976925,"",0.511137893649316,""
"21","Ventura",517165.5,614700,569190,465448.95,1875.78652472745,594.740325,2470.52684972745,74115.8054918236,0.494934364164543,0.490572143498894,"",0.541089313801105,""
"22","Monterey",425807.5,480000,451550,383226.75,1544.42624387722,489.678625,2034.10486887722,61023.1460663166,0.487667519025285,0.508394973220012,"",0.506755999522255,""
"23","San Luis Obispo",460691.5,523240,468000,414622.35,1670.95235037232,529.795225,2200.74757537232,66022.4272611697,0.487845138981055,0.502277366696296,"",0.492007442595526,""
"24","Santa Barbara",516698,686830,626370,465028.2,1874.09087758875,594.2027,2468.29357758875,74048.8073276625,0.441498813201288,0.389998045065906,"",0.421224393524475,""
"25","Santa Cruz",612000,740000,700050,550800,2219.75625430003,703.8,2923.55625430003,87706.6876290008,0.418838411993919,0.405788880984406,"",0.381915483720773,""
"26","Fresno",186966,220860,201840,168269.4,678.135535688658,215.0109,893.146435688658,26794.3930706597,0.673751751526096,0.673328678280108,"",0.718835360324568,""
"27","Kings County",162324.5,194410,181050,146092.05,588.759516505106,186.673175,775.432691505106,23262.9807451532,0.784199785626421,0.77890346568265,"",0.803217267865933,""
"28","Madera",187705.5,215910,219700,168934.95,680.817741162604,215.861325,896.679066162604,26900.3719848781,0.676419350197001,0.684546553226419,"",0.704946828902232,""
"29","Merced",174411.5,199510,182960,156970.35,632.599702527531,200.573225,833.172927527531,24995.1878258259,0.725041893160904,0.733822376720082,"",0.738277194119921,""
"30","Placer County",335554.5,395480,380040,301999.05,1217.07385626392,385.887675,1602.96153126392,48088.8459379176,0.653755903819705,0.653828034936845,"",0.664576559632893,""
"31","Sacramento",249942.5,291410,268660,224948.25,906.554620245726,287.433875,1193.98849524573,35819.6548573718,0.657356543764903,0.66091847205196,"",0.695475857705774,""
"32","San Benito",416500,459900,433500,374850,1510.66745084307,478.975,1989.64245084307,59689.2735252922,0.550478213136553,0.579712056151539,"",NA,NA
"33","San Joaquin",242097,292250,260980,217887.3,878.098578263519,278.41155,1156.51012826352,34695.3038479056,0.652514816307663,0.64446984392407,"",0.6959216830321,"R"
"34","Stanislaus",215322,250820,229140,193789.8,780.984242137893,247.6203,1028.60454213789,30858.1362641368,0.662107781672351,0.667043988138607,"",0.684247897333895,"R"
"35","Tulare",160905,189790,180950,144814.5,583.610915193049,185.04075,768.651665193049,23059.5499557915,0.720586167783977,0.720567916173975,"",0.759347075427482,""
"36","Amador",230562.5,273910,240220,207506.25,836.262338859559,265.146875,1101.40921385956,33042.2764157867,0.697955316112218,0.694759266777614,"",NA,NA
"37","Butte County",218696.5,261110,235820,196826.85,793.223731484519,251.500975,1044.72470648452,31341.7411945356,0.634562858737275,0.628586177623046,"",0.648927572918455,NA
"38","El Dorado County",333846,4e+05,369640,300461.4,1210.87703672066,383.9229,1594.79993672066,47843.9981016199,0.658501474499216,0.65158589861907,"",0.652714433055315,NA
"39","Humboldt",229219.5,268930,261760,206297.55,831.391207079289,263.602425,1094.99363207929,32849.8089623787,0.620269070297284,0.620587861127475,"",0.612638657585107,NA
"40","Lake County",195202.5,221350,175620,175682.25,708.009755277779,224.482875,932.492630277779,27974.7789083334,0.594217647291267,0.607124953126542,"",NA,NA
"41","Mariposa",207187.5,256110,222220,186468.75,751.479981924488,238.265625,989.745606924488,29692.3682077346,0.737775178375991,0.723716430267543,"",NA,NA
"42","Mendocino",297500,350000,301670,267750,1079.04817917362,342.125,1421.17317917362,42635.1953752087,0.516894193016027,0.516474581442223,"",NA,NA
"43","Shasta",199112.5,231740,213550,179201.25,722.191531346918,228.979375,951.170906346918,28535.1271904076,0.702483237937643,0.705294164977373,"",0.696210576649679,NA
"44","Siskiyou County",147330.5,173330,155000,132597.45,534.375488274755,169.430075,703.805563274755,21114.1668982426,0.707901872709725,0.708241317688658,"",NA,NA
"45","Sutter",212950.5,234410,209880,191655.45,772.38268665248,244.893075,1017.27576165248,30518.2728495744,0.704957828909507,0.720874630453418,"",NA,NA
"46","Tehama",154547,183080,181820,139092.3,560.55011410671,177.72905,738.27916410671,22148.3749232013,0.760546892865477,0.758513226432054,"",NA,NA
"47","Yolo",320237.5,395890,344120,288213.75,1161.51829001047,368.273125,1529.79141501047,45893.742450314,0.569926689844466,0.548773337121003,"",0.604071684775853,NA
"48","Yuba",184433,224360,201630,165989.7,668.948211191694,212.09795,881.046161191694,26431.3848357508,0.725970063961974,0.715098188286405,"",NA,NA
