"","RegionSalesCar","2016 Q1","2015 Q4","2015 Q1","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",465280,483810,441340,372224,1779.20089720848,535.072,2314.27289720848,92570.9158883392,0.343137883158091,0.298977817835184,"",0.341155475636929,""
"2","CA Condo/Townhomes",389910,392920,368750,311928,1490.99084815715,448.3965,1939.38734815715,77575.493926286,0.414555520661156,0.386147975306168,"",0.413906571805265,""
"3","Los Angeles Metropolitan Area",436850,442830,413410,349480,1670.48639947026,502.3775,2172.86389947026,86914.5559788106,0.35406741346287,0.317655870927893,"",0.34873094882098,""
"4","Inland Empire",297850,295550,281000,238280,1138.9593088754,342.5275,1481.4868088754,59259.472355016,0.477547235830251,0.446000512248207,"",0.471838313970312,""
"5","S.F. Bay Area",723060,735170,678720,578448,2764.93509442822,831.519,3596.45409442822,143858.163777129,0.274405913509502,0.238789512906027,"",0.271358503031034,"R"
"6","United States",217600,223000,204700,174080,832.088452614695,250.24,1082.32845261469,43293.1381045878,0.600326655985591,0.579868830677292,"",0.613111015632057,""
"7","Alameda",731640,728160,664230,585312,2797.74446448077,841.386,3639.13046448077,145565.218579231,0.254228250752335,0.215176025301595,"",0.249797915482951,"R"
"8","Contra-Costa",543570,526550,474310,434856,2078.57683909821,625.1055,2703.68233909821,108147.293563928,0.384791819468538,0.370506160838007,"",0.417567148498027,"R"
"9","Marin",1093750,1171350,1036060,875000,4182.42989451894,1257.8125,5440.24239451894,217609.695780758,0.202393132474648,0.165906206678307,"",0.191459340284767,""
"10","Napa",646960,655940,544410,517568,2473.93357216729,744.004,3217.93757216729,128717.502886692,0.235177248925023,0.209434433502169,"",0.293860830860065,"R"
"11","San Francisco",1332500,1270110,1175850,1066000,5095.39459149394,1532.375,6627.76959149394,265110.783659758,0.129309970784885,0.105087936263446,"",0.118219450383163,""
"12","San Mateo",1170000,1195000,1202000,936000,4474.00500716541,1345.5,5819.50500716541,232780.200286616,0.163266893124815,0.141888704554742,"",0.139087029736796,""
"13","Santa Clara",970000,940000,9e+05,776000,3709.21782645337,1115.5,4824.71782645337,192988.713058135,0.220175243091753,0.201751689799645,"",0.217792810604281,""
"14","Solano",368610,355900,337000,294888,1409.54101341132,423.9015,1833.44251341132,73337.7005364527,0.467231548834851,0.4507575790479,"",0.483453449553411,""
"15","Sonoma",583210,551340,489650,466568,2230.15765831533,670.6915,2900.84915831533,116033.966332613,0.255767958412543,0.258647591632247,"",0.309172771468108,""
"16","Los Angeles",458900,481940,431730,367120,1754.80418614377,527.735,2282.53918614377,91301.5674457507,0.313674735878839,0.265750624375293,"",0.313875473061332,""
"17","Orange County",713680,708700,685680,570944,2729.06657565283,820.732,3549.79857565283,141991.943026113,0.231869412110322,0.206819989698642,"",0.222175606075667,""
"18","Riverside County",342930,340260,322620,274344,1311.34233940789,394.3695,1705.71183940789,68228.4735763157,0.422574012169785,0.390809364915113,"",0.421048504370316,""
"19","San Bernardino",233490,233730,212300,186792,892.850794122266,268.5135,1161.36429412227,46454.5717648906,0.568261721696518,0.534551631274491,"",0.580393413991983,""
"20","San Diego",554320,546770,510330,443456,2119.68415006148,637.468,2757.15215006148,110286.086002459,0.275129954829522,0.249476544460909,"",0.277163594379534,""
"21","Ventura",622520,608430,583820,498016,2380.47657868428,715.898,3096.37457868428,123854.983147371,0.303307076221592,0.258597139563677,"",0.281541353031338,""
"22","Monterey",5e+05,500950,465000,4e+05,1911.96795178009,575,2486.96795178009,99478.7180712036,0.266785274825561,0.250935510698381,"",0.287959080994932,""
"23","San Luis Obispo",540830,541990,492390,432664,2068.09925472245,621.9545,2690.05375472245,107602.150188898,0.262823958523374,0.258640005253614,"",0.298185208820678,""
"24","Santa Barbara",680920,650000,720150,544736,2603.7944354522,783.058,3386.8524354522,135474.097418088,0.205231741670499,0.202104356444088,"R",0.164150461392871,"R"
"25","Santa Cruz",746500,720000,695000,597200,2854.56815200767,858.475,3713.04315200767,148521.726080307,0.183403569377851,0.2071210209542,"",0.21877581180405,""
"26","Fresno",219590,219960,212200,175672,839.69808506278,252.5285,1092.22658506278,43689.0634025112,0.522473282086692,0.490281618678599,"",0.508015447766385,""
"27","Kern (Bakersfield)",220270,215690,206900,176216,842.298361477201,253.3105,1095.6088614772,43824.354459088,0.552953552390081,NA,NA,NA,NA
