"","RegionSalesCar","2016 Q1","2015 Q4","Quarter_Rev","2015 Q1","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",465280,483810,"",441340,387048,1863.48008270261,556.3815,2419.86158270261,96794.4633081044,0.298977817835184,0.299706713419714
"2","CA Condo/Townhomes",389910,392920,"",368750,314336,1513.40111633804,451.858,1965.25911633804,78610.3646535218,0.386147975306168,0.385620485080521
"3","Los Angeles Metropolitan Area",436850,442830,"",413410,354264,1705.63833947871,509.2545,2214.89283947871,88595.7135791485,0.317655870927893,0.317655870927893
"4","Inland Empire",297850,295550,"",281000,236440,1138.3632798883,339.8825,1478.2457798883,59129.8311955318,0.446000512248207,0.446000512248207
"5","S.F. Bay Area",723060,735170,"",678720,588136,2831.63773464888,845.4455,3677.08323464888,147083.329385955,0.238789512906027,0.238789512906027
"6","United States",217600,223000,"",204700,178400,858.924078548773,256.45,1115.37407854877,44614.9631419509,0.579868830677292,0.579868830677292
"7","Alameda",731640,728160,"",664230,582528,2804.63747549809,837.384,3642.02147549809,145680.859019924,0.215176025301595,0.215176025301595
"8","Contra-Costa",543570,526550,"",474310,421240,2028.10077829532,605.5325,2633.63327829532,105345.331131813,0.370506160838007,0.370506160838007
"9","Marin",1093750,1171350,"",1036060,937080,4511.66241887043,1347.0525,5858.71491887043,234348.596754817,0.165906206678307,0.165908310262357
"10","Napa",646960,655940,"",544410,524752,2526.46932772772,754.331,3280.80032772772,131232.013109109,0.209434433502169,0.209434433502169
"11","San Francisco",1332500,1270110,"",1175850,1016088,4892.05408702055,1460.6265,6352.68058702055,254107.223480822,0.105087936263446,0.105087936263446
"12","San Mateo",1170000,1195000,"",1202000,956000,4602.75459132638,1374.25,5977.00459132638,239080.183653055,0.141888704554742,0.141888704554742
"13","Santa Clara",970000,940000,"",9e+05,752000,3620.5768333446,1081,4701.5768333446,188063.073333784,0.201751689799645,0.201751689799645
"14","Solano",368610,355900,"",337000,284720,1370.81201594398,409.285,1780.09701594398,71203.8806377593,0.4507575790479,0.4507575790479
"15","Sonoma",583210,551340,"",489650,441072,2123.58386308108,634.041,2757.62486308108,110304.994523243,0.258647591632247,0.258647591632247
"16","Los Angeles",458900,481940,"",431730,385552,1856.27744581074,554.231,2410.50844581074,96420.3378324297,0.265750624375293,0.265750624375293
"17","Orange County",713680,708700,"",685680,566960,2729.68383169289,815.005,3544.68883169289,141787.553267716,0.206819989698642,0.206819989698642
"18","Riverside County",342930,340260,"",322620,272208,1310.5717801211,391.299,1701.8707801211,68074.831204844,0.390809364915113,0.390809364915113
"19","San Bernardino",233490,233730,"",212300,186984,900.252577933653,268.7895,1169.04207793365,46761.6831173461,0.534551631274491,0.534551631274491
"20","San Diego",554320,546770,"",510330,437416,2105.98169698705,628.7855,2734.76719698705,109390.687879482,0.249476544460909,0.249476544460909
"21","Ventura",622520,608430,"",583820,486744,2343.47613054453,699.6945,3043.17063054453,121726.825221781,0.258597139563677,0.258597139563677
"22","Monterey",5e+05,500950,"",465000,400760,1929.49783474891,576.0925,2505.59033474891,100223.613389957,0.250935510698381,0.250935510698381
"23","San Luis Obispo",540830,541990,"",492390,433592,2087.57067862175,623.2885,2710.85917862175,108434.36714487,0.258640005253614,0.258640005253614
"24","Santa Barbara",680920,650000,"R",720150,520000,2503.59036348297,747.5,3251.09036348297,130043.614539319,0.202104356444088,0.227728093092863
"25","Santa Cruz",746500,720000,"",695000,576000,2773.20778724267,828,3601.20778724267,144048.311489707,0.2071210209542,0.2071210209542
"26","Fresno",219590,219960,"",212200,175968,847.214979002637,252.954,1100.16897900264,44006.7591601055,0.490281618678599,0.490281618678599
"27","Kings County",201340,190970,"",186000,152776,735.554848791297,219.6155,955.170348791297,38206.8139516519,0.613028888493387,0.613028888493387
"28","Madera",217050,220830,"",212500,176664,850.565938412222,253.9545,1104.52043841222,44180.8175364889,0.48406920459527,0.48406920459527
"29","Merced",192060,205190,"",177240,164152,790.325702589339,235.9685,1026.29420258934,41051.7681035736,0.548542003095973,0.548542003095973
"30","Placer County",411640,394770,"",379080,315816,1520.52671968026,453.9855,1974.51221968026,78980.4887872106,0.442188165686591,0.442188165686591
"31","Sacramento",297620,294050,"",275810,235240,1132.58576366487,338.1575,1470.74326366487,58829.7305465949,0.464860392533465,0.464860392533465
"32","San Benito",482440,490000,"",450000,392000,1887.32196631793,563.5,2450.82196631793,98032.8786527172,0.304200071512613,0.304200071512613
"33","San Joaquin",295000,284820,"",269400,227856,1097.03478050341,327.543,1424.57778050341,56983.1112201366,0.457556337731192,0.457556337731192
"34","Stanislaus",254440,253320,"",237200,202656,975.706939811548,291.318,1267.02493981155,50680.9975924619,0.454660305474007,0.454660305474007
"35","Tulare",193900,189300,"",175930,151440,729.122547395886,217.695,946.817547395887,37872.7018958355,0.535880235993577,0.535880235993577
"36","Amador",273910,271250,"",243750,217000,1044.76751706885,311.9375,1356.70501706885,54268.2006827542,0.503382859642435,0.503382859642435
"37","Butte County",272530,257290,"",237800,205832,990.998099416205,295.8835,1286.88159941621,51475.2639766482,0.433085531050142,0.433085531050142
"38","El Dorado County",423980,392760,"",385450,314208,1512.78484794088,451.674,1964.45884794088,78578.3539176352,0.442609610010802,0.442609610010802
"39","Humboldt",270000,269670,"",255600,215736,1038.68186664685,310.1205,1348.80236664685,53952.094665874,0.418767054494356,0.418767054494356
"40","Lake County",225590,229650,"",182860,183720,884.537733805945,264.0975,1148.63523380594,45945.4093522378,0.399729155084901,0.399729155084901
"41","Mariposa",239530,243750,"",230710,195000,938.846386306114,280.3125,1219.15888630611,48766.3554522446,0.570070823230241,0.570070823230241
"42","Mendocino",364100,350000,"",283330,280000,1348.08711879852,402.5,1750.58711879852,70023.4847519409,0.300263676090635,0.300263676090635
"43","Shasta",219400,234250,"",222000,187400,902.25545022444,269.3875,1171.64295022444,46865.7180089776,0.507645641861758,0.507645641861758
"44","Siskiyou County",177140,173330,"",170000,138664,667.611258003851,199.3295,866.940758003851,34677.6303201541,0.53462456999446,0.53462456999446
"45","Sutter",228180,250530,"",231250,200424,964.960759635982,288.1095,1253.07025963598,50122.8103854393,0.509830486176337,0.509830486176337
"46","Tehama",187780,181820,"",162500,145456,700.311999828421,209.093,909.404999828421,36376.1999931368,0.573769211503133,0.573769211503133
"47","Yolo",374760,376750,"",343410,301400,1451.11949144955,433.2625,1884.38199144955,75375.2796579821,0.385512342570272,0.385512342570272
"48","Yuba",221000,216980,"",206940,173584,835.736980105438,249.527,1085.26398010544,43410.5592042175,0.534447270317812,0.534447270317812
