"","RegionSalesCar","2015 Q2","2015 Q1","Quarter_Rev","2014 Q2","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",485100,441610,"r",456680,365344,1812.27622743158,525.182,2337.45822743158,93498.3290972631,0.300688240460219,"0.30068824",""
"2","CA Condo/Townhomes",388250,369350,"r",372550,298040,1478.41707219417,428.4325,1906.84957219417,76273.9828877669,0.383881832652086,"0.383881833",""
"3","Los Angeles Metropolitan Area",440620,413410,"r",418030,334424,1658.89864095915,480.7345,2139.63314095915,85585.3256383658,0.325308926458053,"0.325308926",""
"4","Inland Empire",291730,281000,NA,274610,219688,1089.75469653803,315.8015,1405.55619653803,56222.247861521,0.466152559192239,"0.466152559",""
"5","S.F. Bay Area",841560,748330,NA,772330,617864,3064.89292005831,888.1795,3953.07242005831,158122.896802333,0.195046383922952,"0.195046384",""
"6","United States",229500,204700,"1",212000,169600,841.294911569358,243.8,1085.09491156936,43403.7964627743,0.584885276602017,"0.573586919","R"
"7","Alameda",812810,707320,NA,737390,589912,2926.23799453834,847.9985,3774.23649453835,150969.459781534,0.176116623405951,"0.176116623",""
"8","Contra-Costa",836020,755760,NA,760830,608664,3019.2566394779,874.9545,3894.2111394779,155768.445579116,0.189598823403764,"0.365424397","R"
"9","Marin",1169900,1036060,"r",1033850,827080,4102.70162417916,1188.9275,5291.62912417916,211665.164967166,0.144857312759469,"0.144857313",""
"10","Napa",623970,492550,NA,563120,450496,2234.66976699499,647.588,2882.25776699499,115290.310679799,0.246312430795379,"0.246312431",""
"11","San Francisco",1353450,1175850,NA,1154070,923256,4579.77933299457,1327.1805,5906.95983299457,236278.393319783,0.10333036929919,"0.103330369",""
"12","San Mateo",1300000,1202000,NA,1088800,871040,4320.76367790904,1252.12,5572.88367790904,222915.347116362,0.141013207776994,"0.141013208",""
"13","Santa Clara",980000,9e+05,NA,899500,719600,3569.5508158332,1034.425,4603.9758158332,184159.032633328,0.189279528533012,"0.189279529",""
"14","Solano",352850,337000,NA,317650,254120,1260.5534370755,365.2975,1625.8509370755,65034.0374830201,0.503676909569284,"0.50367691",""
"15","Los Angeles",445190,431730,NA,420270,336216,1667.78779474177,483.3105,2151.09829474177,86043.9317896706,0.302303129868393,"0.30230313",""
"16","Orange County",713220,685680,NA,691860,553488,2745.55800716215,795.639,3541.19700716215,141647.880286486,0.199223327290745,"0.199223327",""
"17","Riverside County",334580,322620,NA,318720,254976,1264.79959535559,366.528,1631.32759535559,65253.1038142238,0.409344874853613,"0.409344875",""
"18","San Bernardino",223830,212300,NA,206530,165224,819.587915501979,237.5095,1057.09741550198,42283.8966200792,0.577283691976761,"0.577283692",""
"19","San Diego",547840,510330,NA,504180,403344,2000.77390808981,579.807,2580.58090808981,103223.236323592,0.256319852289773,"0.256319852",""
"20","Ventura",619060,583820,NA,571670,457336,2268.59934951347,657.4205,2926.01984951347,117040.793980539,0.281729901814491,"0.281729902",""
"21","Monterey",480000,465000,NA,460000,368000,1825.45122321653,529,2354.45122321653,94178.0489286613,0.25621987866414,"0.256219879",""
"22","San Luis Obispo",518550,492390,NA,485930,388744,1928.3511149948,558.8195,2487.1706149948,99486.8245997921,0.234044437069449,"0.234044437",""
"23","Santa Barbara",741570,680550,NA,674420,539536,2676.3495955689,775.583,3451.9325955689,138077.303822756,0.175082994761824,"0.175082995",""
"24","Santa Cruz",727250,695000,NA,665000,532000,2638.9675292152,764.75,3403.7175292152,136148.701168608,0.178744127991333,"0.178744128",""
"25","Fresno",219030,212200,NA,197900,158320,785.340863205547,227.585,1012.92586320555,40517.0345282219,0.534167301003675,"0.534167301",""
"26","Kings County",186330,186000,NA,177240,141792,703.354293049779,203.826,907.180293049779,36287.2117219912,0.639095191746962,"0.639095192",""
"27","Madera",216430,212500,NA,214130,171304,849.747544407296,246.2495,1095.9970444073,43839.8817762918,0.501893220443141,"0.50189322",""
"28","Merced",205060,177240,NA,163930,131144,650.535258743231,188.5195,839.054758743231,33562.1903497292,0.566711957113964,"0.566711957",""
"29","Placer County",399680,379080,NA,380720,304576,1510.83867326739,437.828,1948.66667326739,77946.6669306955,0.442410782743115,"0.442410783",""
"30","Sacramento",291030,275810,NA,270950,216760,1075.23045419678,311.5925,1386.82295419678,55472.9181678713,0.480897046345796,"0.480897046",""
"31","San Joaquin",285810,269400,NA,256200,204960,1016.69696388712,294.63,1311.32696388712,52453.0785554848,0.485165088296262,"0.402627148","R"
"32","Stanislaus",246480,237200,NA,222830,178264,884.272382759435,256.2545,1140.52688275943,45621.0753103774,0.485627843045207,"0.44727083","R"
"33","Tulare",190740,175930,NA,175630,140504,696.965213768521,201.9745,898.939713768521,35957.5885507408,0.563416844718092,"0.563416845",""
"34","Butte County",256310,237800,NA,238830,191064,947.766338349575,274.6545,1222.42083834957,48896.833533983,0.438002765237311,"NA",NA
"35","El Dorado County",417660,385450,NA,371500,297200,1474.25028135857,427.225,1901.47528135857,76059.0112543428,0.42409301045225,"NA",NA
"36","Humboldt",261920,255600,NA,247040,197632,980.346674311765,284.096,1264.44267431177,50577.7069724706,0.401851642896194,"NA",NA
"37","Shasta",232390,222000,NA,214170,171336,849.906279296271,246.2955,1096.20177929627,43848.0711718508,0.491625179941192,"NA",NA
"38","Yolo",387600,343410,NA,353690,282952,1403.57357204229,406.7435,1810.31707204229,72412.6828816918,0.395840976883227,"NA",NA
