"","RegionSalesCar","2015 Q2","2015 Q1","2014 Q2","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",412335,441610,456680,371101.5,1475.96494898192,474.18525,1950.15019898192,58504.5059694575,0.513154642756449,0.550735273440514,"",0.528726352288346,""
"2","CA Condo/Townhomes",330012.5,369350,372550,297011.25,1181.28920107654,379.514375,1560.80357607654,46824.1072822962,0.597035584379439,0.618398184717346,"",0.606415227871112,""
"3","Los Angeles Metropolitan Area",374527,413410,418030,337074.3,1340.63012949992,430.70605,1771.33617949992,53140.0853849977,0.533114048818679,0.559039875394204,"",0.548760730965821,""
"4","Inland Empire",247970.5,281000,274610,223173.45,887.617510959585,285.166075,1172.78358595959,35183.5075787876,0.654836642662851,0.671369362534187,"",0.678430311684959,""
"5","S.F. Bay Area",715326,748330,772330,643793.4,2560.52991644037,822.6249,3383.15481644037,101494.644493211,0.397214286772491,0.451007855622043,"",0.418808706266798,""
"6","United States",195075,204700,212000,175567.5,698.276552857865,224.33625,922.612802857864,27678.3840857359,0.739197267976109,0.771139745216342,"",NA,NA
"7","Alameda",690888.5,707320,737390,621799.65,2473.05518487321,794.521775,3267.57695987321,98027.3087961962,0.37954664238129,0.440756576488426,"",0.401633015330641,""
"8","Contra-Costa",710617,755760,760830,639555.3,2543.6739159923,817.20955,3360.8834659923,100826.503979769,0.38711349135238,0.434416867919222,"",NA,NA
"9","Marin",994415,1036060,1033850,894973.5,3559.53698992774,1143.57725,4703.11423992774,141093.427197832,0.328747149282005,0.378613041189914,"",0.296095013036846,""
"10","Napa",530374.5,492550,563120,477337.05,1898.4907219465,609.930675,2508.4213969465,75252.641908395,0.463967463346164,0.577360650144575,"",0.482742231254446,""
"11","San Francisco",1150432.5,1175850,1154070,1035389.25,4118.00610224609,1322.997375,5441.00347724609,163230.104317383,0.217513635883567,0.266595583853176,"",0.248426241571852,""
"12","San Mateo",1105000,1202000,1088800,994500,3955.37916651514,1270.75,5226.12916651514,156783.874995454,0.256720484722713,0.287041314618181,"",0.326997701761037,""
"13","Santa Clara",833000,9e+05,899500,749700,2981.74737168064,957.95,3939.69737168064,118190.921150419,0.394876409812337,0.439193078314309,"",0.415234553259839,""
"14","Solano",299922.5,337000,317650,269930.25,1073.58118377297,344.910875,1418.49205877297,42554.7617631892,0.673537209091875,0.690784867333543,"",0.718328167953062,""
"15","Sonoma",481933,489650,488270,433739.7,1725.09298448519,554.22295,2279.31593448519,68379.4780345558,0.4722907450677,0.540093077453021,"",NA,NA
"16","Los Angeles",378411.5,431730,420270,340570.35,1354.5348085699,435.173225,1789.7080335699,53691.2410070971,0.506485124615631,0.519734429898697,"",0.521598539231216,""
"17","Orange County",606237,685680,691860,545613.3,2170.04271472456,697.17255,2867.21526472456,86016.4579417367,0.429772815341538,0.449748229381278,"",0.443964676283282,""
