"","RegionSalesCar","2015 Q2","2015 Q1","Quarter_Rev","2014 Q2","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",485100,441610,"",456680,353288,1680.54642446898,507.8515,2188.39792446898,87535.9169787593,0.340898754340031,0.340119082253153
"2","CA Condo/Townhomes",388250,369350,"",372550,295480,1405.56106491615,424.7525,1830.31356491615,73212.5425966458,0.413103189522366,0.413009461589361
"3","Los Angeles Metropolitan Area",440620,413410,"",418030,330728,1573.23135196151,475.4215,2048.65285196151,81946.1140784604,0.34873094882098,0.347231024184402
"4","Inland Empire",291730,281000,"",274610,224800,1069.34522604965,323.15,1392.49522604965,55699.8090419859,0.471838313970312,0.471838313970312
"5","S.F. Bay Area",841560,748330,"",772330,598664,2847.76908544389,860.5795,3708.34858544388,148333.943417755,0.230519450844234,0.230519450844234
"6","United States",229500,204700,"",212000,163760,778.985650435454,235.405,1014.39065043545,40575.6260174182,0.613111015632057,0.613111015632057
"7","Alameda",812810,707320,"",737390,565856,2691.70557042504,813.418,3505.12357042504,140204.942817002,0.226150884556242,0.226150884556242
"8","Contra-Costa",836020,755760,"",760830,604608,2876.04394320029,869.124,3745.16794320029,149806.717728011,0.210112290920737,0.210112290920737
"9","Marin",1169900,1036060,"",1033850,828848,3942.72531993237,1191.469,5134.19431993237,205367.772797295,0.191459340284767,0.191461343491286
"10","Napa",623970,492550,"",563120,394040,1874.39854480695,566.4325,2440.83104480695,97633.241792278,0.339799566221756,0.339799566221756
"11","San Francisco",1353450,1175850,"",1154070,940680,4474.69602864938,1352.2275,5826.92352864938,233076.941145975,0.118219450383163,0.118219450383163
"12","San Mateo",1300000,1202000,"",1088800,961600,4574.20982815543,1382.3,5956.50982815543,238260.393126217,0.139087029736796,0.139087029736796
"13","Santa Clara",980000,9e+05,"",899500,720000,3424.94912257894,1035,4459.94912257894,178397.964903158,0.217792810604281,0.217792810604281
"14","Solano",352850,337000,"",317650,269600,1282.45317145456,387.55,1670.00317145456,66800.1268581823,0.483453449553411,0.483453449553411
"15","Sonoma",566980,489650,"",488270,391720,1863.3625976342,563.0975,2426.4600976342,97058.4039053679,0.309172771468108,0.309172771468108
"16","Los Angeles",445190,431730,"",420270,345384,1642.94809410112,496.4895,2139.43759410112,85577.5037640447,0.313875473061332,0.311165428412133
"17","Orange County",713220,685680,"",691860,548544,2609.35457152214,788.532,3397.88657152214,135915.462860886,0.222175606075667,0.222175606075667
"18","Riverside County",334580,322620,"",318720,258096,1227.7300954738,371.013,1598.7430954738,63949.7238189519,0.421048504370316,0.421048504370316
"19","San Bernardino",223830,212300,"",206530,169840,807.907443026121,244.145,1052.05244302612,42082.0977210448,0.580393413991983,0.580393413991983
"20","San Diego",547840,510330,"",504180,408264,1942.06031747301,586.8795,2528.93981747301,101157.59269892,0.277163594379534,0.277163594379534
"21","Ventura",619060,583820,"",571670,467056,2221.72644082671,671.393,2893.11944082671,115724.777633068,0.281541353031338,0.281541353031338
"22","Monterey",480000,465000,"",460000,372000,1769.55704666578,534.75,2304.30704666578,92172.2818666314,0.287959080994932,0.287959080994932
"23","San Luis Obispo",518550,492390,"",485930,393912,1873.78966496294,566.2485,2440.03816496294,97601.5265985175,0.298185208820678,0.298185208820678
"24","Santa Barbara",741570,680550,"",674420,544440,2589.83236152344,782.6325,3372.46486152344,134898.594460938,0.184383639692958,0.184383639692958
"25","Santa Cruz",727250,695000,"",665000,556000,2644.82182243596,799.25,3444.07182243596,137762.872897438,0.21877581180405,0.21877581180405
"26","Fresno",219030,212200,"",197900,169760,807.526893123612,244.03,1051.55689312361,42062.2757249445,0.508015447766385,0.508015447766385
"27","Kings County",186330,186000,"",177240,148800,707.822818666314,213.9,921.722818666314,36868.9127466526,0.622397477125253,0.622397477125253
"28","Madera",216430,212500,"",214130,170000,808.668542831138,244.375,1053.04354283114,42121.7417132455,0.507160208318754,0.507160208318754
"29","Merced",205060,177240,"",163930,141792,674.486647206546,203.826,878.312647206546,35132.5058882618,0.597328466825372,0.597328466825372
"30","Placer County",399680,379080,"",380720,303264,1442.58857043025,435.942,1878.53057043025,75141.22281721,0.460549300433771,0.460549300433771
"31","Sacramento",291030,275810,"",270950,220648,1049.59468610944,317.1815,1366.77618610944,54671.0474443776,0.494468545489155,0.494468545489155
"32","San Benito",465000,450000,"",420000,360000,1712.47456128947,517.5,2229.97456128947,89198.9824515788,0.350257596135205,0.350257596135205
"33","San Joaquin",285810,269400,"",256200,215520,1025.20143735863,309.81,1335.01143735863,53400.4574943452,0.482960124079914,0.482960124079914
"34","Stanislaus",246480,237200,"",222830,189760,902.664368750805,272.78,1175.4443687508,47017.7747500322,0.490188373863011,0.490188373863011
"35","Tulare",190740,175930,"",175630,140744,669.501443483681,202.3195,871.820943483681,34872.8377393472,0.565766805382277,0.565766805382277
"36","Amador",237900,243750,"",218520,195000,927.590387365129,280.3125,1207.90288736513,48316.1154946052,0.547188788516013,0.547188788516013
"37","Butte County",256310,237800,"",238830,190240,904.947668165857,273.47,1178.41766816586,47136.7067266343,0.467362391832533,0.467362391832533
"38","El Dorado County",417660,385450,"",371500,308360,1466.82959922006,443.2675,1910.09709922006,76403.8839688023,0.450866776207339,0.450866776207339
"39","Humboldt",261920,255600,"",247040,204480,972.685550812418,293.94,1266.62555081242,50665.0220324967,0.436046460964775,0.436046460964775
"40","Lake County",209180,182860,"",176000,146288,695.873551727538,210.289,906.162551727538,36246.5020691015,0.489850438313421,0.489850438313421
"41","Mariposa",246050,230710,"",239130,184568,877.966680077986,265.3165,1143.28318007799,45731.3272031194,0.592287017861517,0.592287017861517
"42","Mendocino",325000,283330,"",305710,226664,1078.2120387781,325.8295,1404.0415387781,56161.661551124,0.400611734013394,0.400611734013394
"43","Shasta",232390,222000,"",214170,177600,844.820783569471,255.3,1100.12078356947,44004.8313427789,0.532094677998775,0.532094677998775
"44","Siskiyou County",150710,170000,"",163330,136000,646.93483426491,195.5,842.43483426491,33697.3933705964,0.543237281924177,0.543237281924177
"45","Sutter",223360,231250,"",212880,185000,880.021649551533,265.9375,1145.95914955153,45838.3659820613,0.549633363125925,0.549633363125925
"46","Tehama",181000,161670,"",187270,129336,615.23502738593,185.9205,801.15552738593,32046.2210954372,0.624912033227132,0.624912033227132
"47","Yolo",387600,343410,"",353690,274728,1306.84642020537,394.9215,1701.76792020537,68070.7168082148,0.4239695033292,0.4239695033292
"48","Yuba",218440,206940,"",196000,165552,787.509968251651,237.981,1025.49096825165,41019.638730066,0.555765484338654,0.555765484338654
