,RegionSalesCar,2014 Q2,2014 Q1,Quarter_Rev,2013 Q2,principal,pmt,t_i,pti,min_inc,HAI
1,CA SFH (SAAR),388178,355784.5,NA,353285.5,349360.2,1374.952157,446.4047,1821.356857,54640.70572,0.528769561
2,CA Condo/Townhomes,316667.5,294822.5,NA,283670.5,285000.75,1121.657235,364.167625,1485.82486,44574.74581,0.60645915
3,Los Angeles Metropolitan Area,355325.5,332630.5,NA,324462,319792.95,1258.586429,408.624325,1667.210754,50016.32262,0.548800703
4,Inland Empire,233418.5,226448.5,NA,203694,210076.65,826.7837697,268.431275,1095.215045,32856.45134,0.678470994
5,S.F. Bay Area,656480.5,577813,NA,593886.5,590832.45,2325.297363,754.952575,3080.249938,92407.49814,0.418860307
6,US,180200,162435,NA,172890,162180,638.2803218,207.23,845.5103218,25365.30965,0.752507155
7,Alameda,626781.5,537735.5,NA,544017,564103.35,2220.10154,720.798725,2940.900265,88227.00795,0.401681721
8,Contra-Costa (Central County),431077.5,372716.5,NA,408110.5,387969.75,1526.905025,495.739125,2022.64415,60679.32449,0.591080628
9,Marin,878772.5,845427,NA,826582.5,790895.25,3112.670334,1010.588375,4123.258709,123697.7613,0.296149502
10,Napa,478652,430899,NA,409547,430786.8,1695.417051,550.4498,2245.866851,67376.00553,0.482795807
11,San Francisco,980959.5,828554.5,NA,767057,882863.55,3474.623448,1128.103425,4602.726873,138081.8062,0.248470627
12,San Mateo,925480,888675,NA,816000,832932,3278.111389,1064.302,4342.413389,130272.4017,0.327045817
13,Santa Clara,764575,686800,NA,687225,688117.5,2708.175233,879.26125,3587.436483,107623.0945,0.415287811
14,Solano,270002.5,253614.5,NA,226015,243002.25,956.366718,310.502875,1266.869593,38006.08779,0.718363392
15,Sonoma,415029.5,407787.5,NA,376303.5,373526.55,1470.061947,477.283925,1947.345872,58420.37616,0.533005657
16,Los Angeles,357229.5,345278.5,NA,321631.5,321506.55,1265.330523,410.813925,1676.144448,50284.33344,0.521638249
17,Orange County,588081,569313,NA,558518,529272.9,2083.021809,676.29315,2759.314959,82779.44876,0.444015093
18,Riverside County,270912,262811.5,NA,242267,243820.8,959.5882272,311.5488,1271.137027,38134.11082,0.632440409
19,San Bernardino,175550.5,160242,NA,144296,157995.45,621.8114852,201.883075,823.6945602,24710.83681,0.757918487
20,San Diego,428553,410575.5,NA,398684,385697.7,1517.963079,492.83595,2010.799029,60323.97086,0.499289523
21,Ventura,485919.5,467440.5,NA,444048.5,437327.55,1721.159017,558.807425,2279.966442,68398.99326,0.536374523
