"","RegionSalesCar","2017 Q3","2017 Q2","2016 Q3","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",555677.624260238,548787.096014411,517465.708968509,444542.09940819,2163.5214150042,639.029267899273,2802.55068290347,112102.027316139,0.284138785368646,0.290099656867752,"",0.309255434092414,""
"2","CA Condo/Townhomes",440000,435000,415000,352000,1713.13254491605,506,2219.13254491605,88765.3017966422,0.382078033829701,0.387867140378662,"R",0.403348664327921,""
"3","Los Angeles Metropolitan Area",502000,490000,470000,401600,1954.52849442695,577.3,2531.82849442695,101273.139777078,0.30208575889415,0.313823217684121,"",0.335894198018443,""
"4","Inland Empire",339900,340650,315000,271920,1323.39489094765,390.885,1714.27989094765,68571.1956379061,0.426472548654735,0.427223889719533,"",0.465859962355277,"R"
"5","S.F. Bay Area",860000,895000,755000,688000,3348.39542869956,989,4337.39542869956,173495.817147982,0.226892751155122,0.212763502845883,"",0.270208327729415,"R"
"6","United States",254000,255600,240900,203200,988.944696383358,292.1,1281.04469638336,51241.7878553343,0.547293707409777,0.546005785395708,"",0.571546980927996,""
"7","Alameda",865000,880000,780000,692000,3367.8628439827,994.75,4362.6128439827,174504.513759308,0.196351679724072,0.190442127874475,"",0.241753450975291,""
"8","Contra-Costa",624450,655000,575000,499560,2431.28549471098,718.1175,3149.40299471098,125976.119788439,0.33171175436934,0.312196763886031,"",0.373621768570672,"R"
"9","Marin",1225000,1302500,1185000,980000,4769.51674436856,1408.75,6178.26674436856,247130.669774742,0.181641024511013,0.173019744783929,"",0.191075380401294,""
"10","Napa",653000,683000,639000,522400,2542.44443597769,750.95,3293.39443597769,131735.777439108,0.263904405934735,0.245475542082154,"",0.254156157875847,""
"11","San Francisco",1370000,1450000,1298000,1096000,5334.07178757953,1575.5,6909.57178757953,276382.871503181,0.127729689025099,0.121953999380442,"",0.136311171733295,""
"12","San Mateo",1441250,1469000,1300000,1153000,5611.48245536423,1657.4375,7268.91995536423,290756.798214569,0.147560189889671,0.144927121247892,"",0.146236963506882,""
"13","Santa Clara",1165000,1183444,1e+06,932000,4535.90776097091,1339.75,5875.65776097091,235026.310438837,0.17025542694974,0.165911617810804,"",0.222091215552434,""
"14","Solano",415750,412000,393000,332600,1618.71558079284,478.1125,2096.82808079284,83873.1232317136,0.434958615596358,0.440299205572208,"",0.450791249643282,""
"15","Sonoma",630000,625000,580500,504000,2452.89432567526,724.5,3177.39432567526,127095.77302701,0.246536860496677,0.249037103775622,"",0.272582030393262,""
"16","Los Angeles",595110,514220,540690,476088,2317.05070182953,684.3765,3001.42720182953,120057.088073181,0.22304699641769,0.279393833362753,"",0.259444813633314,""
"17","Orange County",790000,788000,740000,632000,3075.85161473564,908.5,3984.35161473564,159374.064589426,0.207128700166542,0.208452945797838,"",0.229421731865159,""
"18","Riverside County",387000,380000,355000,309600,1506.7779429148,445.05,1951.8279429148,78073.1177165921,0.380760286970095,0.389089432629014,"",0.420044951794379,""
"19","San Bernardino",270000,269000,248000,216000,1051.2404252894,310.5,1361.7404252894,54469.6170115759,0.511327208949466,0.514301264871306,"",0.553947630605398,""
"20","San Diego",607000,605000,563000,485600,2363.34421537283,698.05,3061.39421537283,122455.768614913,0.256892793273988,0.259488376740648,"",0.28201820205212,"R"
"21","Ventura",634000,635000,605000,507200,2468.46825790177,729.1,3197.56825790177,127902.730316071,0.267950224843412,0.268861429223667,"",0.335316058199682,"R"
"22","Monterey",585000,603000,539000,468000,2277.68758812703,672.75,2950.43758812703,118017.503525081,0.221181711687452,0.209541393600912,"",0.249739364657552,""
"23","San Luis Obispo",599000,565000,550000,479200,2332.19635091981,688.85,3021.04635091981,120841.854036792,0.234519527496755,0.263487481335843,"",0.269458670197662,"R"
"24","Santa Barbara",664535,750000,715000,531628,2587.35576303589,764.21525,3351.57101303589,134062.840521435,0.198421347049685,0.157275606493738,"",0.200396673688846,""
"25","Santa Cruz",830000,850000,793000,664000,3231.59093700074,954.5,4186.09093700074,167443.63748003,0.174729405521013,0.167995149590626,"",0.175568207202307,""
"26","Fresno",259900,250000,239000,207920,1011.91624641746,298.885,1310.80124641746,52432.0498566984,0.454755043624431,0.468892136582512,"",0.499891631085136,""
"27","Kern (Bakersfield)",235000,232500,222000,188000,914.968518307438,270.25,1185.21851830744,47408.7407322975,0.533026542761235,0.539176804217816,"",0.562149368230312,""
"28","Kings County",225000,225000,207500,180000,876.033687741164,258.75,1134.78368774116,45391.3475096465,0.516872893253363,0.519373545599452,"",0.579381978651879,"R"
"29","Madera",280000,259900,237000,224000,1090.17525585567,322,1412.17525585567,56487.0102342268,0.413584725141827,0.444907214321903,"",0.476625127138646,"R"
"30","Merced",255000,248000,215000,204000,992.838179439986,293.25,1286.08817943999,51443.5271775994,0.467055030264864,0.478333938085732,"",0.514020784125899,"R"
"31","Placer County",455000,465000,432000,364000,1771.53479076547,523.25,2294.78479076547,91791.3916306186,0.436639731449571,0.42724307466073,"",0.471137743691057,"R"
"32","Sacramento",350000,340000,320000,280000,1362.71906981959,402.5,1765.21906981959,70608.7627927835,0.429677379640572,0.445036743164332,"",0.461858849185955,"R"
"33","San Benito",550000,530000,516000,440000,2141.41568114507,632.5,2773.91568114507,110956.627245803,0.310098826076604,0.328926743686989,"",0.338327314266936,""
"34","San Joaquin",352250,336944,320000,281800,1371.479406697,405.0875,1776.566906697,71062.67626788,0.405274236217341,0.427927218977926,"",0.445311213673886,"R"
"35","Stanislaus",295000,288500,270000,236000,1148.57750170508,339.25,1487.82750170508,59513.1000682033,0.456988528564802,0.467449789979634,"",0.488352253537568,"R"
"36","Tulare",225000,220000,208500,180000,876.033687741164,258.75,1134.78368774116,45391.3475096465,0.509534190257631,0.520493465072217,"",0.50241303222368,"R"
"37","Amador",320000,340000,259000,256000,1245.91457812077,368,1613.91457812077,64556.5831248306,0.444276199856865,0.418908018019225,"",0.529283808122485,"R"
"38","Butte County",299900,305850,275000,239920,1167.65556868256,344.885,1512.54056868256,60501.6227473022,0.397433545883188,0.390824460355049,"",0.436329753878802,"R"
"39","Calaveras",339000,309000,291000,271200,1319.89075619669,389.85,1709.74075619669,68389.6302478675,0.441743393863777,0.487388982444858,"",NA,NA
"40","El Dorado County",462750,480000,419900,370200,1801.70928445433,532.1625,2333.87178445433,93354.8713781731,0.412719916249755,0.396028118974903,"",0.404421932933962,""
"41","Humboldt",318000,299000,296000,254400,1238.12761200751,365.7,1603.82761200751,64153.1044803005,0.332188584227221,0.361311736186543,"",0.398030385641405,""
"42","Lake County",249950,250000,236500,199960,973.176090004017,287.4425,1260.61859000402,50424.7436001607,0.377617405725563,0.379134738251495,"",0.462736337191576,"R"
"43","Lassen",186500,186000,167400,149200,726.134590061009,214.475,940.609590061009,37624.3836024404,0.639863020568964,0.642235635020852,"",NA,NA
"44","Mariposa",289000,284390,260000,231200,1125.21660336532,332.35,1457.56660336532,58302.6641346127,0.485505023026201,0.49260237045081,"",0.508263733450269,"R"
"45","Mendocino",391000,4e+05,356000,312800,1522.35187514131,449.65,1972.00187514131,78880.0750056525,0.275415740533556,0.268423722324617,"",0.334199600095416,""
"46","Mono",571000,517850,512500,456800,2223.17882533424,656.65,2879.82882533424,115193.15301337,0.201928744005089,0.253112780827514,"",NA,NA
"47","Nevada",393000,390000,349000,314400,1530.13884125457,451.95,1982.08884125457,79283.5536501826,0.389593469166592,0.39367889313681,"",NA,NA
"48","Plumas",285000,285000,260000,228000,1109.64267113881,327.75,1437.39267113881,57495.7068455523,0.466384059407997,0.467766080225504,"",NA,NA
"49","Shasta",250000,259900,238000,2e+05,973.370764156849,287.5,1260.87076415685,50434.8305662739,0.47957728945409,0.465337909849265,"",0.475938318341172,""
"50","Siskiyou County",203500,216500,202750,162800,792.323802023675,234.025,1026.34880202367,41053.952080947,0.494674550251456,0.470105165327887,"",0.506934068560852,""
"51","Sutter",280600,271000,261200,224480,1092.51134568965,322.69,1415.20134568965,56608.0538275859,0.51192029102225,0.527565236617935,"",0.514076699990349,""
"52","Tehama",208500,202000,202000,166800,811.791217306812,239.775,1051.56621730681,42062.6486922725,0.557849653863883,0.573073454708111,"",0.589337613261631,""
"53","Tuolumne",289000,285000,255000,231200,1125.21660336532,332.35,1457.56660336532,58302.6641346127,0.451776228305145,0.459612053847067,"",NA,NA
"54","Yolo",435000,430000,4e+05,348000,1693.66512963292,500.25,2193.91512963292,87756.6051853167,0.341625414622486,0.346978878791758,"",0.359299784076409,""
"55","Yuba",268516,270000,250000,214812.8,1045.46249643336,308.7934,1354.25589643336,54170.2358573345,0.429065584911755,0.427955163444548,"",0.459042593712133,""
