,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
306,SAN LEANDRO,2018-Q3,698000,7/1/2018,2919.614093,558400,802.7,3722.314093,148892.5637,0.185933462
307,SAN LORENZO,2018-Q3,691500,7/1/2018,2892.42571,553200,795.225,3687.65071,147506.0284,0.219650108
308,SAN LUIS OBISPO,2018-Q3,730265,7/1/2018,3054.573046,584212,839.80475,3894.377796,155775.1118,0.149263964
309,SAN MARCOS,2018-Q3,675000,7/1/2018,2823.409044,540000,776.25,3599.659044,143986.3618,0.196406904
310,SAN MATEO,2018-Q3,1438000,7/1/2018,6014.906971,1150400,1653.7,7668.606971,306744.2789,0.138551387
311,SAN PABLO,2018-Q3,445000,7/1/2018,1861.358555,356000,511.75,2373.108555,94924.34221,0.217363803
312,SAN RAFAEL,2018-Q3,1075000,7/1/2018,4496.54033,860000,1236.25,5732.79033,229311.6132,0.174893571
313,SAN RAMON,2018-Q3,1059000,7/1/2018,4429.615078,847200,1217.85,5647.465078,225898.6031,0.301560241
314,SANGER,2018-Q3,257900,7/1/2018,1078.751396,206320,296.585,1375.336396,55013.45585,0.469425292
315,SANTA ANA,2018-Q3,530000,7/1/2018,2216.898953,424000,609.5,2826.398953,113055.9581,0.18460889
316,SANTA BARBARA,2018-Q3,1097500,7/1/2018,4590.653965,878000,1262.125,5852.778965,234111.1586,0.110337187
317,SANTA CLARA,2018-Q3,1300000,7/1/2018,5437.676678,1040000,1495,6932.676678,277307.0671,0.145136122
318,SANTA CLARITA,2018-Q3,470000,7/1/2018,1965.92926,376000,540.5,2506.42926,100257.1704,0.492904096
319,SANTA CRUZ,2018-Q3,957500,7/1/2018,4005.058015,766000,1101.125,5106.183015,204247.3206,0.098813071
320,SANTA MARIA,2018-Q3,409000,7/1/2018,1710.776739,327200,470.35,2181.126739,87245.06958,0.325149006
321,SANTA PAULA,2018-Q3,490000,7/1/2018,2049.585825,392000,563.5,2613.085825,104523.433,0.249887908
322,SANTA ROSA,2018-Q3,595000,7/1/2018,2488.782787,476000,684.25,3173.032787,126921.3115,0.221212064
323,SANTEE,2018-Q3,525000,7/1/2018,2195.984812,420000,603.75,2799.734812,111989.3925,0.35342254
324,SARATOGA,2018-Q3,2820000,7/1/2018,11795.57556,2256000,3243,15038.57556,601543.0225,0
325,SCOTTS VALLEY,2018-Q3,950000,7/1/2018,3973.686803,760000,1092.5,5066.186803,202647.4721,0.213634498
326,SEAL BEACH,2018-Q3,905000,7/1/2018,3785.459533,724000,1040.75,4826.209533,193048.3813,0.144940677
327,SEASIDE,2018-Q3,525000,7/1/2018,2195.984812,420000,603.75,2799.734812,111989.3925,0.213507189
328,SEBASTOPOL,2018-Q3,865000,7/1/2018,3618.146405,692000,994.75,4612.896405,184515.8562,0.151931576
329,SELMA,2018-Q3,247750,7/1/2018,1036.29569,198200,284.9125,1321.20819,52848.3276,0.46777215
330,SHASTA LAKE,2018-Q3,234000,7/1/2018,978.781802,187200,269.1,1247.881802,49915.27208,0.486500236
331,SHINGLE SPRINGS,2018-Q3,642500,7/1/2018,2687.467127,514000,738.875,3426.342127,137053.6851,0.314229481
332,SIMI VALLEY,2018-Q3,575000,7/1/2018,2405.126223,460000,661.25,3066.376223,122655.0489,0.399100349
333,SOLVANG,2018-Q3,807500,7/1/2018,3377.633783,646000,928.625,4306.258783,172250.3513,0.14887052
334,SONOMA,2018-Q3,828250,7/1/2018,3464.427468,662600,952.4875,4416.914968,176676.5987,0.17225093
335,SOUTH LAKE TAHOE,2018-Q3,430000,7/1/2018,1798.616132,344000,494.5,2293.116132,91724.64528,0.27207847
336,SPRING VALLEY,2018-Q3,440000,7/1/2018,1840.444414,352000,506,2346.444414,93857.77656,0.135273658
337,STEVENSON RANCH,2018-Q3,784000,7/1/2018,3279.33732,627200,901.6,4180.93732,167237.4928,0.403457823
338,STOCKTON,2018-Q3,299925,7/1/2018,1254.534752,239940,344.91375,1599.448502,63977.94008,0.39475868
339,SUISUN CITY,2018-Q3,412000,7/1/2018,1723.325224,329600,473.8,2197.125224,87885.00896,0.400432511
340,SUNNYVALE,2018-Q3,1556935.5,7/1/2018,6512.393736,1245548.4,1790.475825,8302.869561,332114.7825,0.163843266
341,SUSANVILLE,2018-Q3,165000,7/1/2018,690.1666553,132000,189.75,879.9166553,35196.66621,0.642628399
342,TEMECULA,2018-Q3,468000,7/1/2018,1957.563604,374400,538.2,2495.763604,99830.54416,0.464203668
343,TEMPLE CITY,2018-Q3,835000,7/1/2018,3492.661559,668000,960.25,4452.911559,178116.4623,0.130921389
344,TEMPLETON,2018-Q3,621250,7/1/2018,2598.582028,497000,714.4375,3313.019528,132520.7811,0.247952607
345,THOUSAND OAKS,2018-Q3,730000,7/1/2018,3053.464596,584000,839.5,3892.964596,155718.5838,0.375709856
346,TORRANCE,2018-Q3,748628,7/1/2018,3131.38232,598902.4,860.9222,3992.30452,159692.1808,0.244479399
347,TRACY,2018-Q3,493000,7/1/2018,2062.134309,394400,566.95,2629.084309,105163.3724,0.383108936
348,TRUCKEE,2018-Q3,682000,7/1/2018,2852.688842,545600,784.3,3636.988842,145479.5537,0.220389482
349,TULARE,2018-Q3,227000,7/1/2018,949.5020045,181600,261.05,1210.552005,48422.08018,0.52124393
350,TURLOCK,2018-Q3,325000,7/1/2018,1359.419169,260000,373.75,1733.169169,69326.76678,0.443261469
351,TUSTIN,2018-Q3,689140,7/1/2018,2882.554235,551312,792.511,3675.065235,147002.6094,0.234671692
352,TWENTYNINE PALMS,2018-Q3,119000,7/1/2018,497.7565574,95200,136.85,634.6065574,25384.2623,0.759358665
353,UKIAH,2018-Q3,400040,7/1/2018,1673.298599,320032,460.046,2133.344599,85333.78395,0.249727714
354,UNION CITY,2018-Q3,915000,7/1/2018,3827.287816,732000,1052.25,4879.537816,195181.5126,0.193508691
355,UPLAND,2018-Q3,560000,7/1/2018,2342.3838,448000,644,2986.3838,119455.352,0.259096634
356,VACAVILLE,2018-Q3,442250,7/1/2018,1849.855778,353800,508.5875,2358.443278,94337.7311,0.429051828
357,VALLEJO,2018-Q3,419000,7/1/2018,1752.605022,335200,481.85,2234.455022,89378.20086,0.341491081
358,VALLEY CENTER,2018-Q3,633250,7/1/2018,2648.775966,506600,728.2375,3377.013466,135080.5387,0.298602765
359,VALLEY SPRINGS,2018-Q3,324000,7/1/2018,1355.236341,259200,372.6,1727.836341,69113.45365,0.489150851
360,VICTORVILLE,2018-Q3,253000,7/1/2018,1058.255538,202400,290.95,1349.205538,53968.22152,0.466894904
361,VISALIA,2018-Q3,260000,7/1/2018,1087.535336,208000,299,1386.535336,55461.41342,0.518023836
362,VISTA,2018-Q3,540000,7/1/2018,2258.727235,432000,621,2879.727235,115189.0894,0.202073509
363,WALNUT,2018-Q3,706000,7/1/2018,2953.076719,564800,811.9,3764.976719,150599.0688,0.322290222
364,WALNUT CREEK,2018-Q3,759000,7/1/2018,3174.766614,607200,872.85,4047.616614,161904.6646,0.305037844
365,WATSONVILLE,2018-Q3,595000,7/1/2018,2488.782787,476000,684.25,3173.032787,126921.3115,0.09827273
366,WEST COVINA,2018-Q3,575000,7/1/2018,2405.126223,460000,661.25,3066.376223,122655.0489,0.260213576
367,WEST SACRAMENTO,2018-Q3,390000,7/1/2018,1631.303003,312000,448.5,2079.803003,83192.12013,0.385757878
368,WESTLAKE VILLAGE,2018-Q3,949500,7/1/2018,3971.595389,759600,1091.925,5063.520389,202540.8156,0.305726731
369,WESTMINSTER,2018-Q3,677750,7/1/2018,2834.911822,542200,779.4125,3614.324322,144572.9729,0.155498493
370,WHITTIER,2018-Q3,543000,7/1/2018,2271.27572,434400,624.45,2895.72572,115829.0288,0.310860174
371,WILDOMAR,2018-Q3,419900,7/1/2018,1756.369567,335920,482.885,2239.254567,89570.18268,0.39935151
372,WINCHESTER,2018-Q3,425000,7/1/2018,1777.701991,340000,488.75,2266.451991,90658.07963,0.393039043
