"","RegionSalesCar","2018 Q2","2018 Q1","Quarter_Rev","2017 Q2","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",596730,538640,"",548790,430912,2168.0324355874,619.436,2787.4684355874,111498.737423496,0.314447587707777,0.314447587707777
"2","CA Condo/Townhomes",477790,455540,"",443410,364432,1833.55394272145,523.871,2357.42494272145,94296.9977088582,0.385059785791524,0.390839418811292
"3","Los Angeles Metropolitan Area",530000,5e+05,"",490000,4e+05,2012.50597392266,575,2587.50597392266,103500.238956906,0.324247036813996,0.324247036813996
"4","Inland Empire",360000,350000,"",340650,280000,1408.75418174586,402.5,1811.25418174586,72450.1672698344,0.430461536114778,0.430461536114778
"5","S.F. Bay Area",1035000,9e+05,"",895000,720000,3622.51075306078,1035,4657.51075306078,186300.430122431,0.234352129637581,0.234352129637581
"6","United States",269000,245500,"",255600,196400,988.140433196024,282.325,1270.46543319602,50818.617327841,0.571466767431348,0.571466767431348
"7","Alameda",1e+06,875000,"",880000,7e+05,3521.88545436465,1006.25,4528.13545436465,181125.418174586,0.217414267375465,0.217414267375465
"8","Contra-Costa",695000,615000,"",655000,492000,2475.38234792487,707.25,3182.63234792487,127305.293916995,0.355885374131336,0.355885374131336
"9","Marin",1400000,1360000,"",1302500,1088000,5474.01624906962,1564,7038.01624906962,281520.649962785,0.183771599978508,0.183771599978508
"10","Napa",707250,679000,"",683000,543200,2732.98311258697,780.85,3513.83311258697,140553.324503479,0.277421946647176,0.277421946647176
"11","San Francisco",1625000,1610000,"",1450000,1288000,6480.26923603095,1851.5,8331.76923603095,333270.769441238,0.146038928170048,0.146038928170048
"12","San Mateo",1650000,1575049.5,"",1469000,1260039.6,6339.59305594779,1811.306925,8150.89998094779,326035.999237911,0.145537460452886,0.145537460452886
"13","Santa Clara",1405000,1373000,"",1183444,1098400,5526.34140439161,1578.95,7105.29140439161,284211.656175665,0.167446211038748,0.167446211038748
"14","Solano",450000,430000,"",412000,344000,1730.75513757348,494.5,2225.25513757348,89010.2055029394,0.417654450882592,0.417654450882592
"15","Sonoma",695000,681000,"",625000,544800,2741.03313648266,783.15,3524.18313648266,140967.325459306,0.214624053450951,0.214624053450951
"16","Los Angeles",557220,545540,"",514220,436432,2195.80501802753,627.371,2823.17601802753,112927.040721101,0.277656740773198,0.277656740773198
"17","Orange County",830000,810000,"",788000,648000,3260.2596777547,931.5,4191.7596777547,167670.387110188,0.210832520915757,0.210832520915757
"18","Riverside County",405000,397000,"",380000,317600,1597.92974329459,456.55,2054.47974329459,82179.1897317836,0.390935243316627,0.390935243316627
"19","San Bernardino",290000,278500,"",269000,222800,1120.96582747492,320.275,1441.24082747492,57649.6330989968,0.516795830058951,0.516795830058951
"20","San Diego",645000,610000,"",605000,488000,2455.25728818564,701.5,3156.75728818564,126270.291527426,0.259061720340467,0.259061720340467
"21","Ventura",670000,635500,"",635000,508400,2557.8950928557,730.825,3288.7200928557,131548.803714228,0.311785059227286,0.311785059227286
"22","Monterey",647000,590000,"",603000,472000,2374.75704922873,678.5,3053.25704922873,122130.281969149,0.23129523394881,0.23129523394881
"23","San Luis Obispo",618500,596400,"",565000,477120,2400.51712569494,685.86,3086.37712569494,123455.085027798,0.246154493292129,0.246154493292129
"24","Santa Barbara",695000,675000,"",750000,540000,2716.88306479559,776.25,3493.13306479559,139725.322591823,0.219822834831806,0.219822834831806
"25","Santa Cruz",905000,850000,"",850000,680000,3421.26015566851,977.5,4398.76015566851,175950.406226741,0.146669980724538,0.146669980724538
"26","Fresno",268390,258000,"",250000,206400,1038.45308254409,296.7,1335.15308254409,53406.1233017636,0.486886310481312,0.486886310481312
"27","Kern (Bakersfield)",244000,231500,"",232500,185200,931.79026592619,266.225,1198.01526592619,47920.6106370476,0.558733712170795,0.558733712170795
"28","Kings County",235000,232000,"",225000,185600,933.802771900112,266.8,1200.60277190011,48024.1108760045,0.518594374154894,0.518594374154894
"29","Madera",238000,255000,"",259900,204000,1026.37804670055,293.25,1319.62804670055,52785.1218680222,0.495217490921488,0.495217490921488
"30","Merced",265000,262500,"",248000,210000,1056.56563630939,301.875,1358.44063630939,54337.6254523758,0.42881515623916,0.42881515623916
"31","Placer County",495900,465000,"",465000,372000,1871.63055574807,534.75,2406.38055574807,96255.2222299228,0.443765229427657,0.443765229427657
"32","Sacramento",374000,355000,"",340000,284000,1428.87924148509,408.25,1837.12924148509,73485.1696594035,0.443247230932275,0.443247230932275
"33","San Benito",571000,560000,"",530000,448000,2254.00669079337,644,2898.00669079337,115920.267631735,0.324158323090753,0.324158323090753
"34","San Joaquin",373375,362500,"",336944,290000,1459.06683109393,416.875,1875.94183109393,75037.673243757,0.39586883042146,0.39586883042146
"35","Stanislaus",315000,3e+05,"",288500,240000,1207.50358435359,345,1552.50358435359,62100.1433741438,0.484431036305333,0.484431036305333
"36","Tulare",233000,225000,"",220000,180000,905.627688265195,258.75,1164.3776882652,46575.1075306078,0.503185451892043,0.503185451892043
"37","Amador",335000,330750,"",340000,264600,1331.27270174984,380.3625,1711.63520174984,68465.4080699935,0.45181503446429,0.45181503446429
"38","Butte County",320000,307000,"",305850,245600,1235.67866798851,353.05,1588.72866798851,63549.1467195404,0.405474327113253,0.405474327113253
"39","Calaveras",329000,315000,"",309000,252000,1267.87876357127,362.25,1630.12876357127,65205.1505428509,0.46287683123407,0.46287683123407
"40","El Dorado County",525000,489000,"",480000,391200,1968.23084249636,562.35,2530.58084249636,101223.233699854,0.418770125434377,0.418770125434377
"41","Humboldt",315000,300050,"",299000,240040,1207.70483495099,345.0575,1552.76233495099,62110.4933980394,0.361659851774497,0.361659851774497
"42","Lake County",283000,266450,"",250000,213160,1072.46443350338,306.4175,1378.88193350338,55155.2773401353,0.397899071917294,0.397899071917294
"43","Lassen",192500,171000,"",186000,136800,688.277043081548,196.65,884.927043081548,35397.0817232619,0.6826072309601,0.6826072309601
"44","Mariposa",320000,292500,"",278000,234000,1177.31599474475,336.375,1513.69099474475,60547.6397897902,0.441030278455913,0.441030278455913
"45","Mendocino",430000,412500,"",4e+05,330000,1660.31742848619,474.375,2134.69242848619,85387.6971394477,0.247830561753058,0.247830561753058
"46","Mono",624500,780000,"",517850,624000,3139.50931931934,897,4036.50931931934,161460.372772774,0.0779362531461252,0.0779362531461252
"47","Nevada",435000,4e+05,"",390000,320000,1610.00477913812,460,2070.00477913812,82800.191165525,0.366259621308614,0.366259621308614
"48","Plumas",297000,271000,"",285000,216800,1090.77823786608,311.65,1402.42823786608,56097.1295146432,0.466050014597343,0.466050014597343
"49","Shasta",265500,249900,"",259900,199920,1005.85048576654,287.385,1293.23548576654,51729.4194306618,0.487444213407567,0.487444213407567
"50","Siskiyou County",207500,210000,"",216500,168000,845.252509047516,241.5,1086.75250904752,43470.1003619006,0.484274826126955,0.484274826126955
"51","Sutter",299950,282700,"",271000,226160,1137.87087765587,325.105,1462.97587765587,58519.0351062348,0.486655178649546,0.486655178649546
"52","Tehama",215900,219000,"",202000,175200,881.477616578124,251.85,1133.32761657812,45333.1046631249,0.511252753416467,0.511252753416467
"53","Tuolumne",308500,280000,"",285000,224000,1127.00334539669,322,1449.00334539669,57960.1338158675,0.489825375469088,0.489825375469088
"54","Yolo",469500,4e+05,"",430000,320000,1610.00477913812,460,2070.00477913812,82800.191165525,0.409310165618319,0.409310165618319
"55","Yuba",290000,269950,"",270000,215960,1086.55197532084,310.4425,1396.99447532084,55879.7790128337,0.486753391107598,0.486753391107598
