"","X1","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"1",NA,"ACTON","2018-Q2",599950,"2018-04-01",2489.25403018496,479960,689.9425,3179.19653018496,127167.861207398,0.372587049333607
"2",NA,"ADELANTO","2018-Q2",225000,"2018-04-01",933.548056990776,180000,258.75,1192.29805699078,47691.922279631,0.368351489659866
"3",NA,"AGOURA HILLS","2018-Q2",965000,"2018-04-01",4003.88388887155,772000,1109.75,5113.63388887155,204545.355554862,0.297565726054524
"4",NA,"ALAMEDA","2018-Q2",945000,"2018-04-01",3920.90183936126,756000,1086.75,5007.65183936126,200306.07357445,0.198022532387311
"5",NA,"ALAMO","2018-Q2",1745000,"2018-04-01",7240.18381977291,1396000,2006.75,9246.93381977291,369877.352790916,0.318592240133772
"6",NA,"ALHAMBRA","2018-Q2",641500,"2018-04-01",2661.64923804259,513200,737.725,3399.37423804259,135974.969521704,0.166073938772736
"7",NA,"ALISO VIEJO","2018-Q2",590000,"2018-04-01",2447.97046055359,472000,678.5,3126.47046055359,125058.818422144,0.443535270871326
"8",NA,"ALPINE","2018-Q2",622000,"2018-04-01",2580.74173977006,497600,715.3,3296.04173977006,131841.669590802,2.25160319698187
"9",NA,"ALTADENA","2018-Q2",850000,"2018-04-01",3526.73710418738,680000,977.5,4504.23710418738,180169.484167495,0.254252058984321
"10",NA,"AMERICAN CANYON","2018-Q2",519000,"2018-04-01",2153.38418479206,415200,596.85,2750.23418479206,110009.367391682,0.392541330795909
"11",NA,"ANAHEIM","2018-Q2",565000,"2018-04-01",2344.24289866573,452000,649.75,2993.99289866573,119759.715946629,0.251349281857347
"12",NA,"ANDERSON","2018-Q2",227500,"2018-04-01",943.920813179562,182000,261.625,1205.54581317956,48221.8325271825,0.368056303912018
"13",NA,"ANTELOPE","2018-Q2",350000,"2018-04-01",1452.1858664301,280000,402.5,1854.6858664301,74187.4346572038,0.480930359218963
"14",NA,"ANTIOCH","2018-Q2",455500,"2018-04-01",1889.91617759688,364400,523.825,2413.74117759688,96549.6471038753,0.368461615839017
"15",NA,"APPLE VALLEY","2018-Q2",248500,"2018-04-01",1031.05196516537,198800,285.775,1316.82696516537,52673.0786066147,0.49308043044186
"16",NA,"APTOS","2018-Q2",970000,"2018-04-01",4024.62940124912,776000,1115.5,5140.12940124912,205605.176049965,0.140150120964716
