"","region","Price2018-Q2","Price2018-Q1","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","principal2018-Q1","pmt2018-Q1","t_i2018-Q1","pti2018-Q1","min_inc2018-Q1","HAI2018-Q1","Price2017-Q2","principal2017-Q2","pmt2017-Q2","t_i2017-Q2","pti2017-Q2","min_inc2017-Q2","HAI2017-Q2"
"1","ACTON",599950,610000,479960,2489.25403018496,689.9425,3179.19653018496,127167.861207398,0.372587049333607,488000,2455.25728818564,701.5,3156.75728818564,126270.291527426,0.373925616505592,524750,419800,2026.03225958493,603.4625,2629.49475958493,105179.790383397,0.453018386643661
"2","ADELANTO",225000,215000,180000,933.548056990776,258.75,1192.29805699078,47691.922279631,0.368351489659866,172000,865.377568786742,247.25,1112.62756878674,44505.1027514697,0.403193347546973,198250,158600,765.43286415,227.9875,993.42036415,39736.814566,0.4385557483828
"3","AGOURA HILLS",965000,782500,772000,4003.88388887155,1109.75,5113.63388887155,204545.355554862,0.297565726054524,626000,3149.57184918896,899.875,4049.44684918896,161977.873967558,0.401231750922984,1050000,840000,4053.99499297604,1207.5,5261.49499297604,210459.799719042,0.234271294466992
"4","ALAMEDA",945000,854995,756000,3920.90183936126,1086.75,5007.65183936126,200306.07357445,0.198022532387311,683996,3441.365090348,983.24425,4424.609340348,176984.37361392,0.249524834360173,903000,722400,3486.43569395939,1038.45,4524.88569395939,180995.427758376,0.189113856651636
"5","ALAMO",1745000,1695000,1396000,7240.18381977291,2006.75,9246.93381977291,369877.352790916,0.318592240133772,1356000,6822.3952515978,1949.25,8771.64525159781,350865.810063912,0.329709556843412,1635000,1308000,6312.64934620554,1880.25,8192.89934620554,327715.973848222,0.288628229671632
"6","ALHAMBRA",641500,638000,513200,2661.64923804259,737.725,3399.37423804259,135974.969521704,0.166073938772736,510400,2567.95762272531,733.7,3301.65762272531,132066.304909012,0.174186651448967,590000,472000,2277.9590912913,678.5,2956.4590912913,118258.363651652,0.187161780821102
"7","ALISO VIEJO",590000,594900,472000,2447.97046055359,678.5,3126.47046055359,125058.818422144,0.443535270871326,475920,2394.47960777318,684.135,3078.61460777318,123144.584310927,0.450486952380711,580500,464400,2241.2800889739,667.575,2908.85508897389,116354.203558956,0.458587644631763
"8","ALPINE",622000,604500,497600,2580.74173977006,715.3,3296.04173977006,131841.669590802,2.25160319698187,483600,2433.11972247249,695.175,3128.29472247249,125131.7888989,19.663723448514,605500,484400,2337.80377928285,696.325,3034.12877928285,121365.151171314,2.56490347666137
"9","ALTADENA",850000,860000,680000,3526.73710418738,977.5,4504.23710418738,180169.484167495,0.254252058984321,688000,3461.51027514697,989,4450.51027514697,178020.411005879,0.256307082554653,830000,664000,3204.58651825725,954.5,4159.08651825725,166363.46073029,0.242764550891194
"10","AMERICAN CANYON",519000,515000,415200,2153.38418479206,596.85,2750.23418479206,110009.367391682,0.392541330795909,412000,2072.88115314034,592.25,2665.13115314034,106605.246125613,0.403302116412024,537500,430000,2075.2593416425,618.125,2693.3843416425,107735.3736657,0.388177842447338
"11","ANAHEIM",565000,547000,452000,2344.24289866573,649.75,2993.99289866573,119759.715946629,0.251349281857347,437600,2201.68153547139,629.05,2830.73153547139,113229.261418855,0.275825328076959,528750,423000,2041.47605003436,608.0625,2649.53855003436,105981.542001374,0.285845535632188
"12","ANDERSON",227500,227950,182000,943.920813179562,261.625,1205.54581317956,48221.8325271825,0.368056303912018,182360,917.501473511339,262.1425,1179.64397351134,47185.7589404536,0.378072288962242,219500,175600,847.47800091261,252.425,1099.90300091261,43996.1200365044,0.434970545583527
"13","ANTELOPE",350000,330000,280000,1452.1858664301,402.5,1854.6858664301,74187.4346572038,0.480930359218963,264000,1328.25394278895,379.5,1707.75394278895,68310.1577115581,0.523705042667772,325000,260000,1254.80797401639,373.75,1628.55797401639,65142.3189606557,0.518406833226601
"14","ANTIOCH",455500,420000,364400,1889.91617759688,523.825,2413.74117759688,96549.6471038753,0.368461615839017,336000,1690.50501809503,483,2173.50501809503,86940.2007238012,0.420850180053731,415000,332000,1602.29325912862,477.25,2079.54325912862,83181.730365145,0.436526408712164
"15","APPLE VALLEY",248500,255250,198800,1031.05196516537,285.775,1316.82696516537,52673.0786066147,0.49308043044186,204200,1027.38429968752,293.5375,1320.92179968752,52836.8719875006,0.490265327502268,239900,191920,926.241332204716,275.885,1202.12633220472,48085.0532881886,0.497564392874072
"16","APTOS",970000,840000,776000,4024.62940124912,1115.5,5140.12940124912,205605.176049965,0.140150120964716,672000,3381.01003619006,966,4347.01003619006,173880.401447602,0.214254536832059,9e+05,720000,3474.85285112232,1035,4509.85285112232,180394.114044893,0.19190011567282
"17","ARCADIA",1107500,972750,886000,4595.13099163238,1273.625,5868.75599163238,234750.239665295,0.139629905790431,778200,3915.33037226653,1118.6625,5033.99287226653,201359.714890661,0.18023053137397,933000,746400,3602.26412233014,1072.95,4675.21412233014,187008.564893205,0.182947707985333
"18","ARCATA",344453,301000,275562.4,1429.17079499842,396.12095,1825.29174499842,73011.6697999367,0.223848058002107,240800,1211.52859630144,346.15,1557.67859630144,62307.1438520576,0.280871076461041,369500,295600,1426.62014276633,424.925,1851.54514276633,74061.8057106532,0.198390610071257
"19","ARNOLD",295000,292060,236000,1223.9852302768,339.25,1563.2352302768,62529.4092110718,0.458635623597129,233648,1175.5449894877,335.869,1511.4139894877,60456.5595795081,0.471402834854944,285000,228000,1100.37006952207,327.75,1428.12006952207,57124.8027808827,0.573587681241507
