"","RegionSalesCar","2017 Q1","2016 Q4","Quarter_Rev","2016 Q1","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",496620,512190,NA,465920,372736,1781.64821618676,535.808,2317.45621618676,92698.2486474704,0.34253144441586,0.343137883158091,""
"2","CA Condo/Townhomes",414940,413700,NA,391210,312968,1495.96196483178,449.8915,1945.85346483178,77834.1385932711,0.413323691965999,0.414555520661156,""
"3","Los Angeles Metropolitan Area",461919.521726365,464870,NA,438830,351064,1678.05779255931,504.6545,2182.71229255931,87308.4917023725,0.352171067230941,0.35406741346287,""
"4","Inland Empire",326460,317710,NA,297850,238280,1138.9593088754,342.5275,1481.4868088754,59259.472355016,0.477547235830251,0.477547235830251,""
"5","S.F. Bay Area",780330,790000,NA,715000,572000,2734.11417104553,822.25,3556.36417104553,142254.566841821,0.279243582693276,0.274405913509502,"R"
"6","United States",232100,235000,"1",217600,174080,832.088452614695,250.24,1082.32845261469,43293.1381045878,0.600326655985591,0.600326655985591,""
"7","Alameda",798000,779500,NA,728000,582400,2783.82533779181,837.2,3621.02533779181,144841.013511672,0.256526767400252,0.254228250752335,"R"
"8","Contra-Costa",562500,550000,NA,525500,420400,2009.47831732087,604.325,2613.80331732087,104552.132692835,0.399862449952906,0.384791819468538,"R"
"9","Marin",1200000,1149500,NA,1109000,887200,4240.74491704824,1275.35,5516.09491704824,220643.79668193,0.198879278389932,0.202393132474648,""
"10","Napa",668000,620000,NA,649000,519200,2481.73440141056,746.35,3228.08440141056,129123.376056422,0.233954116961966,0.235177248925023,"R"
"11","San Francisco",1300000,1353000,NA,1320000,1056000,5047.59539269944,1518,6565.59539269944,262623.815707977,0.130045774254768,0.129309970784885,""
"12","San Mateo",1300000,1300000,NA,1170000,936000,4474.00500716541,1345.5,5819.50500716541,232780.200286616,0.163266893124815,0.163266893124815,""
"13","Santa Clara",1070000,1005000,NA,970000,776000,3709.21782645337,1115.5,4824.71782645337,192988.713058135,0.220175243091753,0.220175243091753,""
"14","Solano",390750,392500,NA,363000,290400,1388.08873299234,417.45,1805.53873299234,72221.5493196938,0.475151344230006,0.467231548834851,"R"
"15","Sonoma",605000,589000,NA,550000,440000,2103.1647469581,632.5,2735.6647469581,109426.589878324,0.281213172161133,0.255767958412543,"R"
