"","RegionSalesCar","2016 Q4","2016 Q3","2015 Q4","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",434656,516070,484710,391190.4,1664.07967514732,499.8544,2163.93407514732,64918.0222544195,0.497587257257498,0.502028076642099,"",0.51091332091255,""
"2","CA Condo/Townhomes",351645,418320,393570,316480.5,1346.27221841451,404.39175,1750.66396841451,52519.9190524353,0.578171544491832,0.580964768491875,"",0.588956176901207,""
"3","Los Angeles Metropolitan Area",393592.5,468600,444900,354233.25,1506.86814294619,452.631375,1959.49951794619,58784.9855383857,0.523954691877488,0.52708929806054,"",0.526486883470894,""
"4","Inland Empire",270053.5,318960,295550,243048.15,1033.89931475097,310.561525,1344.46083975097,40333.825192529,0.638894466578646,0.645103063685264,"",0.646588969588678,""
"5","S.F. Bay Area",677594.5,783560,735200,609835.05,2594.16926360526,779.233675,3373.40293860526,101202.088158158,0.432244008738687,0.447921410502296,"",0.455426157795052,""
"6","United States",199750,240900,223000,179775,764.742497769906,229.7125,994.454997769906,29833.6499330972,0.728693286357567,0.727321687379806,"",0.746052765622341,""
"7","Alameda",662575,780000,725000,596317.5,2536.66713621975,761.96125,3298.62838621975,98958.8515865925,0.431785125271393,0.439800805993526,"R",0.427928525813226,""
"8","Contra-Costa",467500,575000,518750,420750,1789.82286712106,537.625,2327.44786712106,69823.4360136317,0.576012529189973,0.56581953643958,"R",0.588131219576718,"R"
"9","Marin",977075,1185000,1171350,879367.5,3740.72979228301,1123.63625,4864.36604228301,145930.98126849,0.349546383506328,0.344176977398148,"",0.327776152586655,""
"10","Napa",527000,639000,655940,474300,2017.61850475465,606.05,2623.66850475465,78710.0551426394,0.471610249025947,0.466916194944513,"",0.441151831159085,""
"11","San Francisco",1150050,1298000,1250000,1035045,4402.9642531178,1322.5575,5725.5217531178,171765.652593534,0.245906352816277,0.263634635475938,"",0.241346859962786,""
"12","San Mateo",1105000,1300000,1195000,994500,4230.49041319522,1270.75,5501.24041319522,165037.212395857,0.279982688353773,0.285599787082087,"",0.288117296463422,""
"13","Santa Clara",854250,1e+06,940000,768825,3270.49451173939,982.3875,4252.88201173939,127586.460352182,0.399263764775338,0.409002470398011,"",0.414899916333115,""
"14","Solano",333625,393000,349450,300262.5,1277.28268244548,383.66875,1660.95143244548,49828.5429733644,0.637838517051278,0.645261299993795,"",0.674105927105686,""
"15","Sonoma",500650,580500,530000,450585,1916.73757951691,575.7475,2492.48507951691,74774.5523855074,0.451017548574996,0.468546832342264,"",0.502782414455289,"R"
"16","Los Angeles",427890,536720,481940,385101,1638.17605692498,492.0735,2130.24955692498,63907.4867077494,0.466274837609942,0.447541670199363,"",0.473679239815279,""
"17","Orange County",633386,740070,708700,570047.4,2424.9171048435,728.3939,3153.3110048435,94599.3301453051,0.419064525506085,0.431778556698381,"",0.429293646316744,""
"18","Riverside County",302923,358510,340260,272630.7,1159.74013342655,348.36145,1508.10158342655,45243.0475027965,0.602380437445836,0.608353193566016,"",0.602350359118188,""
"19","San Bernardino",213435,248280,233730,192091.5,817.135494425631,245.45025,1062.58574442563,31877.5723327689,0.709812698789415,0.719651339852056,"",0.716729690615201,""
"20","San Diego",504084,589260,546770,453675.6,1929.88464203177,579.6966,2509.58124203177,75287.437260953,0.441530214357431,0.454167802227319,"",0.469149452088724,""
"21","Ventura",535381,642740,608430,481842.9,2049.70514742703,615.68815,2665.39329742703,79961.798922811,0.51794889564987,0.517238107220067,"",0.494934364164543,""
"22","Monterey",430950,539000,500950,387855,1649.89126114614,495.5925,2145.48376114614,64364.5128343841,0.47557403403243,0.456621143594117,"",0.487667519025285,""
"23","San Luis Obispo",481567.5,574930,541990,433410.75,1843.68026430443,553.802625,2397.48288930443,71924.4866791328,0.443903043094716,0.4463938502518,"",0.487845138981055,""
"24","Santa Barbara",579139,717460,650000,521225.1,2217.23256778957,666.00985,2883.24241778957,86497.2725336869,0.395428886479344,0.380646575791728,"",0.413593013733325,"R"
"25","Santa Cruz",680000,793000,720000,612000,2603.37871581245,782,3385.37871581245,101561.361474373,0.348792979029871,0.361311665692808,"",0.418838411993919,""
"26","Fresno",201705,238260,219960,181534.5,772.227211577867,231.96075,1004.18796157787,30125.638847336,0.664024387849272,0.669721653736784,"",0.673751751526096,""
"27","Kern (Bakersfield)",191938.5,224670,215690,172744.65,734.83618477201,220.729275,955.565459772011,28666.9637931603,0.709886237135196,0.717827342538611,"",NA,NA
"28","Kings County",182894.5,210140,190970,164605.05,700.211247851705,210.328675,910.539922851705,27316.1976855511,0.728571090079809,0.742789645593272,"",0.784199785626421,""
"29","Madera",195321.5,238160,220830,175789.35,747.787993883177,224.619725,972.407718883177,29172.2315664953,0.677195280407887,0.671133388132614,"",0.676419350197001,""
"30","Merced",196112,219950,205190,176500.8,750.81442164031,225.5288,976.34322164031,29290.2966492093,0.662934193521644,0.689157273094856,"",0.725041893160904,""
"31","Placer County",369512,439500,394770,332560.8,1414.67599417248,424.9388,1839.61479417248,55188.4438251745,0.649401371804045,0.652119049081922,"",0.653755903819705,""
"32","Sacramento",275655,327040,294050,248089.5,1055.34464692247,317.00325,1372.34789692247,41170.4369076741,0.630299995008268,0.634730589655549,"",0.657356543764903,""
"33","San Benito",425000,516000,490000,382500,1627.11169738278,488.75,2115.86169738278,63475.8509214833,0.558726479608001,0.55351045326212,"",0.550478213136553,""
"34","San Joaquin",275884.5,321250,284820,248296.05,1056.22328723906,317.267175,1373.49046223906,41204.7138671717,0.616171119116301,0.627601115578778,"",0.652514816307663,""
"35","Stanislaus",234600,273550,253320,211140,898.165656955294,269.79,1167.95565695529,35038.6697086588,0.651234072024569,0.66188138191749,"",0.662107781672351,""
"36","Tulare",180778,212570,189300,162700.2,692.108231598739,207.8947,900.002931598739,27000.0879479622,0.659366704815561,0.667164822643725,"",0.720586167783977,""
"37","Amador",236878,253910,271250,213190.2,906.886975653265,272.4097,1179.29667565327,35378.900269598,0.667276725619647,0.704310232184754,"",0.697955316112218,""
"38","Butte County",248795,280830,257290,223915.5,952.511187647879,286.11425,1238.62543764788,37158.7631294364,0.577411416842078,0.5972922765952,"",0.634562858737275,""
"39","El Dorado County",370353.5,423240,392760,333318.15,1417.8976753333,425.906525,1843.8042003333,55314.126009999,0.562538116128562,0.580741984969803,"",0.658501474499216,""
"40","Humboldt",251872,296040,269670,226684.8,964.29147633693,289.6528,1253.94427633693,37618.3282901079,0.57698476055102,0.58417461095825,"",0.620269070297284,""
"41","Lake County",209074.5,232210,229650,188167.05,800.441328410484,240.435675,1040.87700341048,31226.3101023145,0.599158002949593,0.62925801357974,"",0.594217647291267,""
"42","Mariposa",209278.5,263270,243750,188350.65,801.222342025228,240.670275,1041.89261702523,31256.7785107568,0.669180523669742,0.654689495015653,"",0.737775178375991,""
"43","Mendocino",312324,355740,354760,281091.6,1195.73184417266,359.1726,1554.90444417266,46647.1333251797,0.497183962503274,0.515860503442596,"",0.511812518448879,"R"
"44","Shasta",208301,237990,234250,187470.9,797.479985121248,239.54615,1037.02613512125,31110.7840536374,0.637280533149504,0.657121326465362,"",0.702483237937643,""
"45","Siskiyou County",164772.5,203700,173330,148295.25,630.831205075303,189.488375,820.319580075303,24609.5874022591,0.677972050248703,0.666861367116456,"",0.707901872709725,""
"46","Sutter",219470,262120,250530,197523,840.240480528467,252.3905,1092.63098052847,32778.929415854,0.693734495794628,0.695555163977141,"",0.704957828909507,""
