"","region","Price.2017-Q4","Price.2017-Q3","principal.2017-Q4","pmt.2017-Q4","t_i.2017-Q4","pti.2017-Q4","min_inc.2017-Q4","HAI.2017-Q4","principal.2017-Q3","pmt.2017-Q3","t_i.2017-Q3","pti.2017-Q3","min_inc.2017-Q3","HAI.2017-Q3"
"104","CABAZON",182000,142500,145600,755.13665054365,209.3,964.43665054365,38577.466021746,0.596281370681218,114000,591.247102760825,163.875,755.122102760825,30204.884110433,0.684569510030145
"105","CALABASAS",1149000,1118750,919200,4767.31874436623,1321.35,6088.66874436623,243546.749774649,0.258672755589981,895000,4641.80839448191,1286.5625,5928.37089448191,237134.835779277,0.265217683375552
"106","CALEXICO",360000,159900,288000,1493.67689118524,414,1907.67689118524,76307.0756474097,0.242433778320939,127920,663.441485834778,183.885,847.326485834778,33893.0594333911,0.55256774072318
"107","CALIFORNIA CITY",154900,159900,123920,642.695973457205,178.135,820.830973457205,32833.2389382882,0.67285036335161,127920,663.441485834778,183.885,847.326485834778,33893.0594333911,0.661041565563798
"108","CALIFORNIA HOT SPRINGS",146000,82000,116800,605.768961425126,167.9,773.668961425126,30946.758457005,0.37682718027281,65600,340.226402992194,94.3,434.526402992194,17381.0561196878,0.593289895004559
"109","CALIMESA",329000,345000,263200,1365.05471444429,378.35,1743.40471444429,69736.1885777716,0.491963410361509,276000,1431.44035405252,396.75,1828.19035405252,73127.6141621009,0.471425282727268
"110","CALISTOGA",845000,689000,676000,3505.9915918098,971.75,4477.7415918098,179109.663672392,0.189666771346577,551200,2858.73160562953,792.35,3651.08160562953,146043.264225181,0.225458237116708
"111","CALPINE",750000,579000,6e+05,3111.82685663592,862.5,3974.32685663592,158973.074265437,0.146954487889158,463200,2402.33033332293,665.85,3068.18033332293,122727.213332917,0.260939218903288
"112","CAMARILLO",620500,579000,496400,2574.51808605678,713.575,3288.09308605678,131523.723442271,0.356635886718966,463200,2402.33033332293,665.85,3068.18033332293,122727.213332917,0.391439559447338
"113","CAMBRIA",752750,587000,602200,3123.23688844359,865.6625,3988.89938844358,159555.975537743,0.152862356067658,469600,2435.52315312705,675.05,3110.57315312705,124422.926125082,0.235278892847472
"114","CAMERON PARK",492400,472500,393920,2043.01805894337,566.26,2609.27805894337,104371.122357735,0.420309170613771,378000,1960.45091968063,543.375,2503.82591968063,100153.036787225,0.436428220788572
"115","CAMINO",406000,395000,324800,1684.53560505891,466.9,2151.43560505891,86057.4242023565,0.452025889679566,316000,1638.89547782825,454.25,2093.14547782825,83725.8191131301,0.462222637498888
"116","CAMP NELSON",103000,140000,82400,427.357554978,118.45,545.807554978,21832.30219912,0.923304197266376,112000,580.874346572038,161,741.874346572038,29674.9738628815,0.855588811019354
"117","CAMPBELL",1430000,1400000,1144000,5933.21653998582,1644.5,7577.71653998582,303108.661599433,0.131840767238613,1120000,5808.74346572038,1610,7418.74346572038,296749.738628815,0.131847876559613
"118","CAMPO",298500,317500,238800,1238.5070889411,343.275,1581.7820889411,63271.2835576439,0.436320717941185,254000,1317.34003597587,365.125,1682.46503597587,67298.6014390349,0.4005484276243
"119","CANTUA CREEK",67000,85000,53600,277.989865859476,77.05,355.039865859476,14201.594634379,0.922321566517471,68000,352.673710418738,97.75,450.423710418738,18016.9484167495,0.862600484899428
"120","CANYON LAKE",477500,419000,382000,1981.1964320582,549.125,2530.3214320582,101212.857282328,0.356853567024766,335200,1738.4739372406,481.85,2220.3239372406,88812.957489624,0.441977309775172
"121","CAPITOLA",865000,9e+05,692000,3588.97364132009,994.75,4583.72364132009,183348.945652804,0.0947971629015608,720000,3734.1922279631,1035,4769.1922279631,190767.689118524,0.0873242960944116
"122","CARLSBAD",875000,825500,7e+05,3630.46466607524,1006.25,4636.71466607524,185468.58664301,0.248741097220036,660400,3425.08409353727,949.325,4374.40909353727,174976.363741491,0.26908447833385
"123","CARMICHAEL",416500,387000,333200,1728.10118105181,478.975,2207.07618105181,88283.0472420726,0.377969324854295,309600,1605.70265802413,445.05,2050.75265802413,82030.1063209654,0.406941507777406
"124","CARNELIAN BAY",650000,529500,520000,2696.91660908446,747.5,3444.41660908446,137776.664363379,0.296398354376583,423600,2196.94976078496,608.925,2805.87476078496,112234.990431398,0.428485303779401
"125","CARPINTERIA",850000,680000,680000,3526.73710418738,977.5,4504.23710418738,180169.484167495,0.134531692260719,544000,2821.3896833499,782,3603.3896833499,144135.587333996,0.214667143281994
"126","CARSON",545000,487500,436000,2261.26084915544,626.75,2888.01084915544,115520.433966217,0.310162851722675,390000,2022.68745681335,560.625,2583.31245681335,103332.498272534,0.371263134267124
"127","CARUTHERS",165000,215000,132000,684.601908459902,189.75,874.351908459902,34974.0763383961,0.631363844358613,172000,892.05703223563,247.25,1139.30703223563,45572.2812894252,0.502790519893307
"128","CASSEL",313500,544000,250800,1300.74362607381,360.525,1661.26862607381,66450.7450429526,0.386315751272351,435200,2257.11174667992,625.6,2882.71174667992,115308.469867197,0.178205978437026
"129","CASTAIC",505000,544000,404000,2095.29675013485,580.75,2676.04675013485,107041.870005394,0.550247880514666,435200,2257.11174667992,625.6,2882.71174667992,115308.469867197,0.496435635078947
"130","CASTRO VALLEY",895000,797500,716000,3713.44671558553,1029.25,4742.69671558553,189707.868623421,0.215600712610147,638000,3308.90922422286,917.125,4226.03422422286,169041.368968914,0.262671754384536
"131","CASTROVILLE",469000,537450,375200,1945.92906101633,539.35,2485.27906101633,99411.1624406532,0.196527274426254,429960,2229.9351254653,618.0675,2848.0026254653,113920.105018612,0.151478899975765
"132","CATHEDRAL CITY",292000,281000,233600,1211.53792285025,335.8,1547.33792285025,61893.5169140101,0.393546567045534,224800,1165.89779561959,323.15,1489.04779561959,59561.9118247837,0.406181687320681
"133","CATHEYS VALLEY",437500,450000,350000,1815.23233303762,503.125,2318.35733303762,92734.2933215048,0.244611286141623,360000,1867.09611398155,517.5,2384.59611398155,95383.8445592621,0.231690752669937
"134","CAYUCOS",847500,9e+05,678000,3516.36434799859,974.625,4490.98934799859,179639.573919944,0.171151522411088,720000,3734.1922279631,1035,4769.1922279631,190767.689118524,0.153770077811282
"135","CAZADERO",490000.5,417500,392000.4,2033.06228755337,563.500575,2596.56286255337,103862.514502135,0.242352717132207,334000,1732.25028352733,480.125,2212.37528352733,88495.0113410932,0.30043558718408
"136","CERES",297000,285050,237600,1232.28343522782,341.55,1573.83343522782,62953.337409113,0.465731571255851,228040,1182.70166064543,327.8075,1510.50916064543,60420.366425817,0.484071948062135
"137","CERRITOS",735000,675000,588000,3049.5903195032,845.25,3894.8403195032,155793.612780128,0.285803019567282,540000,2800.64417097233,776.25,3576.89417097233,143075.766838893,0.326060705999881
"138","CHERRY VALLEY",310000,389900,248000,1286.22176740951,356.5,1642.72176740951,65708.8706963805,0.479401092450461,311920,1617.73505520313,448.385,2066.12005520313,82644.8022081251,0.370383691588456
"139","CHICO",339000,337250,271200,1406.54573919944,389.85,1796.39573919944,71855.8295679774,0.362119102667759,269800,1399.28480986729,387.8375,1787.12230986729,71484.8923946914,0.362269628767944
"140","CHINO",480000,483500,384000,1991.56918824699,552,2543.56918824699,101742.76752988,0.368976023304228,386800,2006.09104691129,556.025,2562.11604691129,102484.641876452,0.362023911900581
"141","CHINO HILLS",639900,691000,511920,2655.01067408177,735.885,3390.89567408177,135635.826963271,0.351795248135213,552800,2867.02981058056,794.65,3661.67981058056,146467.192423222,0.302437660090424
"142","CHOWCHILLA",235000,249900,188000,975.039081745922,270.25,1245.28908174592,49811.5632698369,0.40696455658357,199920,1036.86070863109,287.385,1324.24570863109,52969.8283452435,0.384933936253314
