X,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
,FALLBROOK,2018-Q1,557500,1/1/2018,2313.12463,4.46E+05,641.125,2954.24963,118169.9852,0.199545427
,FELTON,2018-Q1,5.75E+05,1/1/2018,2385.733923,4.60E+05,661.25,3046.983923,121879.3569,0.28433146
,FOLSOM,2018-Q1,5.30E+05,1/1/2018,2199.024312,4.24E+05,609.5,2808.524312,112340.9725,0.523935656
,FONTANA,2018-Q1,3.95E+05,1/1/2018,1638.895478,3.16E+05,454.25,2093.145478,83725.81911,0.427295843
,FORESTHILL,2018-Q1,3.70E+05,1/1/2018,1535.167916,2.96E+05,425.5,1960.667916,78426.71664,0.445282998
,FORTUNA,2018-Q1,312825,1/1/2018,1297.942982,250260,359.74875,1657.691732,66307.66928,0.32741352
,FOUNTAIN VALLEY,2018-Q1,768500,1/1/2018,3188.585252,614800,883.775,4072.360252,162894.4101,0.206677698
,FREMONT,2018-Q1,1.07E+06,1/1/2018,4422.943239,852800,1225.9,5648.843239,225953.7296,0.205693503
,FRESNO,2018-Q1,2.45E+05,1/1/2018,1016.530107,1.96E+05,281.75,1298.280107,51931.20426,0.460824842
,FULLERTON,2018-Q1,642500,1/1/2018,2665.798341,5.14E+05,738.875,3404.673341,136186.9336,0.236838606
,GALT,2018-Q1,339500,1/1/2018,1408.62029,271600,390.425,1799.04529,71961.81162,0.494039314
,GARDEN GROVE,2018-Q1,5.85E+05,1/1/2018,2427.224948,4.68E+05,672.75,3099.974948,123998.9979,0.186062808
,GARDENA,2018-Q1,5.29E+05,1/1/2018,2194.87521,423200,608.35,2803.22521,112129.0084,0.1990874
,GILROY,2018-Q1,7.80E+05,1/1/2018,3236.299931,6.24E+05,897,4133.299931,165331.9972,0.246021173
,GLENDALE,2018-Q1,7.62E+05,1/1/2018,3161.616086,609600,876.3,4037.916086,161516.6435,0.161257209
,GLENDORA,2018-Q1,5.85E+05,1/1/2018,2427.224948,4.68E+05,672.75,3099.974948,123998.9979,0.324516209
,GOLD RIVER,2018-Q1,4.54E+05,1/1/2018,1883.692524,363200,522.1,2405.792524,96231.70096,0.623968773
,GOLETA,2018-Q1,8.05E+05,1/1/2018,3340.027493,6.44E+05,925.75,4265.777493,170631.0997,0.197358145
,GRANITE BAY,2018-Q1,753500,1/1/2018,3126.348715,602800,866.525,3992.873715,159714.9486,0.382972178
,GRASS VALLEY,2018-Q1,4.00E+05,1/1/2018,1659.64099,3.20E+05,460,2119.64099,84785.63961,0.196272429
,GROVER BEACH,2018-Q1,5.10E+05,1/1/2018,2116.042263,4.08E+05,586.5,2702.542263,108101.6905,0.247212311
,HACIENDA HEIGHTS,2018-Q1,662500,1/1/2018,2748.78039,5.30E+05,761.875,3510.65539,140426.2156,0.249543859
,HALF MOON BAY,2018-Q1,1.32E+06,1/1/2018,5476.815268,1.06E+06,1518,6994.815268,279792.6107,0.235554653
,HANFORD,2018-Q1,2.40E+05,1/1/2018,995.7845941,1.92E+05,276,1271.784594,50871.38376,0.546098081
,HAWTHORNE,2018-Q1,6.07E+05,1/1/2018,2518.505203,485600,698.05,3216.555203,128662.2081,0.123514541
,HAYWARD,2018-Q1,6.60E+05,1/1/2018,2738.407634,5.28E+05,759,3497.407634,139896.3054,0.22058201
,HEALDSBURG,2018-Q1,9.00E+05,1/1/2018,3734.192228,7.20E+05,1035,4769.192228,190767.6891,0.142708073
,HEMET,2018-Q1,252400,1/1/2018,1047.233465,201920,290.26,1337.493465,53499.73859,0.342389147
,HERCULES,2018-Q1,547500,1/1/2018,2271.633605,4.38E+05,629.625,2901.258605,116050.3442,0.478735291
,HESPERIA,2018-Q1,2.65E+05,1/1/2018,1099.512156,2.12E+05,304.75,1404.262156,56170.48624,0.449789981
,HIDDEN VALLEY LAKE,2018-Q1,310500,1/1/2018,1288.296319,248400,357.075,1645.371319,65814.85275,0.520777543
,HIGHLAND,2018-Q1,335500,1/1/2018,1392.023881,268400,385.825,1777.848881,71113.95522,0.433719965
,HILLSBOROUGH,2018-Q1,302500,1/1/2018,1255.103499,2.42E+05,347.875,1602.978499,64119.13995,0.904232307
,HOLLISTER,2018-Q1,542017,1/1/2018,2248.884076,433613.6,623.31955,2872.203626,114888.1451,0.301290475
,HUNTINGTON BEACH,2018-Q1,7.61E+05,1/1/2018,3157.466984,608800,875.15,4032.616984,161304.6794,0.24461816
,IMPERIAL BEACH,2018-Q1,523750,1/1/2018,2173.092422,4.19E+05,602.3125,2775.404922,111016.1969,0.14264344
,INDIAN WELLS,2018-Q1,6.60E+05,1/1/2018,2738.407634,5.28E+05,759,3497.407634,139896.3054,0.364474611
,INDIO,2018-Q1,3.05E+05,1/1/2018,1265.476255,2.44E+05,350.75,1616.226255,64649.0502,0.437282364
,IRVINE,2018-Q1,8.19E+05,1/1/2018,3398.114927,655200,941.85,4339.964927,173598.5971,0.261562258
,JAMUL,2018-Q1,6.74E+05,1/1/2018,2796.495068,539200,775.1,3571.595068,142863.8027,0.461113293
,JOSHUA TREE,2018-Q1,1.65E+05,1/1/2018,684.6019085,1.32E+05,189.75,874.3519085,34974.07634,0.584247184
,KELSEYVILLE,2018-Q1,2.79E+05,1/1/2018,1157.599591,223200,320.85,1478.449591,59137.98363,0.438118742
,KINGSBURG,2018-Q1,3.05E+05,1/1/2018,1265.476255,2.44E+05,350.75,1616.226255,64649.0502,0.496432738
,LA HABRA,2018-Q1,5.68E+05,1/1/2018,2356.690206,454400,653.2,3009.890206,120395.6082,0.248269866
,LA MESA,2018-Q1,5.30E+05,1/1/2018,2199.024312,4.24E+05,609.5,2808.524312,112340.9725,0.232410988
,LA MIRADA,2018-Q1,5.65E+05,1/1/2018,2344.242899,4.52E+05,649.75,2993.992899,119759.7159,0.34639573
,LA PUENTE,2018-Q1,4.50E+05,1/1/2018,1867.096114,3.60E+05,517.5,2384.596114,95383.84456,0.287543662
,LA QUINTA,2018-Q1,4.50E+05,1/1/2018,1867.096114,3.60E+05,517.5,2384.596114,95383.84456,0.441718278
,LA VERNE,2018-Q1,642500,1/1/2018,2665.798341,5.14E+05,738.875,3404.673341,136186.9336,0.277697204
,LADERA RANCH,2018-Q1,716500,1/1/2018,2972.831924,573200,823.975,3796.806924,151872.2769,0.498981092
,LAFAYETTE,2018-Q1,1.28E+06,1/1/2018,5290.105656,1.02E+06,1466.25,6756.355656,270254.2263,0.295750832
,LAGUNA BEACH,2018-Q1,1.85E+06,1/1/2018,7675.83958,1.48E+06,2127.5,9803.33958,392133.5832,0.193481686
,LAGUNA HILLS,2018-Q1,7.00E+05,1/1/2018,2904.371733,5.60E+05,805,3709.371733,148374.8693,0.326563993
,LAGUNA NIGUEL,2018-Q1,799500,1/1/2018,3317.207429,639600,919.425,4236.632429,169465.2972,0.303633148
,LAKE ARROWHEAD,2018-Q1,4.05E+05,1/1/2018,1680.386503,3.24E+05,465.75,2146.136503,85845.4601,0.420722936
,LAKE ELSINORE,2018-Q1,359949.5,1/1/2018,1493.467362,287959.6,413.941925,1907.409287,76296.37146,0.427639842
,LAKE FOREST,2018-Q1,667500,1/1/2018,2769.525902,5.34E+05,767.625,3537.150902,141486.0361,0.336035185
,LAKESIDE,2018-Q1,471250,1/1/2018,1955.264542,3.77E+05,541.9375,2497.202042,99888.08166,0.335184676
,LAKEWOOD,2018-Q1,5.68E+05,1/1/2018,2356.690206,454400,653.2,3009.890206,120395.6082,0.315139759
,LANCASTER,2018-Q1,2.65E+05,1/1/2018,1099.512156,2.12E+05,304.75,1404.262156,56170.48624,0.467603876
,LATHROP,2018-Q1,4.03E+05,1/1/2018,1672.088298,322400,463.45,2135.538298,85421.53191,0.377971997
,LEMON GROVE,2018-Q1,4.54E+05,1/1/2018,1883.692524,363200,522.1,2405.792524,96231.70096,0.257564389
,LEMOORE,2018-Q1,2.45E+05,1/1/2018,1016.530107,1.96E+05,281.75,1298.280107,51931.20426,0.515972303
,LINCOLN,2018-Q1,4.40E+05,1/1/2018,1825.605089,3.52E+05,506,2331.605089,93264.20357,0.439070528
,LITTLEROCK,2018-Q1,2.60E+05,1/1/2018,1078.766644,2.08E+05,299,1377.766644,55110.66575,0.526575697
,LIVERMORE,2018-Q1,7.60E+05,1/1/2018,3153.317881,6.08E+05,874,4027.317881,161092.7153,0.361586067
,LODI,2018-Q1,333500,1/1/2018,1383.725676,266800,383.525,1767.250676,70690.02702,0.37874781
,LOMPOC,2018-Q1,3.45E+05,1/1/2018,1431.440354,2.76E+05,396.75,1828.190354,73127.61416,0.345201536
,LONG BEACH,2018-Q1,5.68E+05,1/1/2018,2356.690206,454400,653.2,3009.890206,120395.6082,0.222806277
,LOOMIS,2018-Q1,4.89E+05,1/1/2018,2028.911111,391200,562.35,2591.261111,103650.4444,0.447437403
,LOS ALTOS,2018-Q1,3.40E+06,1/1/2018,14106.94842,2.72E+06,3910,18016.94842,720677.9367,0
,LOS ANGELES,2018-Q1,5.80E+05,1/1/2018,2406.479436,4.64E+05,667,3073.479436,122939.1774,0.219229073
,LOS BANOS,2018-Q1,340420,1/1/2018,1412.437465,272336,391.483,1803.920465,72156.81859,0.285542306
,LOS GATOS,2018-Q1,1.74E+06,1/1/2018,7219.438307,1.39E+06,2001,9220.438307,368817.5323,0.239073231
,LOS OSOS,2018-Q1,5.40E+05,1/1/2018,2240.515337,4.32E+05,621,2861.515337,114460.6135,0.268407343
,MADERA,2018-Q1,2.55E+05,1/1/2018,1058.021131,2.04E+05,293.25,1351.271131,54050.84525,0.431906441
,MANHATTAN BEACH,2018-Q1,2.27E+06,1/1/2018,9418.462619,1.82E+06,2610.5,12028.96262,481158.5048,0.177561293
,MANTECA,2018-Q1,396750,1/1/2018,1646.156407,317400,456.2625,2102.418907,84096.75629,0.394037667
,MARINA,2018-Q1,5.78E+05,1/1/2018,2398.181231,462400,664.7,3062.881231,122515.2492,0.166600296
,MARIPOSA,2018-Q1,292500,1/1/2018,1213.612474,2.34E+05,336.375,1549.987474,61999.49896,0.296659672
,MARTINEZ,2018-Q1,5.81E+05,1/1/2018,2410.628538,464800,668.15,3078.778538,123151.1415,0.350691029
,MARYSVILLE,2018-Q1,273500,1/1/2018,1134.779527,218800,314.525,1449.304527,57972.18108,0.37760238
,MCKINLEYVILLE,2018-Q1,3.30E+05,1/1/2018,1369.203817,2.64E+05,379.5,1748.703817,69948.15268,0.388132274
,MENIFEE,2018-Q1,3.65E+05,1/1/2018,1514.422404,2.92E+05,419.75,1934.172404,77366.89614,0.39807032
,MENLO PARK,2018-Q1,3.40E+05,1/1/2018,1410.694842,2.72E+05,391,1801.694842,72067.79367,0.756088762
,MERCED,2018-Q1,247450,1/1/2018,1026.695408,197960,284.5675,1311.262908,52450.5163,0.395996726
,MILL VALLEY,2018-Q1,1.43E+06,1/1/2018,5912.471028,1.14E+06,1638.75,7551.221028,302048.8411,0.287800742
,MILLBRAE,2018-Q1,1.73E+06,1/1/2018,7169.649078,1382400,1987.2,9156.849078,366273.9631,0.105094941
,MILPITAS,2018-Q1,1.10E+06,1/1/2018,4564.012723,8.80E+05,1265,5829.012723,233160.5089,0.17308083
,MISSION VIEJO,2018-Q1,6.85E+05,1/1/2018,2842.135196,5.48E+05,787.75,3629.885196,145195.4078,0.344408254
,MODESTO,2018-Q1,2.80E+05,1/1/2018,1161.748693,2.24E+05,322,1483.748693,59349.94773,0.487959415
,MONROVIA,2018-Q1,617500,1/1/2018,2562.070779,4.94E+05,710.125,3272.195779,130887.8311,0.253513447
,MONTCLAIR,2018-Q1,4.10E+05,1/1/2018,1701.132015,3.28E+05,471.5,2172.632015,86905.2806,0.271391738
,MONTEREY,2018-Q1,7.75E+05,1/1/2018,3215.554419,6.20E+05,891.25,4106.804419,164272.1767,0.169472113
,MONTEREY PARK,2018-Q1,659999,1/1/2018,2738.403485,527999.2,758.99885,3497.402335,139896.0934,0.181825747
,MOORPARK,2018-Q1,7.05E+05,1/1/2018,2925.117245,5.64E+05,810.75,3735.867245,149434.6898,0.355323874
,MORAGA,2018-Q1,1.22E+06,1/1/2018,5041.159508,9.72E+05,1397.25,6438.409508,257536.3803,0.323201606
,MORENO VALLEY,2018-Q1,3.16E+05,1/1/2018,1311.116382,252800,363.4,1674.516382,66980.65529,0.455231958
,MORGAN HILL,2018-Q1,8.75E+05,1/1/2018,3630.464666,7.00E+05,1006.25,4636.714666,185468.5866,0.271309839
,MORRO BAY,2018-Q1,699500,1/1/2018,2902.297182,559600,804.425,3706.722182,148268.8873,0.105731437
,MOUNTAIN HOUSE,2018-Q1,5.65E+05,1/1/2018,2344.242899,4.52E+05,649.75,2993.992899,119759.7159,0.463571269
,MOUNTAIN VIEW,2018-Q1,1.68E+06,1/1/2018,6970.492159,1.34E+06,1932,8902.492159,356099.6864,0.168317702
,MURRIETA,2018-Q1,4.20E+05,1/1/2018,1742.62304,3.36E+05,483,2225.62304,89024.92159,0.455512247
,NAPA,2018-Q1,6.74E+05,1/1/2018,2796.495068,539200,775.1,3571.595068,142863.8027,0.235204305
,NATIONAL CITY,2018-Q1,4.11E+05,1/1/2018,1705.281117,328800,472.65,2177.931117,87117.2447,0.223539688
,NEVADA CITY,2018-Q1,457500,1/1/2018,1898.214383,3.66E+05,526.125,2424.339383,96973.5753,0.239404054
,NEWARK,2018-Q1,9.30E+05,1/1/2018,3858.665302,7.44E+05,1069.5,4928.165302,197126.6121,0.153826108
,NEWMAN,2018-Q1,268600,1/1/2018,1114.448925,214880,308.89,1423.338925,56933.557,0.498647266
,NEWPORT BEACH,2018-Q1,2.05E+06,1/1/2018,8505.660075,1.64E+06,2357.5,10863.16007,434526.403,0.157381765
,NIPOMO,2018-Q1,602500,1/1/2018,2499.834241,4.82E+05,692.875,3192.709241,127708.3697,0.250990657
,NORCO,2018-Q1,562500,1/1/2018,2333.870142,4.50E+05,646.875,2980.745142,119229.8057,0.393558249
,NORTH HIGHLANDS,2018-Q1,2.45E+05,1/1/2018,1016.530107,1.96E+05,281.75,1298.280107,51931.20426,0.411354963
,NORTH TUSTIN,2018-Q1,1.10E+06,1/1/2018,4564.012723,8.80E+05,1265,5829.012723,233160.5089,0.260311191
,NORWALK,2018-Q1,4.60E+05,1/1/2018,1908.587139,3.68E+05,529,2437.587139,97503.48555,0.291157186
,NOVATO,2018-Q1,8.90E+05,1/1/2018,3692.701203,7.12E+05,1023.5,4716.201203,188648.0481,0.198022658
,OAK HILLS,2018-Q1,407500,1/1/2018,1690.759259,3.26E+05,468.625,2159.384259,86375.37035,0.42085368
,OAKDALE,2018-Q1,3.49E+05,1/1/2018,1448.036764,279200,401.35,1849.386764,73975.47056,0.423816177
,OAKHURST,2018-Q1,293500,1/1/2018,1217.761577,234800,337.525,1555.286577,62211.46306,0.382798879
,OAKLAND,2018-Q1,670635.5,1/1/2018,2782.535413,536508.4,771.230825,3553.766238,142150.6495,0.219722667
,OAKLEY,2018-Q1,4.65E+05,1/1/2018,1929.332651,3.72E+05,534.75,2464.082651,98563.30604,0.463971086
,OCEANSIDE,2018-Q1,513500,1/1/2018,2130.564121,410800,590.525,2721.089121,108843.5648,0.267219236
,OJAI,2018-Q1,7.25E+05,1/1/2018,3008.099295,5.80E+05,833.75,3841.849295,153673.9718,0.21305861
,OLIVEHURST,2018-Q1,2.00E+05,1/1/2018,829.8204951,1.60E+05,230,1059.820495,42392.8198,0.587919035
,ONTARIO,2018-Q1,4.05E+05,1/1/2018,1680.386503,3.24E+05,465.75,2146.136503,85845.4601,0.312901213
,ORANGE,2018-Q1,6.70E+05,1/1/2018,2779.898659,5.36E+05,770.5,3550.398659,142015.9463,0.251935227
,ORANGEVALE,2018-Q1,3.75E+05,1/1/2018,1555.913428,3.00E+05,431.25,1987.163428,79486.53713,0.518608287
,ORINDA,2018-Q1,1.38E+06,1/1/2018,5705.015904,1.10E+06,1581.25,7286.265904,291450.6362,0.38440892
,OROVILLE,2018-Q1,1.79E+05,1/1/2018,742.6893431,143200,205.85,948.5393431,37941.57372,0.509750295
,OXNARD,2018-Q1,4.80E+05,1/1/2018,1991.569188,3.84E+05,552,2543.569188,101742.7675,0.304959451
,PACIFIC GROVE,2018-Q1,9.00E+05,1/1/2018,3734.192228,7.20E+05,1035,4769.192228,190767.6891,0.159570211
,PACIFICA,2018-Q1,1.01E+06,1/1/2018,4190.5935,8.08E+05,1161.5,5352.0935,214083.74,0.189300169
,PALM DESERT,2018-Q1,3.48E+05,1/1/2018,1443.887661,278400,400.2,1844.087661,73763.50646,0.438468985
,PALM SPRINGS,2018-Q1,377500,1/1/2018,1566.286185,3.02E+05,434.125,2000.411185,80016.44738,0.337506293
,PALMDALE,2018-Q1,3.05E+05,1/1/2018,1265.476255,2.44E+05,350.75,1616.226255,64649.0502,0.455963576
,PALO ALTO,2018-Q1,3.10E+06,1/1/2018,12862.21767,2.48E+06,3565,16427.21767,657088.707,0
,PALOS VERDES ESTATES,2018-Q1,1.68E+06,1/1/2018,6970.492159,1.34E+06,1932,8902.492159,356099.6864,0.32890591
,PARADISE,2018-Q1,2.65E+05,1/1/2018,1099.512156,2.12E+05,304.75,1404.262156,56170.48624,0.474906865
,PASADENA,2018-Q1,777500,1/1/2018,3225.927175,6.22E+05,894.125,4120.052175,164802.087,0.224372555
,PATTERSON,2018-Q1,347500,1/1/2018,1441.81311,2.78E+05,399.625,1841.43811,73657.52441,0.3934588
,PENN VALLEY,2018-Q1,3.60E+05,1/1/2018,1493.676891,2.88E+05,414,1907.676891,76307.07565,0.376462579
,PERRIS,2018-Q1,3.08E+05,1/1/2018,1277.923562,246400,354.2,1632.123562,65284.9425,0.411744653
,PETALUMA,2018-Q1,7.50E+05,1/1/2018,3111.826857,6.00E+05,862.5,3974.326857,158973.0743,0.224962058
,PHELAN,2018-Q1,2.76E+05,1/1/2018,1145.152283,220800,317.4,1462.552283,58502.09133,0.527347054
,PICO RIVERA,2018-Q1,4.67E+05,1/1/2018,1937.630856,373600,537.05,2474.680856,98987.23424,0.258142199
,PINOLE,2018-Q1,5.95E+05,1/1/2018,2468.715973,4.76E+05,684.25,3152.965973,126118.6389,0.299231269
,PISMO BEACH,2018-Q1,8.87E+05,1/1/2018,3680.253896,709600,1020.05,4700.303896,188012.1558,0.144812153
,PITTSBURG,2018-Q1,4.40E+05,1/1/2018,1825.605089,3.52E+05,506,2331.605089,93264.20357,0.361257302
,PLACENTIA,2018-Q1,6.55E+05,1/1/2018,2717.662121,5.24E+05,753.25,3470.912121,138836.4849,0.278127933
,PLACERVILLE,2018-Q1,4.00E+05,1/1/2018,1659.64099,3.20E+05,460,2119.64099,84785.63961,0.332018683
,PLEASANT HILL,2018-Q1,737475,1/1/2018,3059.859348,589980,848.09625,3907.955598,156318.2239,0.26884599
,PLEASANTON,2018-Q1,1.10E+06,1/1/2018,4564.012723,8.80E+05,1265,5829.012723,233160.5089,0.275953598
,PLUMAS LAKE,2018-Q1,304500,1/1/2018,1263.401704,243600,350.175,1613.576704,64543.06815,0.676953728
,POLLOCK PINES,2018-Q1,307950,1/1/2018,1277.716107,246360,354.1425,1631.858607,65274.34429,0.498339785
,POMONA,2018-Q1,3.96E+05,1/1/2018,1643.04458,316800,455.4,2098.44458,83937.78321,0.321569987
,PORTERVILLE,2018-Q1,2.05E+05,1/1/2018,850.5660075,1.64E+05,235.75,1086.316007,43452.6403,0.484831313
,POWAY,2018-Q1,739500,1/1/2018,3068.261281,591600,850.425,3918.686281,156747.4512,0.310648537
,RAMONA,2018-Q1,521375,1/1/2018,2163.238303,417100,599.58125,2762.819553,110512.7821,0.299017093
,RANCHO CORDOVA,2018-Q1,3.60E+05,1/1/2018,1493.676891,2.88E+05,414,1907.676891,76307.07565,0.40779175
,RANCHO CUCAMONGA,2018-Q1,4.95E+05,1/1/2018,2053.805725,3.96E+05,569.25,2623.055725,104922.229,0.396642627
,RANCHO MIRAGE,2018-Q1,5.00E+05,1/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.382937591
,RANCHO PALOS VERDES,2018-Q1,1.30E+06,1/1/2018,5393.833218,1.04E+06,1495,6888.833218,275553.3287,0.204806571
,RANCHO SANTA FE,2018-Q1,2.30E+06,1/1/2018,9542.935694,1.84E+06,2645,12187.93569,487517.4277,0.152300063
,RANCHO SANTA MARGARITA,2018-Q1,6.50E+05,1/1/2018,2696.916609,5.20E+05,747.5,3444.416609,137776.6644,0.411161471
,REDDING,2018-Q1,2.60E+05,1/1/2018,1078.766644,2.08E+05,299,1377.766644,55110.66575,0.458011818
,REDLANDS,2018-Q1,4.35E+05,1/1/2018,1804.859577,3.48E+05,500.25,2305.109577,92204.38307,0.40750304
,REDONDO BEACH,2018-Q1,1.10E+06,1/1/2018,4564.012723,8.80E+05,1265,5829.012723,233160.5089,0.180066054
,REDWOOD CITY,2018-Q1,1692175,1/1/2018,7021.007482,1353740,1946.00125,8967.008732,358680.3493,0.124227947
,REEDLEY,2018-Q1,2.11E+05,1/1/2018,875.4606223,168800,242.65,1118.110622,44724.42489,0.548979373
,RIALTO,2018-Q1,352500,1/1/2018,1462.558623,2.82E+05,405.375,1867.933623,74717.3449,0.372781022
,RICHMOND,2018-Q1,5.00E+05,1/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.252527097
,RIO LINDA,2018-Q1,291500,1/1/2018,1209.463372,233200,335.225,1544.688372,61787.53486,0.483488254
,RIO VISTA,2018-Q1,369950,1/1/2018,1534.960461,295960,425.4425,1960.402961,78416.11843,0.387767924
,RIPON,2018-Q1,5.11E+05,1/1/2018,2120.191365,408800,587.65,2707.841365,108313.6546,0.420398991
,RIVERBANK,2018-Q1,3.14E+05,1/1/2018,1302.818177,251200,361.1,1663.918177,66556.72709,0.538662395
,RIVERSIDE,2018-Q1,3.90E+05,1/1/2018,1618.149965,3.12E+05,448.5,2066.649965,82665.99862,0.381169963
,ROCKLIN,2018-Q1,467500,1/1/2018,1939.705407,3.74E+05,537.625,2477.330407,99093.21629,0.463616598
,ROHNERT PARK,2018-Q1,5.35E+05,1/1/2018,2219.769824,4.28E+05,615.25,2835.019824,113400.793,0.224386016
,ROSAMOND,2018-Q1,2.43E+05,1/1/2018,1008.231902,194400,279.45,1287.681902,51507.27606,0.590577521
,ROSEVILLE,2018-Q1,439950,1/1/2018,1825.397634,351960,505.9425,2331.340134,93253.60536,0.469477285
,ROWLAND HEIGHTS,2018-Q1,6.20E+05,1/1/2018,2572.443535,4.96E+05,713,3285.443535,131417.7414,0.221634165
,RUNNING SPRINGS,2018-Q1,2.14E+05,1/1/2018,887.9079298,171200,246.1,1134.00793,45360.31719,0.675800722
,SACRAMENTO,2018-Q1,3.15E+05,1/1/2018,1306.96728,2.52E+05,362.25,1669.21728,66768.69119,0.44708537
,SALIDA,2018-Q1,3.15E+05,1/1/2018,1306.96728,2.52E+05,362.25,1669.21728,66768.69119,0.588827005
,SALINAS,2018-Q1,4.65E+05,1/1/2018,1929.332651,3.72E+05,534.75,2464.082651,98563.30604,0.23414615
,SAN ANSELMO,2018-Q1,1.46E+06,1/1/2018,6036.944102,1.16E+06,1673.25,7710.194102,308407.7641,0.182689771
,SAN BERNARDINO,2018-Q1,2.60E+05,1/1/2018,1078.766644,2.08E+05,299,1377.766644,55110.66575,0.368560907
,SAN BRUNO,2018-Q1,966500,1/1/2018,4010.107543,773200,1111.475,5121.582543,204863.3017,0.147035589
,SAN CARLOS,2018-Q1,1.78E+06,1/1/2018,7385.402406,1.42E+06,2047,9432.402406,377296.0963,0.223402983
,SAN CLEMENTE,2018-Q1,989500,1/1/2018,4105.5369,791600,1137.925,5243.4619,209738.476,0.24519196
,SAN DIEGO,2018-Q1,5.79E+05,1/1/2018,2402.330333,463200,665.85,3068.180333,122727.2133,0.287802489
,SAN DIMAS,2018-Q1,5.90E+05,1/1/2018,2447.970461,4.72E+05,678.5,3126.470461,125058.8184,0.318864242
,SAN FRANCISCO,2018-Q1,1.32E+06,1/1/2018,5476.815268,1.06E+06,1518,6994.815268,279792.6107,0.16537663
,SAN GABRIEL,2018-Q1,7.87E+05,1/1/2018,3265.343648,629600,905.05,4170.393648,166815.7459,0.116551369
,SAN JACINTO,2018-Q1,2.87E+05,1/1/2018,1190.79241,229600,330.05,1520.84241,60833.69642,0.409494936
,SAN JOSE,2018-Q1,1.05E+06,1/1/2018,4356.557599,8.40E+05,1207.5,5564.057599,222562.304,0.178430899
,SAN JUAN CAPISTRANO,2018-Q1,9.45E+05,1/1/2018,3920.901839,7.56E+05,1086.75,5007.651839,200306.0736,0.194046008
,SAN LEANDRO,2018-Q1,6.65E+05,1/1/2018,2759.153146,5.32E+05,764.75,3523.903146,140956.1258,0.205854731
,SAN LORENZO,2018-Q1,6.51E+05,1/1/2018,2701.065712,520800,748.65,3449.715712,137988.6285,0.252799454
,SAN LUIS OBISPO,2018-Q1,694225,1/1/2018,2880.410666,555380,798.35875,3678.769416,147150.7766,0.160035672
,SAN MARCOS,2018-Q1,5.85E+05,1/1/2018,2427.224948,4.68E+05,672.75,3099.974948,123998.9979,0.250105408
,SAN MATEO,2018-Q1,1.36E+06,1/1/2018,5638.630264,1087200,1562.85,7201.480264,288059.2106,0.141689156
,SAN PABLO,2018-Q1,4.20E+05,1/1/2018,1742.62304,3.36E+05,483,2225.62304,89024.92159,0.241201417
,SAN RAFAEL,2018-Q1,9.50E+05,1/1/2018,3941.647352,7.60E+05,1092.5,5034.147352,201365.8941,0.2018492
,SAN RAMON,2018-Q1,9.85E+05,1/1/2018,4086.865938,7.88E+05,1132.75,5219.615938,208784.6375,0.329789847
,SANGER,2018-Q1,2.40E+05,1/1/2018,995.7845941,1.92E+05,276,1271.784594,50871.38376,0.487709905
,SANTA ANA,2018-Q1,5.05E+05,1/1/2018,2095.29675,4.04E+05,580.75,2676.04675,107041.87,0.202533853
,SANTA BARBARA,2018-Q1,1.29E+06,1/1/2018,5352.342193,1.03E+06,1483.5,6835.842193,273433.6877,0.08617082
,SANTA CLARA,2018-Q1,1427500,1/1/2018,5922.843784,1.14E+06,1641.625,7564.468784,302578.7514,0.130413405
,SANTA CLARITA,2018-Q1,5.00E+05,1/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.459338057
,SANTA CRUZ,2018-Q1,8.77E+05,1/1/2018,3638.762871,701600,1008.55,4647.312871,185892.5148,0.11962377
,SANTA MARIA,2018-Q1,391126.5,1/1/2018,1622.823929,312901.2,449.795475,2072.619404,82904.77618,0.342377939
,SANTA PAULA,2018-Q1,427450,1/1/2018,1773.533853,341960,491.5675,2265.101353,90604.05413,0.31034805
,SANTA ROSA,2018-Q1,6.20E+05,1/1/2018,2572.443535,4.96E+05,713,3285.443535,131417.7414,0.204382162
,SANTEE,2018-Q1,481500,1/1/2018,1997.792842,385200,553.725,2551.517842,102060.7137,0.401833502
,SARATOGA,2018-Q1,2.75E+06,1/1/2018,11410.03181,2.20E+06,3162.5,14572.53181,582901.2723,0
,SCOTTS VALLEY,2018-Q1,8.99E+05,1/1/2018,3730.043125,719200,1033.85,4763.893125,190555.725,0.235467302
,SEAL BEACH,2018-Q1,9.70E+05,1/1/2018,4024.629401,7.76E+05,1115.5,5140.129401,205605.176,0.126804992
,SEASIDE,2018-Q1,5.15E+05,1/1/2018,2136.787775,4.12E+05,592.25,2729.037775,109161.511,0.219283683
,SEBASTOPOL,2018-Q1,8.15E+05,1/1/2018,3381.518518,6.52E+05,937.25,4318.768518,172750.7407,0.169390413
,SELMA,2018-Q1,227500,1/1/2018,943.9208132,1.82E+05,261.625,1205.545813,48221.83253,0.503756482
,SHASTA LAKE,2018-Q1,2.15E+05,1/1/2018,892.0570322,1.72E+05,247.25,1139.307032,45572.28129,0.518846321
,SHINGLE SPRINGS,2018-Q1,5.43E+05,1/1/2018,2252.962644,434400,624.45,2877.412644,115096.5058,0.395754757
