X,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
,ANAHEIM,2018-Q1,5.47E+05,1/1/2018,2269.559054,437600,629.05,2898.609054,115944.3622,0.264858493
,ANDERSON,2018-Q1,227950,1/1/2018,945.7879093,182360,262.1425,1207.930409,48317.21637,0.364557784
,ANTELOPE,2018-Q1,3.30E+05,1/1/2018,1369.203817,2.64E+05,379.5,1748.703817,69948.15268,0.511144897
,ANTIOCH,2018-Q1,4.20E+05,1/1/2018,1742.62304,3.36E+05,483,2225.62304,89024.92159,0.409023142
,APPLE VALLEY,2018-Q1,255250,1/1/2018,1059.058407,204200,293.5375,1352.595907,54103.83628,0.481358822
,APTOS,2018-Q1,8.40E+05,1/1/2018,3485.246079,6.72E+05,966,4451.246079,178049.8432,0.203344359
,ARCADIA,2018-Q1,972750,1/1/2018,4036.039433,778200,1118.6625,5154.701933,206188.0773,0.174093683
,ARCATA,2018-Q1,3.01E+05,1/1/2018,1248.879845,240800,346.15,1595.029845,63801.19381,0.272724918
,ARNOLD,2018-Q1,292060,1/1/2018,1211.786869,233648,335.869,1547.655869,61906.23476,0.462360051
,ARROYO GRANDE,2018-Q1,7.00E+05,1/1/2018,2904.371733,5.60E+05,805,3709.371733,148374.8693,0.19151875
,ATASCADERO,2018-Q1,522500,1/1/2018,2167.906043,4.18E+05,600.875,2768.781043,110751.2417,0.291707566
,ATWATER,2018-Q1,2.45E+05,1/1/2018,1016.530107,1.96E+05,281.75,1298.280107,51931.20426,0.439324953
,AUBURN,2018-Q1,4.64E+05,1/1/2018,1925.183549,371200,533.6,2458.783549,98351.34195,0.290851432
,AZUSA,2018-Q1,4.32E+05,1/1/2018,1792.412269,345600,496.8,2289.212269,91568.49078,0.346787577
,BAKERSFIELD,2018-Q1,226300,1/1/2018,938.9418902,181040,260.245,1199.18689,47967.47561,0.610412443
,BALDWIN PARK,2018-Q1,4.61E+05,1/1/2018,1912.736241,368800,530.15,2442.886241,97715.44965,0.233269746
,BANNING,2018-Q1,2.50E+05,1/1/2018,1037.275619,2.00E+05,287.5,1324.775619,52991.02476,0.439159319
,BARSTOW,2018-Q1,129150,1/1/2018,535.8565847,103320,148.5225,684.3790847,27375.16339,0.626172781
,BAY POINT,2018-Q1,4.10E+05,1/1/2018,1701.132015,3.28E+05,471.5,2172.632015,86905.2806,0.297287202
