"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"606","UKIAH","2017-Q1",400050,2017-01-01,1595.08229144043,320040,460.0575,2055.13979144043,82205.591657617,0.270404096390379
"607","UNION CITY","2017-Q1",689000,2017-01-01,2747.18584877504,551200,792.35,3539.53584877503,141581.433951001,0.290526175921521
"608","UPLAND","2017-Q1",490000,2017-01-01,1953.7315905657,392000,563.5,2517.2315905657,100689.263622628,0.278990916645469
"609","VACAVILLE","2017-Q1",4e+05,2017-01-01,1594.88293107404,320000,460,2054.88293107404,82195.3172429617,0.4753411289032
"610","VALLEJO","2017-Q1",340000,2017-01-01,1355.65049141293,272000,391,1746.65049141293,69866.0196565174,0.441943760888547
"611","VALLEY CENTER","2017-Q1",595000,2017-01-01,2372.38835997264,476000,684.25,3056.63835997264,122265.534398905,0.316173725759893
"612","VALLEY SPRINGS","2017-Q1",302250,2017-01-01,1205.13341479282,241800,347.5875,1552.72091479282,62108.8365917129,0.547783377896096
"613","VICTORVILLE","2017-Q1",225000,2017-01-01,897.121648729148,180000,258.75,1155.87164872915,46234.8659491659,0.510964752548476
"614","VISALIA","2017-Q1",228000,2017-01-01,909.083270712203,182400,262.2,1171.2832707122,46851.3308284881,0.571895227055162
"615","VISTA","2017-Q1",484500,2017-01-01,1931.80195026343,387600,557.175,2488.97695026343,99559.0780105373,0.214224041100841
"616","WALNUT","2017-Q1",764000,2017-01-01,3046.22639835142,611200,878.6,3924.82639835142,156993.055934057,0.261068118033266
"617","WALNUT CREEK","2017-Q1",639500,2017-01-01,2549.81908605462,511600,735.425,3285.24408605462,131409.763442185,0.327881239587267
"618","WATSONVILLE","2017-Q1",480000,2017-01-01,1913.85951728885,384000,552,2465.85951728885,98634.380691554,0.218421939972426
"619","WEST COVINA","2017-Q1",5e+05,2017-01-01,1993.60366384255,4e+05,575,2568.60366384255,102744.146553702,0.300128913595129
"620","WEST SACRAMENTO","2017-Q1",355000,2017-01-01,1415.45860132821,284000,408.25,1823.70860132821,72948.3440531284,0.390337897095688
"621","WESTLAKE VILLAGE","2017-Q1",915000,2017-01-01,3648.29470483187,732000,1052.25,4700.54470483187,188021.788193275,0.273364035548338
"622","WESTMINSTER","2017-Q1",597000,2017-01-01,2380.36277462801,477600,686.55,3066.91277462801,122676.51098512,0.188907687283334
"623","WHITTIER","2017-Q1",499000,2017-01-01,1989.61645651487,399200,573.85,2563.46645651487,102538.658260595,0.319551967972038
"624","WILDOMAR","2017-Q1",381500,2017-01-01,1521.11959551187,305200,438.725,1959.84459551187,78393.7838204747,0.413458967883125
"625","WINCHESTER","2017-Q1",383000,2017-01-01,1527.10040650339,306400,440.45,1967.55040650339,78702.0162601358,0.425203428640835
"626","WINDSOR","2017-Q1",530000,2017-01-01,2113.2198836731,424000,609.5,2722.7198836731,108908.795346924,0.43429322855144
"627","WOODLAND","2017-Q1",345000,2017-01-01,1375.58652805136,276000,396.75,1772.33652805136,70893.4611220544,0.403800777360674
"628","WRIGHTWOOD","2017-Q1",308750,2017-01-01,1231.05026242278,247000,355.0625,1586.11276242278,63444.510496911,0.442265558669342
"629","YORBA LINDA","2017-Q1",782250,2017-01-01,3118.99293208167,625800,899.5875,4018.58043208167,160743.217283267,0.342382500679603
"630","YUBA CITY","2017-Q1",257000,2017-01-01,1024.71228321507,205600,295.55,1320.26228321507,52810.4913286029,0.517013826647212
"631","YUCAIPA","2017-Q1",345500,2017-01-01,1377.5801317152,276400,397.325,1774.9051317152,70996.2052686081,0.40959860885057
"632","YUCCA VALLEY","2017-Q1",169000,2017-01-01,673.838038378782,135200,194.35,868.188038378782,34727.5215351513,0.568486675219936
