,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
10,AMERICAN CANYON,2018-Q2,519000,4/1/2018,2153.384185,415200,596.85,2750.234185,110009.3674,0.392541331
388,AMERICAN CANYON,2018-Q1,515000,1/1/2018,2136.787775,412000,592.25,2729.037775,109161.511,0.393298429
766,AMERICAN CANYON,2017-Q2,537500,4/1/2017,2230.142581,430000,618.125,2848.267581,113930.7032,0.35824201
10,AMERICAN CANYON,2017-Q4,519000,10/1/2017,2153.384185,415200,596.85,2750.234185,110009.3674,0.392541331
388,AMERICAN CANYON,2017-Q3,515000,7/1/2017,2136.787775,412000,592.25,2729.037775,109161.511,0.393298429
10,AMERICAN CANYON,2017-Q1,522500,1/1/2017,2083.315829,418000,600.875,2684.190829,107367.6331,0.387310027
11,ANAHEIM,2018-Q2,565000,4/1/2018,2344.242899,452000,649.75,2993.992899,119759.7159,0.251349282
389,ANAHEIM,2018-Q1,547000,1/1/2018,2269.559054,437600,629.05,2898.609054,115944.3622,0.264858493
767,ANAHEIM,2017-Q2,528750,4/1/2017,2193.837934,423000,608.0625,2801.900434,112076.0174,0.261850367
11,ANAHEIM,2017-Q4,565000,10/1/2017,2344.242899,452000,649.75,2993.992899,119759.7159,0.251349282
389,ANAHEIM,2017-Q3,547000,7/1/2017,2269.559054,437600,629.05,2898.609054,115944.3622,0.264858493
11,ANAHEIM,2017-Q1,5.00E+05,1/1/2017,1993.603664,4.00E+05,575,2568.603664,102744.1466,0.296848946
12,ANDERSON,2018-Q2,227500,4/1/2018,943.9208132,182000,261.625,1205.545813,48221.83253,0.368056304
390,ANDERSON,2018-Q1,227950,1/1/2018,945.7879093,182360,262.1425,1207.930409,48317.21637,0.364557784
768,ANDERSON,2017-Q2,219500,4/1/2017,910.7279934,175600,252.425,1163.152993,46526.11974,0.411650695
12,ANDERSON,2017-Q4,227500,10/1/2017,943.9208132,182000,261.625,1205.545813,48221.83253,0.368056304
390,ANDERSON,2017-Q3,227950,7/1/2017,945.7879093,182360,262.1425,1207.930409,48317.21637,0.364557784
12,ANDERSON,2017-Q1,222000,1/1/2017,885.1600267,177600,255.3,1140.460027,45618.40107,0.418349301
13,ANTELOPE,2018-Q2,350000,4/1/2018,1452.185866,280000,402.5,1854.685866,74187.43466,0.480930359
391,ANTELOPE,2018-Q1,330000,1/1/2018,1369.203817,264000,379.5,1748.703817,69948.15268,0.511144897
769,ANTELOPE,2017-Q2,325000,4/1/2017,1348.458305,260000,373.75,1722.208305,68888.33218,0.489938631
13,ANTELOPE,2017-Q4,350000,10/1/2017,1452.185866,280000,402.5,1854.685866,74187.43466,0.480930359
391,ANTELOPE,2017-Q3,330000,7/1/2017,1369.203817,264000,379.5,1748.703817,69948.15268,0.511144897
13,ANTELOPE,2017-Q1,305000,1/1/2017,1216.098235,244000,350.75,1566.848235,62673.9294,0.535591322
14,ANTIOCH,2018-Q2,455500,4/1/2018,1889.916178,364400,523.825,2413.741178,96549.6471,0.368461616
392,ANTIOCH,2018-Q1,420000,1/1/2018,1742.62304,336000,483,2225.62304,89024.92159,0.409023142
770,ANTIOCH,2017-Q2,415000,4/1/2017,1721.877527,332000,477.25,2199.127527,87965.10109,0.410066715
14,ANTIOCH,2017-Q4,455500,10/1/2017,1889.916178,364400,523.825,2413.741178,96549.6471,0.368461616
392,ANTIOCH,2017-Q3,420000,7/1/2017,1742.62304,336000,483,2225.62304,89024.92159,0.409023142
14,ANTIOCH,2017-Q1,394000,1/1/2017,1570.959687,315200,453.1,2024.059687,80962.38748,0.446620953
15,APPLE VALLEY,2018-Q2,248500,4/1/2018,1031.051965,198800,285.775,1316.826965,52673.07861,0.49308043
393,APPLE VALLEY,2018-Q1,255250,1/1/2018,1059.058407,204200,293.5375,1352.595907,54103.83628,0.481358822
771,APPLE VALLEY,2017-Q2,239900,4/1/2017,995.3696839,191920,275.885,1271.254684,50850.18736,0.47344991
15,APPLE VALLEY,2017-Q4,248500,10/1/2017,1031.051965,198800,285.775,1316.826965,52673.07861,0.49308043
393,APPLE VALLEY,2017-Q3,255250,7/1/2017,1059.058407,204200,293.5375,1352.595907,54103.83628,0.481358822
15,APPLE VALLEY,2017-Q1,230000,1/1/2017,917.0576854,184000,264.5,1181.557685,47262.30741,0.504701119
16,APTOS,2018-Q2,970000,4/1/2018,4024.629401,776000,1115.5,5140.129401,205605.176,0.140150121
394,APTOS,2018-Q1,840000,1/1/2018,3485.246079,672000,966,4451.246079,178049.8432,0.203344359
772,APTOS,2017-Q2,9.00E+05,4/1/2017,3734.192228,720000,1035,4769.192228,190767.6891,0.166856231
16,APTOS,2017-Q4,970000,10/1/2017,4024.629401,776000,1115.5,5140.129401,205605.176,0.140150121
394,APTOS,2017-Q3,840000,7/1/2017,3485.246079,672000,966,4451.246079,178049.8432,0.203344359
16,APTOS,2017-Q1,840000,1/1/2017,3349.254155,672000,966,4315.254155,172610.1662,0.20878655
17,ARCADIA,2018-Q2,1107500,4/1/2018,4595.130992,886000,1273.625,5868.755992,234750.2397,0.139629906
395,ARCADIA,2018-Q1,972750,1/1/2018,4036.039433,778200,1118.6625,5154.701933,206188.0773,0.174093683
773,ARCADIA,2017-Q2,933000,4/1/2017,3871.11261,746400,1072.95,4944.06261,197762.5044,0.160357983
17,ARCADIA,2017-Q4,1107500,10/1/2017,4595.130992,886000,1273.625,5868.755992,234750.2397,0.139629906
395,ARCADIA,2017-Q3,972750,7/1/2017,4036.039433,778200,1118.6625,5154.701933,206188.0773,0.174093683
17,ARCADIA,2017-Q1,1100000,1/1/2017,4385.92806,880000,1265,5650.92806,226037.1224,0.126367626
18,ARCATA,2018-Q2,344453,4/1/2018,1429.170795,275562.4,396.12095,1825.291745,73011.6698,0.223848058
