"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"48","CAMPBELL","2018-Q2",1430000,2018-04-01,5933.21653998582,1144000,1644.5,7577.71653998582,303108.661599433,0.131840767238613
"49","CANYON LAKE","2018-Q2",477500,2018-04-01,1981.1964320582,382000,549.125,2530.3214320582,101212.857282328,0.356853567024766
"50","CARLSBAD","2018-Q2",875000,2018-04-01,3630.46466607524,7e+05,1006.25,4636.71466607524,185468.58664301,0.248741097220036
"51","CARMICHAEL","2018-Q2",416500,2018-04-01,1728.10118105181,333200,478.975,2207.07618105181,88283.0472420726,0.377969324854295
"52","CARSON","2018-Q2",545000,2018-04-01,2261.26084915544,436000,626.75,2888.01084915544,115520.433966217,0.310162851722675
"53","CASTRO VALLEY","2018-Q2",895000,2018-04-01,3713.44671558553,716000,1029.25,4742.69671558553,189707.868623421,0.215600712610147
"54","CATHEDRAL CITY","2018-Q2",292000,2018-04-01,1211.53792285025,233600,335.8,1547.33792285025,61893.5169140101,0.393546567045534
"55","CERES","2018-Q2",297000,2018-04-01,1232.28343522782,237600,341.55,1573.83343522782,62953.337409113,0.465731571255851
"56","CHICO","2018-Q2",339000,2018-04-01,1406.54573919944,271200,389.85,1796.39573919944,71855.8295679774,0.362119102667759
"57","CHINO","2018-Q2",480000,2018-04-01,1991.56918824699,384000,552,2543.56918824699,101742.76752988,0.368976023304228
"58","CHINO HILLS","2018-Q2",639900,2018-04-01,2655.01067408177,511920,735.885,3390.89567408177,135635.826963271,0.351795248135213
"59","CHOWCHILLA","2018-Q2",235000,2018-04-01,975.039081745922,188000,270.25,1245.28908174592,49811.5632698369,0.40696455658357
"60","CHULA VISTA","2018-Q2",5e+05,2018-04-01,2074.55123775728,4e+05,575,2649.55123775728,105982.049510291,0.307855599184101
"61","CITRUS HEIGHTS","2018-Q2",330900,2018-04-01,1372.93800914777,264720,380.535,1753.47300914777,70138.9203659107,0.400220003124905
"62","CLAREMONT","2018-Q2",682500,2018-04-01,2831.76243953869,546000,784.875,3616.63743953869,144665.497581548,0.328357630261186
"63","CLAYTON","2018-Q2",772500,2018-04-01,3205.181662335,618000,888.375,4093.556662335,163742.2664934,0.41109908762216
"64","CLEARLAKE","2018-Q2",153500,2018-04-01,636.887229991485,122800,176.525,813.412229991485,32536.4891996594,0.445524667605262
"65","CLOVERDALE","2018-Q2",553500,2018-04-01,2296.52822019731,442800,636.525,2933.05322019731,117322.128807892,0.278256948928457
"66","CLOVIS","2018-Q2",340000,2018-04-01,1410.69484167495,272000,391,1801.69484167495,72067.793666998,0.504044946818042
"67","COACHELLA","2018-Q2",253500,2018-04-01,1051.79747754294,202800,291.525,1343.32247754294,53732.8991017176,0.377287499726465
"68","COALINGA","2018-Q2",217375,2018-04-01,901.911150614977,173900,249.98125,1151.89240061498,46075.6960245991,0.571694868461235
"69","COARSEGOLD","2018-Q2",310000,2018-04-01,1286.22176740951,248000,356.5,1642.72176740951,65708.8706963805,0.44115437014731
"70","COLFAX","2018-Q2",336250,2018-04-01,1395.13570739177,269000,386.6875,1781.82320739177,71272.9282956708,0.495282916599476
"71","COLTON","2018-Q2",3e+05,2018-04-01,1244.73074265437,240000,345,1589.73074265437,63589.2297061747,0.352942244445971
"72","COMPTON","2018-Q2",390000,2018-04-01,1618.14996545068,312000,448.5,2066.64996545068,82665.9986180271,0.257143559230815
"73","CONCORD","2018-Q2",619000,2018-04-01,2568.29443234351,495200,711.85,3280.14443234351,131205.777293741,0.272923022207434
"74","COPPEROPOLIS","2018-Q2",333000,2018-04-01,1381.65112434635,266400,382.95,1764.60112434635,70584.0449738539,0.484042982887892
"75","CORONA","2018-Q2",487250,2018-04-01,2021.65018119447,389800,560.3375,2581.98768119447,103279.507247779,0.38732411668859
"76","CORONADO","2018-Q2",1605000,2018-04-01,6659.30947320087,1284000,1845.75,8505.05947320087,340202.378928035,0.115768336152266
"77","COSTA MESA","2018-Q2",835000,2018-04-01,3464.50056705466,668000,960.25,4424.75056705466,176990.022682186,0.150335701644026
"78","COTO DE CAZA","2018-Q2",1285000,2018-04-01,5331.59668103621,1028000,1477.75,6809.34668103621,272373.867241448,0.322584491762711
"79","COTTONWOOD","2018-Q2",253000,2018-04-01,1049.72292630518,202400,290.95,1340.67292630518,53626.9170522074,0.474938035220282
"80","COVINA","2018-Q2",521000,2018-04-01,2161.68238974309,416800,599.15,2760.83238974309,110433.295589723,0.293567175574984
"81","CRESTLINE","2018-Q2",244950,2018-04-01,1016.32265137729,195960,281.6925,1298.01515137729,51920.6060550917,0.52741693347707
"82","CUPERTINO","2018-Q2",2210000,2018-04-01,9169.51647088718,1768000,2541.5,11711.0164708872,468440.658835487,0.172253826986269
"83","CYPRESS","2018-Q2",650500,2018-04-01,2698.99116032222,520400,748.075,3447.06616032222,137882.646412889,0.278006197686367
"84","DALY CITY","2018-Q2",1e+06,2018-04-01,4149.10247551456,8e+05,1150,5299.10247551456,211964.099020582,0.101986330384431
"85","DANA POINT","2018-Q2",1050000,2018-04-01,4356.55759929029,840000,1207.5,5564.05759929029,222562.303971612,0.172410150600475
"86","DANVILLE","2018-Q2",1320000,2018-04-01,5476.81526767922,1056000,1518,6994.81526767922,279792.610707169,0.287386949307783
"87","DAVIS","2018-Q2",715750,2018-04-01,2969.72009684955,572600,823.1125,3792.83259684955,151713.303873982,0.242242539358548
"88","DEL MAR","2018-Q2",1850000,2018-04-01,7675.83957970193,1480000,2127.5,9803.33957970193,392133.583188077,0.125396341268189
"89","DESERT HOT SPRINGS","2018-Q2",220000,2018-04-01,912.802544613203,176000,253,1165.8025446132,46632.1017845281,0.36930251473636
"90","DIAMOND BAR","2018-Q2",642500,2018-04-01,2665.7983405181,514000,738.875,3404.6733405181,136186.933620724,0.334389082411926
"91","DINUBA","2018-Q2",236000,2018-04-01,979.188184221436,188800,271.4,1250.58818422144,50023.5273688575,0.412485390044537
"92","DISCOVERY BAY","2018-Q2",6e+05,2018-04-01,2489.46148530874,480000,690,3179.46148530874,127178.459412349,0.445514580093033
"93","DIXON","2018-Q2",447000,2018-04-01,1854.64880655501,357600,514.05,2368.69880655501,94747.9522622003,0.398049901350489
"94","DOWNEY","2018-Q2",550000,2018-04-01,2282.00636153301,440000,632.5,2914.50636153301,116580.25446132,0.234236124420946
"95","DUARTE","2018-Q2",527000,2018-04-01,2186.57700459617,421600,606.05,2792.62700459617,111705.080183847,0.311604024428053
"96","DUBLIN","2018-Q2",915000,2018-04-01,3796.42876509582,732000,1052.25,4848.67876509582,193947.150603833,0.303376519122909
"97","EAST PALO ALTO","2018-Q2",980000,2018-04-01,4066.12042600427,784000,1127,5193.12042600427,207724.817040171,0.080868855647153
"98","EASTVALE","2018-Q2",586500,2018-04-01,2433.44860188929,469200,674.475,3107.92360188929,124316.944075572,0.465587057775471
"99","EL CERRITO","2018-Q2",985000,2018-04-01,4086.86593838184,788000,1132.75,5219.61593838184,208784.637535274,0.270034176469831
"100","EL DORADO HILLS","2018-Q2",650000,2018-04-01,2696.91660908446,520000,747.5,3444.41660908446,137776.664363379,0.507104245770955
