"","region","Price.2017-Q2","Price.2017-Q1.x","principal.2017-Q2","pmt.2017-Q2","t_i.2017-Q2","pti.2017-Q2","min_inc.2017-Q2","HAI.2017-Q2","Price.2017-Q1.y","principal.2017-Q1","pmt.2017-Q1","t_i.2017-Q1","pti.2017-Q1","min_inc.2017-Q1","HAI.2017-Q1"
"29","ARCATA",369500,360000,295600,1426.62014276633,424.925,1851.54514276633,74061.8057106532,0.198390610071257,360000,288000,1435.39463796664,414,1849.39463796664,73975.7855186655,0.198386375770138
"30","ARMONA",1e+05,139900,80000,386.094761235813,115,501.094761235813,20043.7904494325,0.772541350055124,139900,111920,557.810305143146,160.885,718.695305143146,28747.8122057258,0.662996444638041
"31","ARNOLD",285000,290000,228000,1100.37006952207,327.75,1428.12006952207,57124.8027808827,0.573587681241507,290000,232000,1156.29012502868,333.5,1489.79012502868,59591.6050011472,0.556978402947739
"32","AROMAS",682500,812000,546000,2635.09674543442,784.875,3419.97174543442,136798.869817377,0.284527616063663,812000,649600,3237.6123500803,933.8,4171.4123500803,166856.494003212,0.200085646580524
"33","ARROYO GRANDE",665000,614500,532000,2567.53016221816,764.75,3332.28016221816,133291.206488726,0.204936487654041,614500,491600,2450.13890286249,706.675,3156.8139028625,126272.5561145,0.227525156635782
"34","ARTESIA",540000,499000,432000,2084.91171067339,621,2705.91171067339,108236.468426936,0.288670816889351,499000,399200,1989.61645651487,573.85,2563.46645651487,102538.658260595,0.312544474068191
"35","ARTOIS",215000,449000,172000,830.103736656998,247.25,1077.353736657,43094.1494662799,0.601220976412316,449000,359200,1790.25609013061,516.35,2306.60609013061,92264.2436052244,0.302496887837353
"36","ARVIN",164500,449000,131600,635.125882232913,189.175,824.300882232913,32972.0352893165,0.568001955126832,449000,359200,1790.25609013061,516.35,2306.60609013061,92264.2436052244,0.0970418818943933
"37","ATASCADERO",460000,449000,368000,1776.03590168474,529,2305.03590168474,92201.4360673896,0.373688772440512,449000,359200,1790.25609013061,516.35,2306.60609013061,92264.2436052244,0.371116113939891
"38","ATHERTON",4675000,4925000,3740000,18049.9300877743,5376.25,23426.1800877743,937047.203510971,0,4925000,3940000,19636.9960888491,5663.75,25300.7460888491,1012029.84355397,0
"39","ATWATER",248000,238000,198400,957.515007864817,285.2,1242.71500786482,49708.6003145927,0.473558379010998,238000,190400,948.955343989054,273.7,1222.65534398905,48906.2137595622,0.480015730443428
"40","AUBERRY",244500,305000,195600,944.001691221563,281.175,1225.17669122156,49007.0676488625,0.537193922071226,305000,244000,1216.09823494396,350.75,1566.84823494396,62673.9293977582,0.428795410753967
"41","AUBURN",475000,419500,380000,1833.95011587011,546.25,2380.20011587011,95208.0046348045,0.279366205782088,419500,335600,1672.6334739639,482.425,2155.0584739639,86202.338958556,0.319093376487365
"42","AVALON",475000,630000,380000,1833.95011587011,546.25,2380.20011587011,95208.0046348045,0.269257897505789,630000,504000,2511.94061644161,724.5,3236.44061644161,129457.624657665,0.145409339037527
"43","AVENAL",115000,115500,92000,444.008975421185,132.25,576.258975421185,23050.3590168474,0.620972367429412,115500,92400,460.522446347629,132.825,593.347446347629,23733.8978539052,0.605093448429522
"44","AVERY",169000,243750,135200,652.500146488524,194.35,846.850146488524,33874.005859541,0.715664690338154,243750,195000,971.881786123244,280.3125,1252.19428612324,50087.7714449297,0.552273797143778
"45","AZUSA",433500,405000,346800,1673.72078995725,498.525,2172.24578995725,86889.83159829,0.329325378018345,405000,324000,1614.81896771247,465.75,2080.56896771247,83222.7587084987,0.347820307613035
"46","BAKERSFIELD",228000,216990,182400,880.296055617654,262.2,1142.49605561765,45699.8422247062,0.601051021737741,216990,173592,865.18411803439,249.5385,1114.72261803439,44588.9047213756,0.608994221990522
"47","BALDWIN PARK",411000,372500,328800,1586.84946867919,472.65,2059.49946867919,82379.9787471677,0.293490704577389,372500,298000,1485.2347295627,428.375,1913.6097295627,76544.389182508,0.32560652372299
"48","BALLARD",699500,1415000,559600,2700.73285484451,804.425,3505.15785484451,140206.314193781,0.296710776759637,1415000,1132000,5641.89836867442,1627.25,7269.14836867442,290765.934746977,0.101324141481226
"49","BANGOR",215000,430000,172000,830.103736656998,247.25,1077.353736657,43094.1494662799,0.495797860701229,430000,344000,1714.49915090459,494.5,2208.99915090459,88359.9660361838,0.203965154922995
"50","BANNING",235000,229900,188000,907.322688904161,270.25,1177.57268890416,47102.9075561664,0.464063793224796,229900,183920,916.658964634805,264.385,1181.0439646348,47241.7585853922,0.460551331485761
"51","BARSTOW",133500,112950,106800,515.43650624981,153.525,668.96150624981,26758.4602499924,0.61191349371131,112950,90360,450.355067662032,129.8925,580.247567662032,23209.9027064813,0.656144754045466
"52","BASS LAKE",3e+05,525000,240000,1158.28428370744,345,1503.28428370744,60131.3713482976,0.308655511701907,525000,420000,2093.28384703468,603.75,2697.03384703468,107881.353881387,0.129909669014887
"53","BAY POINT",361000,338500,288800,1393.80208806129,415.15,1808.95208806129,72358.0835224514,0.342859923045061,338500,270800,1349.66968042141,389.275,1738.94468042141,69557.7872168563,0.360365836032173
"54","BEAR VALLEY",178000,190350,142400,687.248674999747,204.7,891.948674999747,35677.9469999899,0.791877128222052,190350,152280,758.964914824859,218.9025,977.867414824859,39114.6965929944,0.773752998180979
"55","BEAUMONT",309999.5,3e+05,247999.6,1196.89182935721,356.499425,1553.39125435721,62135.6501742886,0.553393137304885,3e+05,240000,1196.16219830553,345,1541.16219830553,61646.4879322212,0.555301304603502
"56","BELL",375000,367500,3e+05,1447.8553546343,431.25,1879.1053546343,75164.214185372,0.166615454045014,367500,294000,1465.29869292427,422.625,1887.92369292427,75516.947716971,0.164082167383769
"57","BELL CANYON",1475000,1250000,1180000,5694.89772822824,1696.25,7391.14772822824,295645.90912913,0.28936456300306,1250000,1e+06,4984.00915960638,1437.5,6421.50915960638,256860.366384255,0.311535886026759
"58","BELL GARDENS",444500,420500,355600,1716.19121369319,511.175,2227.36621369319,89094.6485477276,0.131773792017886,420500,336400,1676.62068129159,483.575,2160.19568129159,86407.8272516634,0.141551116768498
"59","BELLA VISTA",370000,650000,296000,1428.55061657251,425.5,1854.05061657251,74162.0246629004,0.372944625978117,650000,520000,2591.68476299532,747.5,3339.18476299532,133567.390519813,0.134345890782083
"60","BELLFLOWER",470000,480000,376000,1814.64537780832,540.5,2355.14537780832,94205.8151123329,0.219013874909627,480000,384000,1913.85951728885,552,2465.85951728885,98634.380691554,0.197415753579482
"61","BELMONT",1630000,1570000,1304000,6293.34460814376,1874.5,8167.84460814376,326713.78432575,0.18430686672413,1570000,1256000,6259.91550446561,1805.5,8065.41550446561,322616.620178624,0.18468705293387
"62","BELVEDERE",3200000,3450000,2560000,12355.032359546,3680,16035.032359546,641401.294381841,0,3450000,2760000,13755.8652805136,3967.5,17723.3652805136,708934.611220544,0
"63","BEN LOMOND",749000,599000,599200,2891.84976165624,861.35,3753.19976165624,150127.99046625,0.199880438906081,599000,479200,2388.33718928338,688.85,3077.18718928338,123087.487571335,0.321896569349345
"64","BENBOW",625000,8e+05,5e+05,2413.09225772383,718.75,3131.84225772383,125273.690308953,0.0374406898028399,8e+05,640000,3189.76586214808,920,4109.76586214808,164390.634485923,0.0110591560376991
"65","BENICIA",615000,538000,492000,2374.48278160025,707.25,3081.73278160025,123269.31126401,0.360548627404819,538000,430400,2145.11754229458,618.7,2763.81754229458,110552.701691783,0.415609970122502
"66","BERKELEY",1217000,1072500,973600,4698.77324423985,1399.55,6098.32324423985,243932.929769594,0.113537067063328,1072500,858000,4276.27985894227,1233.375,5509.65485894227,220386.194357691,0.134536823590602
"67","BERMUDA DUNES",348750,302500,279000,1346.5054798099,401.0625,1747.5679798099,69902.7191923959,0.444648169661035,302500,242000,1206.13021662474,347.875,1554.00521662474,62160.2086649897,0.489236015973467
"68","BERRY CREEK",225000,170000,180000,868.71321278058,258.75,1127.46321278058,45098.5285112232,0.473544156171677,170000,136000,677.825245706467,195.5,873.325245706467,34933.0098282587,0.584759813326411
"69","BETHEL ISLAND",475000,289950,380000,1833.95011587011,546.25,2380.20011587011,95208.0046348045,0.230650954226255,289950,231960,1156.0907646623,333.4425,1489.5332646623,59581.3305864918,0.371819440292572
"70","BEVERLY HILLS",1500000,2100000,1200000,5791.4214185372,1725,7516.4214185372,300656.856741488,0.170368120850372,2100000,1680000,8373.13538813871,2415,10788.1353881387,431525.415525549,0.115872607597082
"71","BIG BEAR LAKE",274999.5,466500,219999.6,1061.75866292468,316.249425,1378.00808792468,55120.3235169872,0.430900319198312,466500,373200,1860.0322183651,536.475,2396.5072183651,95860.288734604,0.22876604801216
"72","BIG BEND",129000,209000,103200,498.062241994199,148.35,646.412241994199,25856.489679768,0.676837589244969,209000,167200,833.326331486186,240.35,1073.67633148619,42947.0532594474,0.486694595841863
"73","BIG PINE",212450,209000,169960,820.258320245485,244.3175,1064.57582024548,42583.0328098194,0.602858216098154,209000,167200,833.326331486186,240.35,1073.67633148619,42947.0532594474,0.597353349187408
"74","BIG RIVER",450000,2400000,360000,1737.42642556116,517.5,2254.92642556116,90197.0570224464,0.0785988288734542,2400000,1920000,9569.29758644424,2760,12329.2975864442,493171.90345777,0.0068869198624083
"75","BIOLA",152000,307900,121600,586.864037078436,174.8,761.664037078436,30466.5614831374,0.562140680577324,307900,246320,1227.66113619424,354.085,1581.74613619424,63269.8454477697,0.282022414371068
"76","BISHOP",405000,307900,324000,1563.68378300504,465.75,2029.43378300504,81177.3513202017,0.200390937707039,307900,246320,1227.66113619424,354.085,1581.74613619424,63269.8454477697,0.288774067469566
"77","BLAIRSDEN",317500,205000,254000,1225.85086692371,365.125,1590.97586692371,63639.0346769483,0.697788856274649,205000,164000,817.377502175446,235.75,1053.12750217545,42125.1000870178,0.818649118417533
"78","BLOOMINGTON",305000,290000,244000,1177.58902176923,350.75,1528.33902176923,61133.5608707692,0.428216025218095,290000,232000,1156.29012502868,333.5,1489.79012502868,59591.6050011472,0.439292796094736
"79","BLUE LAKE",420000,290000,336000,1621.59799719042,483,2104.59799719042,84183.9198876166,0.242606692023076,290000,232000,1156.29012502868,333.5,1489.79012502868,59591.6050011472,0.381292921937783
"80","BLYTHE",172500,125500,138000,666.013463131778,198.375,864.388463131778,34575.5385252711,0.613697039496257,125500,100400,500.39451962448,144.325,644.71951962448,25788.7807849792,0.68239230552532
"81","BODEGA",391000,697500,312800,1509.63051643203,449.65,1959.28051643203,78371.2206572812,0.507875174507021,697500,558000,2781.07711106036,802.125,3583.20211106036,143328.084442414,0.241676410380881
"82","BODEGA BAY",837000,697500,669600,3231.61315154376,962.55,4194.16315154376,167766.52606175,0.193580988228426,697500,558000,2781.07711106036,802.125,3583.20211106036,143328.084442414,0.24282521641117
"83","BOLINAS",2500000,5145000,2e+06,9652.36903089533,2875,12527.3690308953,501094.761235813,0,5145000,4116000,20514.1817009398,5916.75,26430.9317009398,1057237.26803759,0
"84","BONITA",638500,621800,510800,2465.21505049067,734.275,3199.49005049067,127979.602019627,0.356492132125003,621800,497440,2479.2455163546,715.07,3194.3155163546,127772.620654184,0.354684064720437
"85","BONSALL",634500,672500,507600,2449.77126004123,729.675,3179.44626004123,127177.850401649,0.278717041511947,672500,538000,2681.39692786823,773.375,3454.77192786823,138190.877114729,0.251031985421881
"86","BOONVILLE",390500,45750,312400,1507.70004262585,449.075,1956.77504262585,78271.001705034,0.205608460904332,45750,36600,182.414735241593,52.6125,235.027235241593,9401.08940966374,0.903604104314729
"87","BORON",50000,45750,40000,193.047380617907,57.5,250.547380617907,10021.8952247163,0.852595044920265,45750,36600,182.414735241593,52.6125,235.027235241593,9401.08940966374,0.861425256131942
"88","BORREGO SPRINGS",183000,180000,146400,706.553413061538,210.45,917.003413061538,36680.1365224615,0.497741847118093,180000,144000,717.697318983318,207,924.697318983318,36987.8927593327,0.4932967370862
"89","BOULDER CREEK",6e+05,575000,480000,2316.56856741488,690,3006.56856741488,120262.742696595,0.341779184293659,575000,460000,2292.64421341893,661.25,2953.89421341893,118155.768536757,0.350110951818278
"90","BOULEVARD",260000,190000,208000,1003.84637921311,299,1302.84637921311,52113.8551685246,0.59170137114144,190000,152000,757.569392260169,218.5,976.069392260169,39042.7756904068,0.638873984819441
"91","BRADBURY",2622500,2950000,2098000,10125.3351134092,3015.875,13141.2101134092,525648.404536368,0,2950000,2360000,11762.261616671,3392.5,15154.761616671,606190.464666842,0
"92","BRADLEY",436000,555000,348800,1683.37315898815,501.4,2184.77315898815,87390.9263595258,0.341988237205993,555000,444000,2212.90006686523,638.25,2851.15006686523,114046.002674609,0.214328660282841
"93","BRAWLEY",175000,226500,140000,675.665832162673,201.25,876.915832162673,35076.6332865069,0.55177798390439,226500,181200,903.102459720676,260.475,1163.57745972068,46543.098388827,0.454671631895185
"94","BREA",675000,686250,540000,2606.13963834174,776.25,3382.38963834174,135295.58553367,0.274107664181653,686250,549000,2736.2210286239,789.1875,3525.4085286239,141016.341144956,0.251982096738017
"95","BRENTWOOD",567500,555000,454000,2191.08777001324,652.625,2843.71277001324,113748.51080053,0.404224237794057,555000,444000,2212.90006686523,638.25,2851.15006686523,114046.002674609,0.401123589331032
"96","BRIDGEPORT",112250,1050000,89800,433.3913694872,129.0875,562.4788694872,22499.154779488,0.74764747276052,1050000,840000,4186.56769406936,1207.5,5394.06769406936,215762.707762774,0.0155290339068086
"97","BRISBANE",819500,1050000,655600,3164.04656832749,942.425,4106.47156832749,164258.8627331,0.23166353182943,1050000,840000,4186.56769406936,1207.5,5394.06769406936,215762.707762774,0.137681112724887
"98","BROOKDALE",620500,507500,496400,2395.71799346822,713.575,3109.29299346822,124371.719738729,0.378886037798387,507500,406000,2023.50771880019,583.625,2607.13271880019,104285.308752008,0.439130880238306
"99","BUELLTON",595000,659000,476000,2297.26382935309,684.25,2981.51382935309,119260.553174124,0.257637501397967,659000,527200,2627.56962894448,757.85,3385.41962894448,135416.785157779,0.197476253585291
"100","BUENA PARK",556750,545000,445400,2149.58258318039,640.2625,2789.84508318039,111593.803327216,0.283142500467539,545000,436000,2173.02799358838,626.75,2799.77799358838,111991.119743535,0.279231125921618
"101","BURBANK",720000,650000,576000,2779.88228089785,828,3607.88228089785,144315.291235914,0.343461004800218,650000,520000,2591.68476299532,747.5,3339.18476299532,133567.390519813,0.397421162434597
"102","BURBANK",720000,650000,576000,2779.88228089785,828,3607.88228089785,144315.291235914,0.343461004800218,650000,520000,2591.68476299532,747.5,3339.18476299532,133567.390519813,0.397421162434597
"103","BURBANK",720000,650000,576000,2779.88228089785,828,3607.88228089785,144315.291235914,0.343461004800218,650000,520000,2591.68476299532,747.5,3339.18476299532,133567.390519813,0.397421162434597
"104","BURBANK",720000,650000,576000,2779.88228089785,828,3607.88228089785,144315.291235914,0.343461004800218,650000,520000,2591.68476299532,747.5,3339.18476299532,133567.390519813,0.397421162434597
"105","BURLINGAME",2050000,1828000,1640000,7914.94260533417,2357.5,10272.4426053342,410897.704213367,0.159384888775632,1828000,1462400,7288.61499500837,2102.2,9390.81499500837,375632.599800335,0.172213497073619
"106","BURNEY",129850,90000,103880,501.344047464703,149.3275,650.671547464703,26026.8618985881,0.693832609982299,90000,72000,358.848659491659,103.5,462.348659491659,18493.9463796664,0.800817277032218
"107","BYRON",437000,407500,349600,1687.2341066005,502.55,2189.7841066005,87591.3642640201,0.570099299032625,407500,326000,1624.78698603168,468.625,2093.41198603168,83736.4794412671,0.582744494253973
"108","CABAZON",124000,220000,99200,478.757503932408,142.6,621.357503932408,24854.3001572963,0.756470610118736,220000,176000,877.185612090722,253,1130.18561209072,45207.4244836289,0.489080995418314
"109","CALABASAS",1084000,1282500,867200,4185.26721179621,1246.6,5431.86721179621,217274.688471849,0.272298808420699,1282500,1026000,5113.59339775614,1474.875,6588.46839775614,263538.735910246,0.225293389110503
"110","CALEXICO",190000,130000,152000,733.580046348045,218.5,952.080046348045,38083.2018539218,0.467499265964856,130000,104000,518.336952599063,149.5,667.836952599063,26713.4781039625,0.599995711244018
"111","CALIFORNIA CITY",132000,130000,105600,509.645084831273,151.8,661.445084831273,26457.8033932509,0.720843312056504,130000,104000,518.336952599063,149.5,667.836952599063,26713.4781039625,0.717074594720837
"112","CALIFORNIA HOT SPRINGS",180000,157000,144000,694.970570224464,207,901.970570224464,36078.8228089785,0.459184248241282,157000,125600,625.991550446561,180.55,806.541550446561,32261.6620178624,0.486116361217298
"113","CALIMESA",339625,343490,271700,1311.27433284713,390.56875,1701.84308284713,68073.7233138852,0.460524000010065,343490,274792,1369.56584498656,395.0135,1764.57934498656,70583.1737994622,0.445436616021421
"114","CALISTOGA",827500,726000,662000,3194.93414922635,951.625,4146.55914922635,165862.365969054,0.181280423397571,726000,580800,2894.71251989938,834.9,3729.61251989938,149184.500795975,0.199160348538322
"115","CALPINE",455000,228500,364000,1756.73116362295,523.25,2279.98116362295,91199.246544918,0.356040106440665,228500,182800,911.076874376046,262.775,1173.85187437605,46954.0749750418,0.550308119280065
"116","CAMARILLO",564712.5,542400,451770,2180.32537854379,649.419375,2829.74475354379,113189.790141752,0.367443391374592,542400,433920,2162.6612545364,623.76,2786.4212545364,111456.850181456,0.375035767645752
"117","CAMBRIA",622000,540000,497600,2401.50941488676,715.3,3116.80941488676,124672.37659547,0.247241500884439,540000,432000,2153.09195694996,621,2774.09195694996,110963.678277998,0.297391146564901
"118","CAMERON PARK",449000,412750,359200,1733.5654779488,516.35,2249.9154779488,89996.6191179521,0.461774526296631,412750,330200,1645.71982450203,474.6625,2120.38232450203,84815.292980081,0.486714818117464
"119","CAMINO",394250,340000,315400,1522.17859617219,453.3875,1975.56609617219,79022.6438468877,0.432456312661846,340000,272000,1355.65049141293,391,1746.65049141293,69866.0196565174,0.489448001166889
"120","CAMP NELSON",150000,158450,120000,579.14214185372,172.5,751.64214185372,30065.6856741488,0.866636673638259,158450,126760,631.773001071704,182.2175,813.990501071704,32559.6200428682,0.849813831134541
"121","CAMPBELL",1205000,1169025,964000,4652.44187289155,1385.75,6038.19187289155,241527.674915662,0.120852227801095,1169025,935220,4661.14504624708,1344.37875,6005.52379624708,240220.951849883,0.120966926850737
"122","CAMPO",299999,302500,239999.2,1158.28042275983,344.99885,1503.27927275983,60131.1709103931,0.542388818218405,302500,242000,1206.13021662474,347.875,1554.00521662474,62160.2086649897,0.526158412717526
"123","CAMPTONVILLE",162500,115000,130000,627.403987008196,186.875,814.278987008196,32571.1594803279,0.426621729836899,115000,92000,458.528842683787,132.25,590.778842683787,23631.1537073515,0.535926925852971
"124","CANYON LAKE",420000,412500,336000,1621.59799719042,483,2104.59799719042,84183.9198876166,0.45119003513128,412500,330000,1644.7230226701,474.375,2119.0980226701,84763.9209068042,0.444372396974082
"125","CAPITOLA",760000,732000,608000,2934.32018539218,874,3808.32018539218,152332.807415687,0.142643264013178,732000,585600,2918.63576386549,841.8,3760.43576386549,150417.43055462,0.143774597428964
"126","CARLSBAD",829000,773750,663200,3200.72557064489,953.35,4154.07557064489,166163.022825796,0.255927541532342,773750,619000,3085.10166979635,889.8125,3974.91416979635,158996.566791854,0.268402415815272
"127","CARMICHAEL",373000,340000,298400,1440.13345940958,428.95,1869.08345940958,74763.3383763833,0.405054729603545,340000,272000,1355.65049141293,391,1746.65049141293,69866.0196565174,0.437382479408806
"128","CARNELIAN BAY",631000,867500,504800,2436.25794339798,725.65,3161.90794339798,126476.317735919,0.282936908930131,867500,694000,3458.90235676683,997.625,4456.52735676683,178261.094270673,0.126686185373401
"129","CARPINTERIA",752500,825000,602000,2905.36307829949,865.375,3770.73807829949,150829.52313198,0.142150763334747,825000,660000,3289.44604534021,948.75,4238.19604534021,169527.841813608,0.111904870267899
"130","CARSON",481000,432500,384800,1857.11580154426,553.15,2410.26580154426,96410.6320617704,0.369862366870322,432500,346000,1724.46716922381,497.375,2221.84216922381,88873.6867689523,0.412906943548492
"131","CARUTHERS",167500,230947.5,134000,646.708725069987,192.625,839.333725069987,33573.3490027995,0.63708073431973,230947.5,184758,920.835564310555,265.589625,1186.42518931056,47457.0075724222,0.4498718977723
"132","CASPAR",750000,545000,6e+05,2895.7107092686,862.5,3758.2107092686,150328.428370744,0.114843719519145,545000,436000,2173.02799358838,626.75,2799.77799358838,111991.119743535,0.180615961482196
"133","CASTAIC",481500,545000,385200,1859.04627535044,553.725,2412.77127535044,96510.8510140176,0.57735767134115,545000,436000,2173.02799358838,626.75,2799.77799358838,111991.119743535,0.4867753472574
"134","CASTRO VALLEY",811000,745000,648800,3131.22851362244,932.65,4063.87851362244,162555.140544898,0.236743264842444,745000,596000,2970.4694591254,856.75,3827.2194591254,153088.778365016,0.255051191440797
"135","CASTROVILLE",511150,422500,408920,1973.52337205686,587.8225,2561.34587205686,102453.834882274,0.181625858596173,422500,338000,1684.59509594696,485.875,2170.47009594696,86818.8038378782,0.235231841764033
"136","CATHEDRAL CITY",265000,254000,212000,1023.1511172749,304.75,1327.9011172749,53116.0446909962,0.433620432593139,254000,203200,1012.75066123202,292.1,1304.85066123202,52194.0264492806,0.439061885542717
"137","CATHEYS VALLEY",415000,385000,332000,1602.29325912862,477.25,2079.54325912862,83181.730365145,0.305654982435387,385000,308000,1535.07482115876,442.75,1977.82482115876,79112.9928463506,0.323325576220037
"138","CAYUCOS",917500,1012500,734000,3542.41943433859,1055.125,4597.54443433859,183901.777373543,0.127065092401322,1012500,810000,4037.04741928117,1164.375,5201.42241928117,208056.896771247,0.088834482863359
"139","CAZADERO",378268,450000,302614.4,1460.47293143149,435.0082,1895.48113143149,75819.2452572594,0.410756201636124,450000,360000,1794.2432974583,517.5,2311.7432974583,92469.7318983318,0.329899736190568
"140","CERES",260000,250000,208000,1003.84637921311,299,1302.84637921311,52113.8551685246,0.498217355324656,250000,2e+05,996.801831921276,287.5,1284.30183192128,51372.073276851,0.502148072796458
