"","RegionSalesCar","2015 Q1","2014 Q4","2014 Q1","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",376065.5,451670,418570,338458.95,1332.04888102901,432.475325,1764.52420602901,52935.7261808703,0.550072535592688,0.535199064075393,"",0.555231907150621,"R"
"2","CA Condo/Townhomes",314007,368860,346850,282606.3,1112.2335683153,361.10805,1473.3416183153,44200.2485494589,0.618328252613554,0.612296581476732,"",0.627969428795883,"R"
"3","Los Angeles Metropolitan Area",352724.5,414040,391330,317452.05,1249.37351481728,405.633175,1655.00668981728,49650.2006945184,0.557426607120211,0.554974436824419,"R",0.571366666551529,"R"
"4","Inland Empire",238850,277730,266410,214965,846.022502021002,274.6775,1120.700002021,33621.0000606301,0.671369362534187,0.67570376835405,"",0.684884805473384,""
"5","S.F. Bay Area",636080.5,743910,679780,572472.45,2253.03921330027,731.492575,2984.53178830027,89535.9536490082,0.451007855622043,0.439015416096265,"",0.466291370859892,"R"
"6","United States",173995,208400,191100,156595.5,616.301801294303,200.09425,816.396051294303,24491.8815388291,0.771139745216342,0.770506664649306,"R",0.780092730604498,"R"
"7","Alameda",601222,703370,632630,541099.8,2129.56810010497,691.4053,2820.97340010497,84629.2020031489,0.440756576488426,0.424861367082803,"",0.455714850785416,"R"
"8","Contra-Costa",642396,698300,651750,578156.4,2275.40913212595,738.7554,3014.16453212595,90424.9359637786,0.434416867919222,0.464341909827743,"R",0.482518055395482,"R"
"9","Marin",880642.5,1009620,994620,792578.25,3119.29399722014,1012.738875,4132.03287222014,123960.986166604,0.378617649097167,0.307311134966562,"",0.309290821258161,""
"10","Napa",418667.5,581040,506940,376800.75,1482.94798352471,481.467625,1964.41560852471,58932.4682557414,0.577360650144575,0.471844925881453,"",0.52280012233736,"R"
"11","San Francisco",999472.5,1139320,974770,899525.25,3540.19771886618,1149.393375,4689.59109386618,140687.732815985,0.266595583853176,0.257221305438748,"",0.309284674810578,"R"
"12","San Mateo",1021700,1050000,1045500,919530,3618.92899441012,1174.955,4793.88399441012,143816.519832304,0.287041314618181,0.346795469505066,"",0.337001245447001,"R"
"13","Santa Clara",765000,855000,808000,688500,2709.68061145517,879.75,3589.43061145517,107682.918343655,0.439193078314309,0.442478288734277,"",0.457052711760557,"R"
"14","Solano",286450,327590,298370,257805,1014.62485117821,329.4175,1344.04235117821,40321.2705353464,0.690784867333543,0.711060594990075,"",0.732880062585828,"R"
"15","Sonoma",416202.5,494440,479750,374582.25,1474.21679044336,478.632875,1952.84966544336,58585.4899633007,0.540093077453021,NA,NA,NA,NA
"16","Los Angeles",369503.5,450880,406210,332553.15,1308.80584289519,424.929025,1733.73486789519,52012.0460368558,0.517331423456436,0.499010695024576,"",0.530400922106683,"R"
"17","Orange County",582828,688450,669780,524545.2,2064.41533518064,670.2522,2734.66753518064,82040.0260554193,0.449748229381278,0.449241895995331,"",0.452064815251046,""
"18","Riverside County",274227,321610,309190,246804.3,971.330176519629,315.36105,1286.69122651963,38600.7367955889,0.629949543710717,0.630584106311292,"",0.638925393645145,"R"
"19","San Bernardino",180455,212310,188520,162409.5,639.183548679924,207.52325,846.706798679924,25401.2039603977,0.749953635999339,0.751193521421645,"",0.779692921772962,"R"
"20","San Diego",433780.5,493110,483030,390402.45,1536.47922938213,498.847575,2035.32680438213,61059.8041314638,0.505510443653953,0.511137893649316,"",0.511536029133335,""
"21","Ventura",496247,569190,549930,446622.3,1757.73970508862,570.68405,2328.42375508862,69852.7126526585,0.522974031417871,0.541089313801105,"",0.547376392912891,"R"
"22","Monterey",395250,451550,477000,355725,1400.00164925184,454.5375,1854.53914925184,55636.1744775551,0.527618161309676,0.506755999522255,"",0.476508185501351,"R"
"23","San Luis Obispo",418531.5,468000,476980,376678.35,1482.46626252712,481.311225,1963.77748752712,58913.3246258137,0.528961265887246,0.492007442595526,"",0.477360521051386,"R"
"24","Santa Barbara",578467.5,626370,647890,520620.75,2048.97015569535,665.237625,2714.20778069535,81426.2334208604,0.396145725379297,0.421224393524475,"",0.397793697085215,"R"
"25","Santa Cruz",590750,700050,615000,531675,2092.47558329038,679.3625,2771.83808329038,83155.1424987114,0.434420712942845,0.381915483720773,"",0.426691768356808,"R"
"26","Fresno",180370,201840,189720,162333,638.882473056429,207.4255,846.307973056429,25389.2391916929,0.690611850987178,0.718835360324568,"",0.733122987107833,"R"
"27","Kings County",158100,181050,173570,142290,560.000659700734,181.815,741.815659700734,22254.469791022,0.792709859839392,0.803217267865933,"",0.806982705821893,"R"
"28","Madera",180625,219700,193570,162562.5,639.785699926915,207.71875,847.504449926915,25425.1334978074,0.694253312415559,0.704946828902232,"",0.743557380909784,"R"
"29","Merced",150654,182960,158440,135588.6,533.626435082571,173.2521,706.878535082571,21206.3560524771,0.771886774713718,0.738277194119921,"",0.777124387306405,"R"
"30","Placer County",322218,380040,366670,289996.2,1141.31747354492,370.5507,1511.86817354492,45356.0452063475,0.67368603141426,0.664576559632893,"",0.670700181727813,"R"
"31","Sacramento",234438.5,268660,255840,210994.65,830.396677161611,269.604275,1100.00095216161,33000.0285648483,0.683940921434798,0.695475857705774,"",0.70603759549437,"R"
"32","San Benito",382500,433500,409980,344250,1354.84030572758,439.875,1794.71530572758,53841.4591718275,0.59420242492757,NA,NA,NA,NA
"33","San Joaquin",228990,260980,237890,206091,811.09772969558,263.3385,1074.43622969558,32233.0868908674,0.678379893997111,0.6959216830321,"R",0.719991637191458,"R"
"34","Stanislaus",201620,229140,212050,181458,714.151378930184,231.863,946.014378930184,28380.4313679055,0.692484912711846,0.684247897333895,"R",0.706239068087225,"R"
"35","Tulare",149540.5,180950,164000,134586.45,529.682344414786,171.971575,701.653919414786,21049.6175824436,0.750394879488484,0.759347075427482,"",0.783251864026868,"R"
"36","Amador",207187.5,240220,205000,186468.75,733.871832269108,238.265625,972.137457269108,29164.1237180732,0.734978935782242,NA,NA,NA,NA
"37","Butte County",202130,235820,222350,181917,715.957832671154,232.4495,948.407332671154,28452.2199801346,0.667840121694424,0.648927572918455,NA,0.65945450136063,NA
"38","El Dorado County",327632.5,369640,353790,294869.25,1160.49599076155,376.777375,1537.27336576155,46118.2009728465,0.670838419168638,0.652714433055315,NA,0.661958869943994,NA
"39","Humboldt",217260,261760,242260,195534,769.549293653267,249.849,1019.39829365327,30581.948809598,0.639781752015174,0.612638657585107,NA,0.633677715008592,NA
"40","Lake County",155431,175620,162310,139887.9,550.546885122991,178.74565,729.292535122991,21878.7760536897,0.676048238979795,NA,NA,NA,NA
"41","Mariposa",196103.5,222220,223470,176493.15,694.611570965357,225.519025,920.130595965357,27603.9178789607,0.751840930441871,NA,NA,NA,NA
"42","Mendocino",240830.5,301670,276090,216747.45,853.037564048436,276.955075,1129.99263904844,33899.7791714531,0.591783582590678,NA,NA,NA,NA
"43","Shasta",188700,213550,202110,169830,668.387884158941,217.005,885.392884158941,26561.7865247682,0.719735035705298,0.696210576649679,NA,0.706907428214866,NA
"44","Siskiyou County",144500,155000,150000,130050,511.828559941532,166.175,678.003559941532,20340.1067982459,0.718831941324064,NA,NA,NA,NA
"45","Sutter",196562.5,209880,194710,176906.25,696.23737933223,226.046875,922.28425433223,27668.5276299669,0.725251358521073,NA,NA,NA,NA
"46","Tehama",137419.5,181820,175000,123677.55,486.748960504396,158.032425,644.781385504396,19343.4415651319,0.797373514620907,NA,NA,NA,NA
"47","Yolo",291898.5,344120,319230,262708.65,1033.92379864424,335.683275,1369.60707364424,41088.2122093273,0.610460680092767,0.604071684775853,NA,0.622980624135442,NA
"48","Yuba",175899,201630,203720,158309.1,623.045895260591,202.28385,825.329745260591,24759.8923578177,0.74344532950925,NA,NA,NA,NA
