"","RegionSalesCar","2015 Q1","2014 Q4","Quarter_Rev","2014 Q1","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",442430,451670,"r",355784.5,320206.05,1277.10496837738,409.152175,1686.25714337738,50587.7143013214,0.555231907150621,0.535241663,"R"
"2","CA Condo/Townhomes",369420,368860,"r",294822.5,265340.25,1058.27904121579,339.045875,1397.32491621579,41919.7474864738,0.627969428795883,0.612339922,"R"
"3","Los Angeles Metropolitan Area",414970,414040,NA,332630.5,299367.45,1193.99261121227,382.525075,1576.51768621227,47295.5305863681,0.571366666551529,0.555024221,"R"
"4","Inland Empire",281000,277730,NA,226448.5,203803.65,812.847396195183,260.415775,1073.26317119518,32197.8951358555,0.684884805473384,0.675744797,""
"5","S.F. Bay Area",748330,743910,"r",577813,520031.7,2074.08656951902,664.48495,2738.57151951902,82157.1455855705,0.466291370859892,0.439065035,"R"
"6","United States",204700,208400,"1",162435,146191.5,583.067968217782,186.80025,769.868218217782,23096.0465465335,0.780092730604498,0.757896602,"R"
"7","Alameda",707320,703370,NA,537735.5,483961.95,1930.22652398543,618.395825,2548.62234898543,76458.6704695629,0.455714850785416,0.424907876,"R"
"8","Contra-Costa",755760,698300,NA,553987.5,498588.75,1988.56383195154,637.085625,2625.64945695154,78769.4837085463,0.482518055395482,0.464388456,"R"
"9","Marin",1036050,1009620,NA,845427,760884.3,3034.6994377225,972.24105,4006.9404877225,120208.214631675,0.309290821258161,0.307364347,""
"10","Napa",492550,581040,NA,430899,387809.1,1546.73195085464,495.53385,2042.26580085464,61267.9740256393,0.52280012233736,0.471900113,"R"
"11","San Francisco",1175850,1139320,"r",828554.5,745699.05,2974.13481622003,952.837675,3926.97249122003,117809.174736601,0.309284674810578,0.257265408,"R"
"12","San Mateo",1202000,1050000,NA,888675,799807.5,3189.94014009258,1021.97625,4211.91639009258,126357.491702777,0.337001245447001,0.346842086,"R"
"13","Santa Clara",9e+05,855000,NA,686800,618120,2465.30046216624,789.82,3255.12046216624,97653.6138649871,0.457052711760557,0.442528727,"R"
"14","Solano",337000,327590,NA,253614.5,228253.05,910.361013485817,291.656675,1202.01768848582,36060.5306545745,0.732880062585828,0.711096649,"R"
"15","Los Angeles",434710,450880,NA,345278.5,310750.65,1239.39319398088,397.070275,1636.46346898088,49093.9040694263,0.530400922106683,0.499053204,"R"
