"","RegionSalesCar","2017 Q2","2017 Q1","Quarter_Rev","2016 Q2","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",553260,496620,NA,438787,394908.3,1631.06614810835,504.60505,2135.67119810835,64070.1359432504,0.499893128130955,0.499893128130955,""
"2","CA Condo/Townhomes",443400,414840,NA,349664.5,314698.05,1299.77854664161,402.114175,1701.89272164161,51056.7816492482,0.584817332812677,0.584801133632003,""
"3","Los Angeles Metropolitan Area",491250,461950,NA,397137,357423.3,1476.24409305951,456.70755,1932.95164305951,57988.5492917854,0.526448112426675,0.523874179860697,"R"
"4","Inland Empire",342050,326460,NA,268175,241357.5,996.864456487899,308.40125,1305.2657064879,39157.971194637,0.647667506960882,0.647667506960882,""
"5","S.F. Bay Area",895000,780330,NA,705500,634950,2622.49603450065,811.325,3433.82103450065,103014.63103502,0.420490660242401,0.415142289211788,""
"6","United States",255600,232100,"1",204850,184365,761.471740138141,235.5775,997.049240138141,29911.4772041442,0.725889291200431,0.725889291200431,""
"7","Alameda",880000,798000,NA,685100,616590,2546.66482386449,787.865,3334.52982386449,100035.894715935,0.422166453466975,0.41236003041474,"R"
"8","Contra-Costa",655000,562500,NA,507450,456705,1886.30136457457,583.5675,2469.86886457457,74096.065937237,0.547824230075345,0.528136935630098,"R"
"9","Marin",1302500,1200000,NA,1041250,937125,3870.55137622084,1197.4375,5067.98887622084,152039.666286625,0.328097274314448,0.328097274314448,""
"10","Napa",683000,668000,NA,535500,481950,1990.56927919929,615.825,2606.39427919929,78191.8283759787,0.470405590042895,0.470405590042895,""
"11","San Francisco",1450000,1300000,NA,1168750,1051875,4344.49644269686,1344.0625,5688.55894269686,170656.768280906,0.242954944474111,0.242954944474111,""
"12","San Mateo",1469000,1300000,NA,1130500,1017450,4202.31292275406,1300.075,5502.38792275406,165071.637682622,0.274952837914667,0.274952837914667,""
"13","Santa Clara",1183440,1070000,NA,922250,830025,3428.20264750989,1060.5875,4488.79014750989,134663.704425297,0.370425837521487,0.370425837521487,""
"14","Solano",412000,390750,NA,327250,294525,1216.45900395512,376.3375,1592.79650395512,47783.8951186537,0.651502905526039,0.650525393337173,""
"15","Sonoma",625000,605000,NA,497250,447525,1848.38575925648,571.8375,2420.22325925648,72606.6977776945,0.461879869199616,0.461879869199616,""
"16","Los Angeles",514220,485820,NA,408034,367230.6,1516.75059807433,469.2391,1985.98969807433,59579.6909422299,0.491613886305428,0.491613886305428,""
"17","Orange County",788000,750000,NA,629000,566100,2338.12899461504,723.35,3061.47899461504,91844.3698384512,0.429727654499769,0.428329861279554,""
"18","Riverside County",380000,365000,NA,301750,271575,1121.66999065992,347.0125,1468.68249065992,44060.4747197975,0.610696151303155,0.610332043113559,""
"19","San Bernardino",269640,256900,NA,206014.5,185413.05,765.800438411956,236.916675,1002.71711341196,30081.5134023587,0.725729928246404,0.725729928246404,""
"20","San Diego",605000,564000,NA,476000,428400,1769.39491484381,547.4,2316.79491484381,69503.8474453144,0.476369246189564,0.451357753775445,"R"
"21","Ventura",635000,6e+05,NA,515525,463972.5,1916.31788545138,592.85375,2509.17163545138,75275.1490635414,0.538173862751691,0.511767893224331,"R"
"22","Monterey",603000,560000,NA,454750,409275,1690.40407043114,522.9625,2213.36657043114,66400.9971129343,0.458277736218918,0.458277736218918,""
"23","San Luis Obispo",565000,550000,NA,458150,412335,1703.04260553717,526.8725,2229.91510553717,66897.4531661151,0.473737016089733,0.467473165408076,""
"24","Santa Barbara",750000,779000,NA,616250,554625,2290.73448796744,708.6875,2999.42198796744,89982.6596390231,0.373199029500215,0.386889785275549,"R"
"25","Santa Cruz",850000,805000,NA,679150,611235,2524.54738742894,781.0225,3305.56988742894,99167.0966228683,0.355107520717249,0.355107520717249,""
"26","Fresno",250000,238000,NA,212500,191250,789.908444126703,244.375,1034.2834441267,31028.5033238011,0.650853471133265,0.672951938419088,"R"
"27","Kern (Bakersfield)",232500,219000,NA,192100,172890,714.077233490539,220.915,934.992233490539,28049.7670047162,0.714323171509596,0.710117574091722,""
"28","Kings County",225000,215000,NA,192100,172890,714.077233490539,220.915,934.992233490539,28049.7670047162,0.718606403284964,0.738190104378953,"R"
"29","Madera",259900,238000,NA,184025,165622.5,684.060712613724,211.62875,895.689462613724,26870.6838784117,0.709496448350487,0.699987429968672,"R"
"30","Merced",248000,228500,NA,181050,162945,673.001994395951,208.2075,881.209494395951,26436.2848318785,0.699545069676749,0.701083130013162,""
"31","Placer County",465000,435000,NA,365449,328904.1,1358.45294587134,420.26635,1778.71929587134,53361.5788761402,0.657744590630342,0.650820454576109,"R"
"32","Sacramento",340000,319720,NA,270300,243270,1004.76354092917,310.845,1315.60854092917,39468.256227875,0.643370471472625,0.636947801751041,""
"33","San Benito",530000,525000,NA,415650,374085,1545.06091671183,477.9975,2023.05841671183,60691.7525013549,0.574860089459998,0.574860089459998,""
"34","San Joaquin",336940,315000,NA,263500,237150,979.486470717111,303.025,1282.51147071711,38475.3441215133,0.638951553470999,0.634605197406161,"R"
"35","Stanislaus",288500,275000,NA,229500,206550,853.101119656839,263.925,1117.02611965684,33510.7835897052,0.664865874934606,0.662229003820305,""
"36","Tulare",220000,212000,NA,176800,159120,657.203825513417,203.32,860.523825513417,25815.7147654025,0.67370174392458,0.674164200706787,""
"37","Amador",340000,295000,NA,233750,210375,868.899288539373,268.8125,1137.71178853937,34131.3536561812,0.678112073252352,0.672741619694548,"R"
"38","Butte County",305850,282000,NA,232900,209610,865.739654762866,267.835,1133.57465476287,34007.239642886,0.605279399807527,0.603467324884788,"R"
"39","El Dorado County",480000,429000,NA,374000,336600,1390.238861663,430.1,1820.338861663,54610.1658498899,0.566521326497977,0.561883810349644,"R"
