"","RegionSalesCar","2017 Q2","2017 Q1","2016 Q2","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",470271,496620,516220,423243.9,1830.38962652748,540.81165,2371.20127652748,71136.0382958245,0.470840433775111,0.514324846154975,"",0.499893128130955,""
"2","CA Condo/Townhomes",376890,414840,411370,339201,1466.93193146493,433.4235,1900.35543146493,57010.6629439478,0.561296329021517,0.582059097808233,"",0.584817332812677,""
"3","Los Angeles Metropolitan Area",417562.5,461950,467220,375806.25,1625.23750864264,480.196875,2105.43438364264,63163.0315092792,0.503994805325515,0.525944613959287,"",0.526448112426675,"R"
"4","Inland Empire",290742.5,326460,315500,261668.25,1131.62847802792,334.353875,1465.98235302792,43979.4705908375,0.611788103865268,0.627212163050263,"",0.647667506960882,""
"5","S.F. Bay Area",760750,780330,830000,684675,2960.99250938455,874.8625,3835.85500938455,115075.650281537,0.392881338427151,0.448292368583217,"",0.420490660242401,""
"6","United States",217260,232100,241000,195534,845.619760222002,249.849,1095.468760222,32864.0628066601,0.70675962685379,0.73379588383483,"",0.725889291200431,""
"7","Alameda",748000,798000,806000,673200,2911.36693660157,860.2,3771.56693660157,113147.008098047,0.369581299136554,0.407891267548797,"",0.422166453466975,"R"
"8","Contra-Costa",556750,562500,597000,501075,2166.98334485685,640.2625,2807.24584485685,84217.3753457055,0.510675985036825,0.56756917635767,"",0.547824230075345,"R"
"9","Marin",1107125,1200000,1225000,996412.5,4309.15390332221,1273.19375,5582.34765332221,167470.429599666,0.301130391386297,0.324682555354731,"",0.328097274314448,""
"10","Napa",580550,668000,630000,522495,2259.61774738508,667.6325,2927.25024738508,87817.5074215525,0.451765045066924,0.457489261871046,"",0.470405590042895,""
"11","San Francisco",1232500,1300000,1375000,1109250,4797.13870235486,1417.375,6214.51370235486,186435.411070646,0.217717266793456,0.252490154091735,"",0.242954944474111,""
"12","San Mateo",1248650,1300000,1330000,1123785,4859.99776121331,1435.9475,6295.94526121331,188878.357836399,0.244706986886796,0.287912616363164,"",0.274952837914667,""
"13","Santa Clara",1005924,1070000,1085000,905331.6,3915.25919028609,1156.8126,5072.07179028609,152162.153708583,0.323825877960927,0.366856573511578,"",0.370425837521487,""
"14","Solano",350200,390750,385000,315180,1363.04906577255,402.73,1765.77906577255,52973.3719731766,0.634312075934874,0.650277725394723,"",0.651502905526039,""
"15","Sonoma",531250,605000,585000,478125,2067.73219929089,610.9375,2678.66969929089,80360.0909787267,0.45494640985018,0.464364553291749,"",0.461879869199616,""
"16","Los Angeles",437087,485820,480040,393378.3,1701.23080243098,502.65005,2203.88085243098,66116.4255729293,0.462257383181776,0.482832140272634,"",0.491613886305428,""
"17","Orange County",669800,750000,740000,602820,2606.99675686595,770.27,3377.26675686595,101318.002705979,0.397533628220339,0.417564436426691,"",0.429727654499769,""
"18","Riverside County",323000,365000,355000,290700,1257.18117716886,371.45,1628.63117716886,48858.9353150658,0.581099059946753,0.595325657937517,"",0.610696151303155,""
"19","San Bernardino",229194,256900,242370,206274.6,892.069296346873,263.5731,1155.64239634687,34669.2718904062,0.681577888170492,0.695243301230756,"",0.725729928246404,""
"20","San Diego",514250,564000,560000,462825,2001.56476891358,591.3875,2592.95226891358,77788.5680674074,0.454053614784122,0.480388464170989,"",0.476369246189564,"R"
