"","RegionSalesCar","2017 Q2","2017 Q1","2016 Q2","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",553260,496620,516220,442608,2136.10787601326,636.249,2772.35687601326,110894.27504053,0.286819305368685,0.317419000505044,"",0.305275693579722,""
"2","CA Condo/Townhomes",443400,414840,411370,354720,1711.9441713196,509.91,2221.8541713196,88874.1668527838,0.379824627255216,0.395438517034951,"",0.401737241291938,""
"3","Los Angeles Metropolitan Area",491250,461950,467220,393000,1896.69051457093,564.9375,2461.62801457093,98465.1205828373,0.312611040240686,0.328247410430247,"",0.333198827332376,""
"4","Inland Empire",342050,326460,315500,273640,1320.6371308071,393.3575,1713.9946308071,68559.785232284,0.425216427563911,0.434453241688857,"",0.459971788081126,""
"5","S.F. Bay Area",895000,780330,830000,716000,3455.54811306053,1029.25,4484.79811306053,179391.924522421,0.212763502845883,0.249415807983977,"",0.233436910053429,""
"6","United States",255600,232100,241000,204480,986.858209718738,293.94,1280.79820971874,51231.9283887495,0.546005785395708,0.573480475120446,"",0.566488536630502,""
"7","Alameda",880000,798000,806000,704000,3397.63389887516,1012,4409.63389887516,176385.355955006,0.190442127874475,0.212661009901421,"",0.226772775783792,"R"
"8","Contra-Costa",655000,562500,597000,524000,2528.92068609458,753.25,3282.17068609458,131286.827443783,0.312196763886031,0.369269921252505,"",0.349618560517478,"R"
"9","Marin",1302500,1200000,1225000,1042000,5028.88426509647,1497.875,6526.75926509647,261070.370603859,0.173019744783929,0.179703915109936,"",0.177892100880876,""
"10","Napa",683000,668000,630000,546400,2637.0272192406,785.45,3422.4772192406,136899.088769624,0.245475542082154,0.241812369640784,"",0.255040614961424,""
"11","San Francisco",1450000,1300000,1375000,1160000,5598.37403791929,1667.5,7265.87403791929,290634.961516772,0.121953999380442,0.127655394550722,"",0.129561913918165,""
"12","San Mateo",1469000,1300000,1330000,1175200,5671.73204255409,1689.35,7361.0820425541,294443.281702164,0.144927121247892,0.153143422514158,"",0.142148243398661,""
"13","Santa Clara",1183440,1070000,1085000,946752,4569.19984236911,1360.956,5930.15584236911,237206.233694764,0.165912632949035,0.186072096348487,"",0.19131888755411,""
"14","Solano",412000,390750,385000,329600,1590.71041629155,473.8,2064.51041629155,82580.416651662,0.440299205572208,0.451283468716084,"",0.454390028342117,""
"15","Sonoma",625000,605000,585000,5e+05,2413.09225772383,718.75,3131.84225772383,125273.690308953,0.249037103775622,0.249873204969538,"",0.263261334841027,""
"16","Los Angeles",514220,485820,480040,411376,1985.3764812268,591.353,2576.7294812268,103069.179249072,0.279393833362753,0.289070486477341,"",0.302330983705256,""
"17","Orange County",788000,750000,740000,630400,3042.42671853821,906.2,3948.62671853821,157945.068741528,0.208452945797838,0.21428374501028,"",0.224204291330929,""
"18","Riverside County",380000,365000,355000,304000,1467.16009269609,437,1904.16009269609,76166.4037078436,0.389089432629014,0.393574906208571,"",0.414273026679864,""
"19","San Bernardino",269640,256900,242370,215712,1041.06591419625,310.086,1351.15191419625,54046.0765678499,0.513365890399751,0.521490833554834,"",0.559392054762684,""
"20","San Diego",605000,564000,560000,484000,2335.87330547667,695.75,3031.62330547667,121264.932219067,0.259488376740648,0.278478984352457,"",0.278913380449856,"R"
"21","Ventura",635000,6e+05,606500,508000,2451.70173384741,730.25,3181.95173384741,127278.069353897,0.268861429223667,0.282146880714826,"R",0.327318445325245,"R"
"22","Monterey",603000,560000,535000,482400,2328.15141025195,693.45,3021.60141025195,120864.056410078,0.209541393600912,0.227989143225593,"",0.247874726119725,""
"23","San Luis Obispo",565000,550000,539000,452000,2181.43540098234,649.75,2831.18540098234,113247.416039294,0.263487481335843,0.262309487363068,"",0.272408711403725,""
