"","RegionSalesCar","2017 Q2","2017 Q1","Quarter_Rev","2016 Q2","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",553260,496620,"",516220,397296,1980.12690307498,571.113,2551.23990307498,102049.596122999,0.317419000505044,0.317419000505044
"2","CA Condo/Townhomes",443400,414840,"",411370,331872,1654.05308781689,477.066,2131.11908781689,85244.7635126755,0.395438517034951,0.395340298996417
"3","Los Angeles Metropolitan Area",491250,461950,"",467220,369560,1841.89042502413,531.2425,2373.13292502413,94925.3170009653,0.328247410430247,0.328277719661071
"4","Inland Empire",342050,326460,"",315500,261168,1301.66370419608,375.429,1677.09270419608,67083.7081678431,0.434453241688857,0.434453241688857
"5","S.F. Bay Area",895000,780330,"",830000,624264,3111.33749401252,897.3795,4008.71699401252,160348.679760501,0.249415807983977,0.249415807983977
"6","United States",255600,232100,"",241000,185680,925.430820755712,266.915,1192.34582075571,47693.8328302285,0.573480475120446,0.573480475120446
"7","Alameda",880000,798000,"",806000,638400,3181.79144749271,917.7,4099.49144749271,163979.657899708,0.212661009901421,0.212661009901421
"8","Contra-Costa",655000,562500,"",597000,450000,2242.80412182287,646.875,2889.67912182287,115587.164872915,0.369269921252505,0.369269921252505
"9","Marin",1302500,1200000,"",1225000,960000,4784.64879322212,1380,6164.64879322212,246585.951728885,0.179703915109936,0.179703915109936
"10","Napa",683000,668000,"",630000,534400,2663.45449489365,768.2,3431.65449489365,137266.179795746,0.241812369640784,0.241812369640784
"11","San Francisco",1450000,1300000,"",1375000,1040000,5183.36952599063,1495,6678.36952599063,267134.781039625,0.127655394550722,0.127655394550722
"12","San Mateo",1469000,1300000,"",1330000,1040000,5183.36952599063,1495,6678.36952599063,267134.781039625,0.153143422514158,0.153143422514158
"13","Santa Clara",1183440,1070000,"",1085000,856000,4266.31184062306,1230.5,5496.81184062306,219872.473624922,0.186072096348487,0.186072096348487
"14","Solano",412000,390750,"",385000,312600,1558.00126329295,449.3625,2007.36376329295,80294.5505317182,0.451283468716084,0.451283468716084
"15","Sonoma",625000,605000,"",585000,484000,2412.26043324949,695.75,3108.01043324949,124320.417329979,0.249873204969538,0.249873204969538
"16","Los Angeles",514220,485820,"",480040,388656,1937.06506393598,558.693,2495.75806393598,99830.3225574391,0.289070486477341,0.289070486477341
