"","RegionSalesCar","2016 Q3","2016 Q2","Quarter_Rev","2015 Q3","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",515940,516220,NA,490320,392256,1909.05261232554,563.868,2472.92061232554,98916.8244930218,0.287971464046588,0.290776614707705,""
"2","CA Condo/Townhomes",418230,411390,NA,389350,311480,1515.92762809788,447.7525,1963.68012809788,78547.205123915,0.385639071720037,0.384294533989363,"R"
"3","Los Angeles Metropolitan Area",468600,470330,NA,446860,357488,1739.84183868452,513.889,2253.73083868452,90149.2335473807,0.309728049115579,0.312066524182934,""
"4","Inland Empire",318960,315500,NA,292830,234264,1140.1286434722,336.7545,1476.8831434722,59075.325738888,0.446640812404648,0.447157687187971,""
"5","S.F. Bay Area",785980,840920,NA,752810,602248,2931.05297985967,865.7315,3796.78447985967,151871.379194387,0.225098917324463,0.203813204408194,"R"
"6","United States",240900,241000,"1",223000,178400,868.246721627909,256.45,1124.69672162791,44987.8688651164,0.575358275865549,0.575358275865549,""
"7","Alameda",795400,825700,NA,750460,600368,2921.90329467659,863.029,3784.93229467659,151397.291787064,0.199252427743212,0.199252427743212,""
"8","Contra-Costa",601510,628150,NA,560180,448144,2181.05133866153,644.207,2825.25833866153,113010.333546461,0.337779849638864,0.187318330483877,"R"
"9","Marin",1185000,1225000,NA,1050000,840000,4088.15720945876,1207.5,5295.65720945876,211826.288378351,0.188035490389174,0.185275991141686,""
"10","Napa",639000,630000,NA,619000,495200,2410.06601205236,711.85,3121.91601205236,124876.640482094,0.225864961578528,0.210541911011221,"R"
"11","San Francisco",1298000,1375000,NA,1230000,984000,4788.9841596517,1414.5,6203.4841596517,248139.366386068,0.106990352667255,0.104862506184279,"R"
"12","San Mateo",1300000,1330000,NA,1250000,1e+06,4866.85382078424,1437.5,6304.35382078424,252174.15283137,0.129692370408178,0.129692370408178,""
"13","Santa Clara",1e+06,1085000,NA,965000,772000,3757.21114964544,1109.75,4866.96114964544,194678.445985817,0.185591101902264,0.185591101902264,""
"14","Solano",393000,386000,NA,355000,284000,1382.18648510273,408.25,1790.43648510273,71617.459404109,0.446978623179982,0.436171705427133,"R"
"15","Sonoma",580500,585000,NA,545000,436000,2121.94826586193,626.75,2748.69826586193,109947.930634477,0.258250239288154,0.241654329194242,"R"
"16","Los Angeles",536720,480040,NA,510550,408440,1987.81777456112,587.1325,2574.95027456112,102998.010982445,0.239000825140275,0.241482573105868,""
"17","Orange County",740070,742220,NA,715250,572200,2784.81375625274,822.5375,3607.35125625274,144294.05025011,0.199045233181476,0.199045233181476,""
"18","Riverside County",358510,355320,NA,336130,268904,1308.71645982417,386.5495,1695.26595982417,67810.6383929667,0.392889060713022,0.393862433528652,""
"19","San Bernardino",248280,242370,NA,230210,184168,896.318734466192,264.7415,1161.06023446619,46442.4093786477,0.537937860531274,0.537937860531274,""
"20","San Diego",589260,589910,NA,554370,443496,2158.43020210253,637.5255,2795.95570210253,111838.228084101,0.239901914506104,0.239901914506104,""
"21","Ventura",642740,647320,NA,614700,491760,2393.32403490886,706.905,3100.22903490886,124009.161396354,0.248489237322198,0.248489237322198,""
"22","Monterey",539000,535000,NA,480000,384000,1868.87186718115,552,2420.87186718115,96834.874687246,0.26660782025977,0.26660782025977,""
"23","San Luis Obispo",574930,546620,NA,523240,418592,2037.22607454972,601.726,2638.95207454972,105558.082981989,0.267756548310627,0.267756548310627,""
"24","Santa Barbara",717460,703460,NA,707860,566288,2756.04091646427,814.039,3570.07991646427,142803.196658571,0.167195003082457,0.17822537017651,"R"
"25","Santa Cruz",793000,799000,NA,740000,592000,2881.17746190427,851,3732.17746190427,149287.098476171,0.190022469895362,0.190022469895362,""
"26","Fresno",238260,235020,NA,220860,176688,859.914667886726,253.989,1113.90366788673,44556.1467154691,0.485084848591723,0.485084848591723,""
"27","Kings County",210140,212660,NA,194410,155528,756.932041038932,223.5715,980.503541038932,39220.1416415573,0.600707673439732,0.600707673439732,""
"28","Madera",238160,221700,NA,215910,172728,840.641926756421,248.2965,1088.93842675642,43557.5370702568,0.491095735883753,0.491095735883753,""
"29","Merced",219950,212080,NA,199510,159608,776.788804627732,229.4365,1006.22530462773,40249.0121851093,0.554092020775613,0.554092020775613,""
"30","Placer County",439500,438490,NA,395480,316384,1539.794679235,454.802,1994.596679235,79783.8671694001,0.437343686219981,0.437343686219981,""
"31","Sacramento",327040,323710,NA,291410,233128,1134.59989753179,335.1215,1469.72139753179,58788.8559012716,0.464794528914593,0.464794528914593,""
"32","San Benito",516000,489000,NA,459900,367920,1790.61285774294,528.885,2319.49785774294,92779.9143097176,0.332298599461486,0.332298599461486,""
"33","San Joaquin",321250,313840,NA,292250,233800,1137.87042329936,336.0875,1473.95792329936,58958.3169319742,0.44301193087941,0.44301193087941,""
"34","Stanislaus",273550,271940,NA,250820,200656,976.563420263283,288.443,1265.00642026328,50600.2568105313,0.455363993937992,0.455363993937992,""
"35","Tulare",212570,207700,NA,189790,151832,738.944149317313,218.2585,957.202649317313,38288.1059726925,0.531451829848362,0.531451829848362,""
"36","Amador",253910,279460,NA,273910,219128,1066.46394404081,314.9965,1381.46044404081,55258.4177616324,0.494646240433874,0.494646240433874,""
"37","Butte County",280830,275210,NA,261110,208888,1016.62736091598,300.2765,1316.90386091598,52676.1544366392,0.423371814175699,0.423371814175699,""
"38","El Dorado County",423240,445720,NA,4e+05,320000,1557.39322265096,460,2017.39322265096,80695.7289060383,0.430325704472621,0.430325704472621,""
"39","Humboldt",296040,282380,NA,268930,215144,1047.07439841881,309.2695,1356.34389841881,54253.7559367522,0.414630094288857,0.414630094288857,""
"40","Lake County",232210,250510,NA,221350,177080,861.822474584474,254.5525,1116.37497458447,44654.998983379,0.410856253471333,0.410856253471333,""
"41","Mariposa",263270,252440,NA,256110,204888,997.159945632842,294.5265,1291.68644563284,51667.4578253137,0.547669146766902,0.547669146766902,""
"42","Mendocino",355740,355360,NA,347670,278136,1353.64725429765,399.8205,1753.46775429765,70138.7101719059,0.297513264060747,0.293935309021515,"R"
"43","Shasta",237990,236200,NA,231740,185392,902.275763542832,266.501,1168.77676354283,46751.0705417133,0.506953809469107,0.506953809469107,""
"44","Siskiyou County",203700,180000,NA,173330,138664,674.857418205226,199.3295,874.186918205226,34967.4767282091,0.530673612175904,0.530673612175904,""
