"","RegionSalesCar","2016 Q3","2016 Q2","Quarter_Rev","2015 Q3","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",515940,438787,"",490320,394908.3,1631.06614810835,504.60505,2135.67119810835,64070.1359432504,0.499893128130955,0.499893128130955
"2","CA Condo/Townhomes",418230,349681.5,"",389350,314713.35,1299.84173931714,402.133725,1701.97546431714,51059.2639295141,0.584801133632003,0.584801133632003
"3","Los Angeles Metropolitan Area",468600,399780.5,"",446860,359802.45,1486.07055410445,459.747575,1945.81812910445,58374.5438731335,0.523874179860697,0.523874179860697
"4","Inland Empire",318960,268175,"",292830,241357.5,996.864456487899,308.40125,1305.2657064879,39157.971194637,0.647667506960882,0.647667506960882
"5","S.F. Bay Area",785980,714782,"",752810,643303.8,2656.99923534011,821.9993,3478.99853534011,104369.956060203,0.415142289211788,0.415142289211788
"6","United States",240900,204850,"",223000,184365,761.471740138141,235.5775,997.049240138141,29911.4772041442,0.725889291200431,0.725889291200431
"7","Alameda",795400,701845,"",750460,631660.5,2608.90960926167,807.12175,3416.03135926167,102480.94077785,0.41236003041474,0.41236003041474
"8","Contra-Costa",601510,533927.5,"",560180,480534.75,1984.72395671275,614.016625,2598.74058171275,77962.2174513826,0.528136935630098,0.528136935630098
"9","Marin",1185000,1041250,"",1050000,937125,3870.55137622084,1197.4375,5067.98887622084,152039.666286625,0.328097274314448,0.328097274314448
"10","Napa",639000,535500,"",619000,481950,1990.56927919929,615.825,2606.39427919929,78191.8283759787,0.470405590042895,0.470405590042895
"11","San Francisco",1298000,1168750,"",1230000,1051875,4344.49644269686,1344.0625,5688.55894269686,170656.768280906,0.242954944474111,0.242954944474111
"12","San Mateo",1300000,1130500,"",1250000,1017450,4202.31292275406,1300.075,5502.38792275406,165071.637682622,0.274952837914667,0.274952837914667
"13","Santa Clara",1e+06,922250,"",965000,830025,3428.20264750989,1060.5875,4488.79014750989,134663.704425297,0.370425837521487,0.370425837521487
"14","Solano",393000,328100,"",355000,295290,1219.61863773163,377.315,1596.93363773163,47908.0091319489,0.650525393337173,0.650525393337173
"15","Sonoma",580500,497250,"",545000,447525,1848.38575925648,571.8375,2420.22325925648,72606.6977776945,0.461879869199616,0.461879869199616
"16","Los Angeles",536720,408034,"",510550,367230.6,1516.75059807433,469.2391,1985.98969807433,59579.6909422299,0.491613886305428,0.491613886305428
"17","Orange County",740070,630887,"",715250,567798.3,2345.14338159889,725.52005,3070.66343159889,92119.9029479666,0.428329861279554,0.428329861279554
"18","Riverside County",358510,302022,"",336130,271819.8,1122.6810734684,347.3253,1470.0063734684,44100.191204052,0.610332043113559,0.610332043113559
"19","San Bernardino",248280,206014.5,"",230210,185413.05,765.800438411956,236.916675,1002.71711341196,30081.5134023587,0.725729928246404,0.725729928246404
"20","San Diego",589260,501423.5,"",554370,451281.15,1863.89956109913,576.637025,2440.53658609913,73216.097582974,0.451357753775445,0.451357753775445
"21","Ventura",642740,550222,"",614700,495199.8,2045.29413620839,632.7553,2678.04943620839,80341.4830862517,0.511767893224331,0.511767893224331
"22","Monterey",539000,454750,"",480000,409275,1690.40407043114,522.9625,2213.36657043114,66400.9971129343,0.458277736218918,0.458277736218918
