"","RegionSalesCar","2016 Q2","2016 Q1","2015 Q2","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",438787,466010,488500,394908.3,1631.06614810835,504.60505,2135.67119810835,64070.1359432504,0.499893128130955,0.534546395481074,"R",0.510387475508418,""
"2","CA Condo/Townhomes",349681.5,391210,388970,314713.35,1299.84173931714,402.133725,1701.97546431714,51059.2639295141,0.584801133632003,0.597261052388664,"",0.596311275664716,""
"3","Los Angeles Metropolitan Area",399780.5,438830,442840,359802.45,1486.07055410445,459.747575,1945.81812910445,58374.5438731335,0.523874179860697,0.544261496724206,"R",0.531273149027846,""
"4","Inland Empire",268175,297850,291730,241357.5,996.864456487899,308.40125,1305.2657064879,39157.971194637,0.647667506960882,0.662940084306188,"",0.654836642662851,""
"5","S.F. Bay Area",714782,723110,763230,643303.8,2656.99923534011,821.9993,3478.99853534011,104369.956060203,0.415142289211788,0.473035904626153,"",0.44070465576582,"R"
"6","United States",204850,217600,229500,184365,761.471740138141,235.5775,997.049240138141,29911.4772041442,0.725889291200431,0.750543057346868,"",0.739197267976109,""
"7","Alameda",701845,731640,752170,631660.5,2608.90960926167,807.12175,3416.03135926167,102480.94077785,0.41236003041474,0.45751035772771,"",0.413756364504492,"R"
"8","Contra-Costa",533927.5,543570,569710,480534.75,1984.72395671275,614.016625,2598.74058171275,77962.2174513826,0.528136935630098,0.580211105666759,"",0.549630681381296,"R"
"9","Marin",1041250,1109000,1130000,937125,3870.55137622084,1197.4375,5067.98887622084,152039.666286625,0.328097274314448,0.362939614585955,"R",0.343059661158267,"R"
"10","Napa",535500,649000,612000,481950,1990.56927919929,615.825,2606.39427919929,78191.8283759787,0.470405590042895,0.451001179516783,"",0.473743100814687,"R"
"11","San Francisco",1168750,1320000,1350500,1051875,4344.49644269686,1344.0625,5688.55894269686,170656.768280906,0.242954944474111,0.249494993022622,"",0.218187614006666,""
"12","San Mateo",1130500,1170000,1300000,1017450,4202.31292275406,1300.075,5502.38792275406,165071.637682622,0.274952837914667,0.313901680389453,"",0.256720484722713,""
"13","Santa Clara",922250,970000,980000,830025,3428.20264750989,1060.5875,4488.79014750989,134663.704425297,0.370425837521487,0.412128798567046,"",0.394876409812337,""
"14","Solano",328100,363000,350000,295290,1219.61863773163,377.315,1596.93363773163,47908.0091319489,0.650525393337173,0.667648257202561,"R",0.67624248803575,"R"
"15","Sonoma",497250,550000,540000,447525,1848.38575925648,571.8375,2420.22325925648,72606.6977776945,0.461879869199616,0.484781453470895,"R",0.495376178162636,"R"
