"","RegionSalesCar","2016 Q2","2016 Q1","Quarter_Rev","2015 Q2","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",516220,466010,"r",415225,373702.5,1486.30978680203,477.50875,1963.81853680203,58914.556104061,0.510387475508418,0.513154642756449,""
"2","CA Condo/Townhomes",411390,391210,"r",330624.5,297562.05,1183.47987261492,380.218175,1563.69804761492,46910.9414284475,0.596311275664716,0.597035584379439,""
"3","Los Angeles Metropolitan Area",470330,438830,"r",376414,338772.6,1347.38470007659,432.8761,1780.26080007659,53407.8240022976,0.531273149027846,0.533114048818679,""
"4","Inland Empire",315500,297850,NA,247970.5,223173.45,887.617510959585,285.166075,1172.78358595959,35183.5075787876,0.654836642662851,0.654836642662851,""
"5","S.F. Bay Area",840920,723110,"r",648745.5,583870.95,2322.20310866104,746.057325,3068.26043366104,92047.8130098311,0.44070465576582,0.397214286772491,"R"
"6","United States",241000,217600,"1",195075,175567.5,698.276552857865,224.33625,922.612802857864,27678.3840857359,0.739197267976109,0.739197267976109,""
"7","Alameda",825700,731640,NA,639344.5,575410.05,2288.55195975207,735.246175,3023.79813475207,90713.9440425621,0.413756364504492,0.37954664238129,"R"
"8","Contra-Costa",628150,543570,NA,484253.5,435828.15,1733.39928073488,556.891525,2290.29080573488,68708.7241720463,0.549630681381296,0.38711349135238,"R"
"9","Marin",1225000,1109000,"r",960500,864450,3438.13727550931,1104.575,4542.71227550931,136281.368265279,0.343059661158267,0.328747149282005,"R"
"10","Napa",630000,649000,NA,520200,468180,1862.07080762097,598.23,2460.30080762097,73809.0242286291,0.473743100814687,0.463967463346164,"R"
"11","San Francisco",1375000,1320000,"r",1147925,1033132.5,4109.03043413746,1320.11375,5429.14418413746,162874.325524124,0.218187614006666,0.217513635883567,""
"12","San Mateo",1330000,1170000,NA,1105000,994500,3955.37916651514,1270.75,5226.12916651514,156783.874995454,0.256720484722713,0.256720484722713,""
"13","Santa Clara",1085000,970000,NA,833000,749700,2981.74737168064,957.95,3939.69737168064,118190.921150419,0.394876409812337,0.394876409812337,""
"14","Solano",386000,363000,"r",297500,267750,1064.90977560023,342.125,1407.03477560023,42211.0432680069,0.67624248803575,0.673537209091875,"R"
"15","Sonoma",585000,550000,"r",459000,413100,1643.00365378321,527.85,2170.85365378321,65125.6096134963,0.495376178162636,0.4722907450677,"R"
"16","Los Angeles",480040,459380,"r",381718,343546.2,1366.37052007586,438.9757,1805.34622007586,54160.3866022758,0.503325131261787,0.506485124615631,"R"
"17","Orange County",742220,713680,NA,606237,545613.3,2170.04271472456,697.17255,2867.21526472456,86016.4579417367,0.429772815341538,0.429772815341538,""
"18","Riverside County",355320,342930,NA,284393,255953.7,1017.99289348664,327.05195,1345.04484348664,40351.3453045993,0.613128635571574,0.613128635571574,""
"19","San Bernardino",242370,233490,NA,190255.5,171229.95,681.025014493141,218.793825,899.818839493141,26994.5651847942,0.732853826242905,0.732853826242905,""
"20","San Diego",589910,554320,NA,465664,419097.6,1666.85763275666,535.5136,2202.37123275666,66071.1369826997,0.471518323894703,0.471518323894703,""
"21","Ventura",647320,622520,NA,526201,473580.9,1883.55155909451,605.13115,2488.68270909451,74660.4812728353,0.489889079004046,0.489889079004046,""
"22","Monterey",535000,5e+05,NA,408000,367200,1460.44769225174,469.2,1929.64769225174,57889.4307675523,0.510640386784616,0.510640386784616,""
"23","San Luis Obispo",546620,540830,NA,440767.5,396690.75,1577.73989753571,506.882625,2084.62252253571,62538.6756760713,0.506907406254145,0.506907406254145,""
"24","Santa Barbara",703460,680920,NA,643348,579013.2,2302.88260273229,739.8502,3042.73280273229,91281.9840819687,0.347812373435857,0.357240800582082,"R"
"25","Santa Cruz",799000,746500,NA,618162.5,556346.25,2212.73038372933,710.886875,2923.61725872933,87708.51776188,0.414163003003526,0.414163003003526,""
"26","Fresno",235020,219590,NA,186175.5,167557.95,666.420537570623,214.101825,880.522362570623,26415.6708771187,0.678192351920197,0.678192351920197,""
"27","Kings County",212660,201340,NA,158380.5,142542.45,566.927538535973,182.137575,749.065113535973,22471.9534060792,0.791234798645999,0.791234798645999,""
"28","Madera",221700,217050,NA,183965.5,165568.95,658.509779237593,211.560325,870.070104237593,26102.1031271278,0.686170340916367,0.686170340916367,""
"29","Merced",212080,192060,NA,174301,156870.9,623.91542452738,200.44615,824.36157452738,24730.8472358214,0.725629585727766,0.725629585727766,""
"30","Placer County",438490,411640,NA,339728,305755.2,1216.06611174828,390.6872,1606.75331174828,48202.5993524485,0.652090694663853,0.652090694663853,""
"31","Sacramento",323710,297620,NA,247375.5,222637.95,885.487691408385,284.481825,1169.96951640838,35099.0854922515,0.66323241826844,0.66323241826844,""
"32","San Benito",489000,482440,NA,395250,355725,1414.80870186888,454.5375,1869.34620186888,56080.3860560663,0.577306023072492,0.577306023072492,""
"33","San Joaquin",313840,295000,NA,242938.5,218644.65,869.605322755147,279.379275,1148.98459775515,34469.5379326544,0.654606287480444,0.654606287480444,""
"34","Stanislaus",271940,254440,NA,209508,188557.2,749.93988997127,240.9342,990.87408997127,29726.2226991381,0.676059632626451,0.676059632626451,""
"35","Tulare",207700,193900,NA,162129,145916.1,580.345401708536,186.44835,766.793751708536,23003.8125512561,0.721065924202264,0.721065924202264,""
