"","RegionSalesCar","2016 Q2","2016 Q1","2015 Q2","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",516220,466010,488500,412976,1936.06548517623,593.653,2529.71848517623,101188.739407049,0.305275693579722,0.342446163967733,"",0.298007216551603,""
"2","CA Condo/Townhomes",411390,391210,388970,329112,1542.90414929032,473.0985,2016.00264929032,80640.1059716129,0.40171857898926,0.413323691965999,"",0.392446669954759,""
"3","Los Angeles Metropolitan Area",470330,438830,442840,376264,1763.95660695621,540.8795,2304.83610695621,92193.4442782486,0.330264901107511,0.352171067230941,"",0.321617788796292,""
"4","Inland Empire",315500,297850,291730,252400,1183.27197817423,362.825,1546.09697817423,61843.8791269692,0.459971788081126,0.477547235830251,"",0.456809369477405,""
"5","S.F. Bay Area",840920,723110,763230,672736,3153.84174924334,967.058,4120.89974924334,164835.989969734,0.229274191038189,0.274375903154764,"",0.225217102744645,"R"
"6","United States",241000,217600,229500,192800,903.862271759079,277.15,1181.01227175908,47240.4908703632,0.566488536630502,0.600326655985591,"",0.570418420096379,""
"7","Alameda",825700,731640,752170,660560,3096.75965888577,949.555,4046.31465888577,161852.586355431,0.219145795976581,0.254228250752335,"",0.203662948847053,"R"
"8","Contra-Costa",628150,543570,569710,502520,2355.85512865338,722.3725,3078.22762865338,123129.105146135,0.32405797370935,0.384791819468538,"",0.337910695111587,"R"
"9","Marin",1225000,1109000,1130000,980000,4594.32067595383,1408.75,6003.07067595383,240122.827038153,0.177892100880876,0.198879278389932,"",0.17445315981424,""
"10","Napa",630000,649000,612000,504000,2362.79349049054,724.5,3087.29349049054,123491.739619622,0.255040614961424,0.233954116961966,"R",0.24034168129243,"R"
"11","San Francisco",1375000,1320000,1350500,1100000,5156.89055464205,1581.25,6738.14055464205,269525.622185682,0.129561913918165,0.130045774254768,"",0.100187238481504,""
"12","San Mateo",1330000,1170000,1300000,1064000,4988.11959103558,1529.5,6517.61959103558,260704.783641423,0.142148243398661,0.163266893124815,"",0.12717235923399,""
"13","Santa Clara",1085000,970000,980000,868000,4069.25545584482,1247.75,5317.00545584482,212680.218233793,0.19131888755411,0.220175243091753,"",0.185657556906407,""
