,place,Price2018-Q1,Price2017-Q4,principal2018-Q1,pmt2018-Q1,t_i2018-Q1,pti2018-Q1,min_inc2018-Q1,HAI2018-Q1,principal2017-Q4,pmt2017-Q4,t_i2017-Q4,pti2017-Q4,min_inc2017-Q4,HAI2017-Q4,Price2017-Q1,principal2017-Q1,pmt2017-Q1,t_i2017-Q1,pti2017-Q1,min_inc2017-Q1,HAI2017-Q1
113,Ione,399999,282000,319999.2,1610.000754,459.99885,2069.999604,82799.98417,28.09230938,225600,1135.053369,324.3,1459.353369,58374.13477,48.18527035,245000,196000,986.1279272,281.75,1267.877927,50715.11709,49.35505703
114,Jackson,324950,358536.5,259960,1307.927632,373.6925,1681.620132,67264.8053,47.01483138,286829.2,1443.113696,412.316975,1855.430671,74217.22685,44.08804892,430000,344000,1730.755138,494.5,2225.255138,89010.2055,24.69610569
115,Kensington,1225000,1150000,980000,4930.639636,1408.75,6339.389636,253575.5854,18.01134977,920000,4628.76374,1322.5,5951.26374,238050.5496,14.90127481,1100000,880000,4427.513143,1265,5692.513143,227700.5257,15.58487917
116,Kentfield,2650000,1788000,2120000,10666.28166,3047.5,13713.78166,548551.2665,0,1430400,7196.721363,2056.2,9252.921363,370116.8545,15.31187483,2747500,2198000,11058.72033,3159.625,14218.34533,568733.8131,0
117,Kerman,265000,237500,212000,1066.628166,304.75,1371.378166,54855.12665,43.08358381,190000,955.9403376,273.125,1229.065338,49162.6135,54.34489043,230000,184000,925.752748,264.5,1190.252748,47610.10992,54.27775791
118,Kingsburg,305000,246000,244000,1227.628644,350.75,1578.378644,63135.14576,51.49804204,196800,990.1529392,282.9,1273.052939,50922.11757,52.76704395,280000,224000,1127.003345,322,1449.003345,57960.13382,51.29888742
119,Knightsen,1125000,782500,9.00E+05,4528.138441,1293.75,5821.888441,232875.5377,5.30230948,626000,3149.571849,899.875,4049.446849,161977.874,8.256351201,360000,288000,1449.004301,414,1863.004301,74520.17205,48.62162361
120,La Habra Heights,747500,941500,598000,3008.696431,859.625,3868.321431,154732.8572,22.84430903,753200,3789.548749,1082.725,4872.273749,194890.95,15.77813952,862500,690000,3471.572805,991.875,4463.447805,178537.9122,17.55443034
121,La Mirada,595000,555000,476000,2394.882109,684.25,3079.132109,123165.2844,16.26794359,444000,2233.881631,638.25,2872.131631,114885.2652,17.14953756,560000,448000,2254.006691,644,2898.006691,115920.2676,16.49876906
122,La Puente,450000,453250,360000,1811.255377,517.5,2328.755377,93150.21506,26.88034558,362600,1824.336665,521.2375,2345.574165,93822.96661,23.76623203,420000,336000,1690.505018,483,2173.505018,86940.20072,24.44736891
123,La Verne,647500,644916.5,518000,2606.195236,744.625,3350.820236,134032.8094,14.49360781,515933.2,2595.796618,741.653975,3337.450593,133498.0237,14.64967381,585000,468000,2354.631989,672.75,3027.381989,121095.2796,16.69260774
124,Lafayette,1287500,1343480,1030000,5182.202883,1480.625,6662.827883,266513.1153,21.03232282,1074784,5407.523052,1545.002,6952.525052,278101.0021,17.2343848,1488000,1190400,5989.217778,1711.2,7700.417778,308016.7111,14.62992926
125,Lake Hughes,278000,285000,222400,1118.953322,319.7,1438.653322,57546.13286,58.62166618,228000,1147.128405,327.75,1474.878405,58995.13621,55.38310379,230000,184000,925.752748,264.5,1190.252748,47610.10992,66.19877118
126,Lake Los Angeles,204950,199950,163960,824.9261987,235.6925,1060.618699,42424.74795,54.5567163,159960,804.801139,229.9425,1034.743639,41389.74556,52.86572368,172500,138000,694.314561,198.375,892.689561,35707.58244,53.17710281
127,Lakewood,575000,555000,460000,2314.38187,661.25,2975.63187,119025.2748,14.75778329,444000,2233.881631,638.25,2872.131631,114885.2652,14.92980727,549900,439920,2213.35407,632.385,2845.73907,113829.5628,14.77692738
128,Lancaster,270000,270000,216000,1086.753226,310.5,1397.253226,55890.12904,45.42481081,216000,1086.753226,310.5,1397.253226,55890.12904,44.85351864,234945,187956,945.6564321,270.18675,1215.843182,48633.72728,60.21300179
129,Larkspur,1950000,1819750,1560000,7848.773298,2242.5,10091.2733,403650.9319,6.185460632,1455800,7324.515492,2092.7125,9417.227992,376689.1197,6.01108566,2302500,1842000,9267.59001,2647.875,11915.46501,476618.6004,1.122928781
130,Laton,126000,95000,100800,507.1515054,144.9,652.0515054,26082.06022,64.88876702,76000,382.376135,109.25,491.626135,19665.0454,85.88106403,470000,376000,1891.755615,540.5,2432.255615,97290.22462,15.89591387
131,Lawndale,550000,510000,440000,2213.756571,632.5,2846.256571,113850.2629,7.588574677,408000,2052.756093,586.5,2639.256093,105570.2437,6.927380328,527450,421960,2122.992552,606.5675,2729.560052,109182.4021,6.262029625
132,Laytonville,374500,242500,299600,1507.366974,430.675,1938.041974,77521.67898,12.66424505,194000,976.0653974,278.875,1254.940397,50197.61589,24.47428993,20100000,16080000,80902.74015,23115,104017.7402,4160709.606,0
133,Lennox,377000,440000,301600,1517.429504,433.55,1950.979504,78039.18017,17.17968589,352000,1771.005257,506,2277.005257,91080.21028,14.23346708,395000,316000,1589.879719,454.25,2044.129719,81765.18878,14.66916449
134,Leona Valley,502500,365000,402000,2022.568504,577.875,2600.443504,104017.7402,28.30563433,292000,1469.129361,419.75,1888.879361,75555.17444,50.48944212,472000,377600,1899.805639,542.8,2442.605639,97704.22558,43.38507551
135,Littlerock,260000,286000,208000,1046.503106,299,1345.503106,53820.12426,50.02228641,228800,1151.153417,328.9,1480.053417,59202.13668,46.14982745,230000,184000,925.752748,264.5,1190.252748,47610.10992,61.41993847
136,Livermore,796000,795000,636800,3203.90951,915.4,4119.30951,164772.3804,21.15306603,636000,3199.884499,914.25,4114.134499,164565.3799,17.97586285,749500,599600,3016.746455,861.925,3878.671455,155146.8582,18.73304427
137,Livingston,245000,267000,196000,986.1279272,281.75,1267.877927,50715.11709,48.53285894,213600,1074.67819,307.05,1381.72819,55269.1276,49.62306347,245000,196000,986.1279272,281.75,1267.877927,50715.11709,49.62415761
138,Loleta,275000,480000,220000,1106.878286,316.25,1423.128286,56925.13143,43.94154622,384000,1932.005735,552,2484.005735,99360.2294,14.32661162,259000,207200,1042.478094,297.85,1340.328094,53613.12378,40.0431095
139,Lomita,677000,637000,541600,2724.933089,778.55,3503.483089,140139.3235,9.993747965,509600,2563.932611,732.55,3296.482611,131859.3044,8.801185,645000,516000,2596.132706,741.75,3337.882706,133515.3083,8.437578701
140,Long Beach,650000,613807.5,520000,2616.257766,747.5,3363.757766,134550.3106,9.581370316,491046,2470.582521,705.878625,3176.461146,127058.4458,9.044246013,603500,482800,2429.094711,694.025,3123.119711,124924.7884,9.009001099
141,Los Angeles,470000,467500,376000,1891.755615,540.5,2432.255615,97290.22462,27.280144,374000,1881.693086,537.625,2419.318086,96772.72342,25.10793363,410000,328000,1650.254899,471.5,2121.754899,84870.19594,26.46091087
142,Los Banos,340420,336595,272336,1370.194567,391.483,1761.677567,70467.10269,40.1424847,269276,1354.798897,387.08425,1741.883147,69675.32586,43.43901572,318625,254900,1282.469432,366.41875,1648.888182,65955.52728,43.46113912
143,Lynwood,435000,409000,348000,1750.880197,500.25,2251.130197,90045.20789,19.39805442,327200,1646.229887,470.35,2116.579887,84663.19547,18.00590155,393500,314800,1583.842201,452.525,2036.367201,81454.68806,17.89491916
144,Madera,255000,238000,204000,1026.378047,293.25,1319.628047,52785.12187,41.94235557,190400,957.9528436,273.7,1231.652844,49266.11374,55.26077734,209875,167900,844.7493826,241.35625,1086.105633,43444.2253,55.51225494
145,Magalia,214000,222500,171200,861.3525568,246.1,1107.452557,44298.10227,61.6837357,178000,895.5651584,255.875,1151.440158,46057.60634,56.46659027,155000,124000,623.8768519,178.25,802.1268519,32085.07408,70.37468659
146,Manhattan Beach,2265000,2672500,1812000,9116.652062,2604.75,11721.40206,468856.0825,2.971156421,2138000,10756.84443,3073.375,13830.21943,553208.7772,0,2595000,2076000,10444.906,2984.25,13429.156,537166.2402,0
147,Manila,245000,120000,196000,986.1279272,281.75,1267.877927,50715.11709,27.77896032,96000,483.0014337,138,621.0014337,24840.05735,81.90466494,307000,245600,1235.678668,353.05,1588.728668,63549.14672,26.45811051
148,Mariposa,292500,291750,234000,1177.315995,336.375,1513.690995,60547.63979,35.32640329,233400,1174.297236,335.5125,1509.809736,60392.38943,35.14008978,295000,236000,1187.378525,339.25,1526.628525,61065.14098,34.83871765
149,Martinez,640750,588000,512600,2579.026406,736.8625,3315.888906,132635.5562,16.04696915,470400,2366.707025,676.2,3042.907025,121716.281,16.89062793,605000,484000,2435.132228,695.75,3130.882228,125235.2891,15.48556008
150,Maywood,410000,321000,328000,1650.254899,471.5,2121.754899,84870.19594,16.73150479,256800,1292.028835,369.15,1661.178835,66447.15341,34.67057001,352500,282000,1418.816712,405.375,1824.191712,72967.66846,33.92318636
151,Mendocino,720000,525000,576000,2898.008602,828,3726.008602,149040.3441,4.598068828,420000,2113.131273,603.75,2716.881273,108675.2509,8.646826809,1150000,920000,4628.76374,1322.5,5951.26374,238050.5496,1.174512589
152,Mendota,175000,139900,140000,704.3770909,201.25,905.6270909,36225.08363,37.85800384,111920,563.0991715,160.885,723.9841715,28959.36686,52.2228221,125000,1.00E+05,503.1264935,143.75,646.8764935,25875.05974,52.05575276
153,Merced,247500,247000,198000,996.1904571,284.625,1280.815457,51232.61828,37.34912246,197600,994.1779511,284.05,1278.227951,51129.11804,39.53611106,218690,174952,880.2298629,251.4935,1131.723363,45268.93451,54.63993711
154,Mill Valley,1500000,1469000,1200000,6037.517922,1725,7762.517922,310500.7169,17.80094525,1175200,5912.742551,1689.35,7602.092551,304083.7021,17.61835547,1600000,1280000,6440.019117,1840,8280.019117,331200.7647,14.81959431
155,Milpitas,1175000,1040028,940000,4729.389039,1351.25,6080.639039,243225.5615,10.51490073,832022.4,4186.125126,1196.0322,5382.157326,215286.293,10.71380649,881000,704800,3546.035526,1013.15,4559.185526,182367.421,13.81442417
156,Miranda,275000,750000,220000,1106.878286,316.25,1423.128286,56925.13143,32.68008471,6.00E+05,3018.758961,862.5,3881.258961,155250.3584,1.699327619,480000,384000,1932.005735,552,2484.005735,99360.2294,8.813469911
157,Mokelumne Hill,287500,288000,230000,1157.190935,330.625,1487.815935,59512.6374,49.51426347,230400,1159.203441,331.2,1490.403441,59616.13764,59.1905411,190000,152000,764.7522701,218.5,983.2522701,39330.0908,73.17854569
158,Monrovia,675000,697750,540000,2716.883065,776.25,3493.133065,139725.3226,12.0342894,558200,2808.452087,802.4125,3610.864587,144434.5835,10.81995673,692550,554040,2787.522024,796.4325,3583.954524,143358.181,10.64550751
159,Montebello,555000,534000,444000,2233.881631,638.25,2872.131631,114885.2652,7.849728292,427200,2149.35638,614.1,2763.45638,110538.2552,7.299429592,527500,422000,2123.193802,606.625,2729.818802,109192.7521,7.312069631
160,Monterey Park,708000,670000,566400,2849.708459,814.2,3663.908459,146556.3384,8.738810377,536000,2696.758005,770.5,3467.258005,138690.3202,8.160229238,655000,524000,2636.382826,753.25,3389.632826,135585.313,8.262398002
161,Moraga,1449000,1375000,1159200,5832.242312,1666.35,7498.592312,299943.6925,19.18557256,1100000,5534.391428,1581.25,7115.641428,284625.6571,17.04620164,1312500,1050000,5282.828182,1509.375,6792.203182,271688.1273,17.62045297
162,Mountain Ranch,344500,458500,275600,1386.616616,396.175,1782.791616,71311.66464,35.29020166,366800,1845.467978,527.275,2372.742978,94909.71912,23.27548645,360000,288000,1449.004301,414,1863.004301,74520.17205,42.21557229
163,Mountain View,2464000,2100000,1971200,9917.629439,2833.6,12751.22944,510049.1776,0,1680000,8452.52509,2415,10867.52509,434701.0036,0.568181244,1770000,1416000,7124.271148,2035.5,9159.771148,366390.8459,1.066071581
164,Murphys,347500,330000,278000,1398.691652,399.625,1798.316652,71932.66608,41.88007847,264000,1328.253943,379.5,1707.753943,68310.15771,44.76398457,423500,338800,1704.59256,487.025,2191.61756,87664.7024,24.36566452
165,Myers Flat,9.00E+05,407400,720000,3622.510753,1035,4657.510753,186300.4301,2.115521349,325920,1639.789868,468.51,2108.299868,84331.9947,8.68047195,625000,5.00E+05,2515.632467,718.75,3234.382467,129375.2987,1.345107867
166,Newark,965250,853000,772200,3885.142783,1110.0375,4995.180283,199807.2113,7.929546887,682400,3433.335192,980.95,4414.285192,176571.4077,9.179685003,777500,622000,3129.446789,894.125,4023.571789,160942.8716,10.45725562
167,Norwalk,465000,445000,372000,1871.630556,534.75,2406.380556,96255.22223,27.74737884,356000,1791.130317,511.75,2302.880317,92115.21267,27.39651321,435000,348000,1750.880197,500.25,2251.130197,90045.20789,27.41699558
168,Novato,977000,877000,781600,3932.436673,1123.55,5055.986673,202239.4669,10.72723646,701600,3529.935478,1008.55,4538.485478,181539.4191,12.08648839,819000,655200,3296.484785,941.85,4238.334785,169533.3914,13.05615313
169,Oakhurst,293500,257500,234800,1181.341007,337.525,1518.866007,60754.64027,41.31000306,206000,1036.440577,296.125,1332.565577,53302.62306,38.87559458,240000,192000,966.0028675,276,1242.002867,49680.1147,56.37188957
170,Oakland,695000,750000,556000,2797.383304,799.25,3596.633304,143865.3322,12.77490789,6.00E+05,3018.758961,862.5,3881.258961,155250.3584,9.581956782,655000,524000,2636.382826,753.25,3389.632826,135585.313,11.16964925
171,Oakley,467500,470000,374000,1881.693086,537.625,2419.318086,96772.72342,37.4911799,376000,1891.755615,540.5,2432.255615,97290.22462,33.32567612,425000,340000,1710.630078,488.75,2199.380078,87975.20311,35.2975604
172,Orange Cove,189500,115000,151600,762.7397641,217.925,980.6647641,39226.59056,39.87736175,92000,462.876374,132.25,595.126374,23805.05496,76.94981222,137250,109800,552.4328898,157.8375,710.2703898,28410.81559,59.45299957
173,Orinda,1400000,1402500,1120000,5635.016727,1610,7245.016727,289800.6691,25.92892536,1122000,5645.079257,1612.875,7257.954257,290318.1703,23.24520273,1347500,1078000,5423.7036,1549.625,6973.3286,278933.144,24.10931272
174,Orland,262500,235000,210000,1056.565636,301.875,1358.440636,54337.62545,35.69588627,188000,945.8778077,270.25,1216.127808,48645.11231,51.27652818,203500,162800,819.0899314,234.025,1053.114931,42124.59726,51.77407007
175,Oroville,179000,194500,143200,720.4771387,205.85,926.3271387,37053.08555,52.19448722,155600,782.8648239,223.675,1006.539824,40261.59295,49.7292778,205000,164000,825.1274493,235.75,1060.877449,42435.09797,49.30573448
176,Pacheco,603000,525000,482400,2427.082205,693.45,3120.532205,124821.2882,10.90907001,420000,2113.131273,603.75,2716.881273,108675.2509,14.51835101,479000,383200,1927.980723,550.85,2478.830723,99153.22892,27.83304695
177,Palmdale,312000,3.00E+05,249600,1255.803728,358.8,1614.603728,64584.14911,48.13902883,240000,1207.503584,345,1552.503584,62100.14337,48.68576318,275000,220000,1106.878286,316.25,1423.128286,56925.13143,49.21049818
178,Palos Verdes Estates,1764500,1687500,1411600,7102.133582,2029.175,9131.308582,365252.3433,16.11353037,1350000,6792.207662,1940.625,8732.832662,349313.3065,16.73513723,1775000,1420000,7144.396207,2041.25,9185.646207,367425.8483,14.54280428
179,Paradise,265000,274500,212000,1066.628166,304.75,1371.378166,54855.12665,46.26266763,219600,1104.86578,315.675,1420.54078,56821.63119,39.56931146,237450,189960,955.739087,273.0675,1228.806587,49152.26348,54.3150106
180,Paramount,416500,440000,333200,1676.417476,478.975,2155.392476,86215.69905,21.81602907,352000,1771.005257,506,2277.005257,91080.21028,17.42687328,425000,340000,1710.630078,488.75,2199.380078,87975.20311,17.45874416
181,Parlier,152000,159500,121600,611.8018161,174.8,786.6018161,31464.07264,66.3165683,127600,641.9894057,183.425,825.4144057,33016.57623,64.00325434,154000,123200,619.85184,177.1,796.95184,31878.0736,63.94702277
182,Pasadena,1005000,950000,804000,4045.137008,1155.75,5200.887008,208035.4803,9.896591524,760000,3823.76135,1092.5,4916.26135,196650.454,9.00448259,875000,7.00E+05,3521.885454,1006.25,4528.135454,181125.4182,10.08878691
183,Pico Rivera,469500,461150,375600,1889.74311,539.925,2429.66811,97186.72438,25.63883045,368920,1856.13426,530.3225,2386.45676,95458.27039,24.46240565,436000,348800,1754.905209,501.4,2256.305209,90252.20837,24.99116818
184,Piedmont,2300000,2100000,1840000,9257.52748,2645,11902.52748,476101.0992,3.66188702,1680000,8452.52509,2415,10867.52509,434701.0036,9.329069015,1975000,1580000,7949.398597,2271.25,10220.6486,408825.9439,12.84892456
185,Pine Grove,288800,189900,231040,1162.423451,332.12,1494.543451,59781.73802,53.31958224,151920,764.3497689,218.385,982.7347689,39309.39076,62.17788958,237000,189600,953.9278316,272.55,1226.477832,49059.11327,60.75136073
186,Pinole,608000,525000,486400,2447.207264,699.2,3146.407264,125856.2906,16.0245258,420000,2113.131273,603.75,2716.881273,108675.2509,18.06709903,525000,420000,2113.131273,603.75,2716.881273,108675.2509,17.66646534
187,Pioneer,254500,230000,203600,1024.365541,292.675,1317.040541,52681.62163,46.47140235,184000,925.752748,264.5,1190.252748,47610.10992,57.45323737,205000,164000,825.1274493,235.75,1060.877449,42435.09797,57.93428556
188,Pittsburg,447000,430000,357600,1799.180341,514.05,2313.230341,92529.21363,31.24956002,344000,1730.755138,494.5,2225.255138,89010.2055,29.87134086,419000,335200,1686.480006,481.85,2168.330006,86733.20025,29.79760465
189,Placerville,4.00E+05,382000,320000,1610.004779,460,2070.004779,82800.19117,26.15501003,305600,1537.554564,439.3,1976.854564,79074.18256,25.14063363,356500,285200,1434.916759,409.975,1844.891759,73795.67038,43.54447337
190,Planada,149500,168000,119600,601.7392862,171.925,773.6642862,30946.57145,61.45470295,134400,676.2020072,193.2,869.4020072,34776.08029,64.83488036,109000,87200,438.7263023,125.35,564.0763023,22563.05209,83.678382
191,Pleasant Hill,822500,790000,658000,3310.572327,945.875,4256.447327,170257.8931,13.28508429,632000,3179.759439,908.5,4088.259439,163530.3776,12.17979227,772500,618000,3109.32173,888.375,3997.69673,159907.8692,12.10113244
192,Pleasanton,1247500,1160000,998000,5021.202405,1434.625,6455.827405,258233.0962,16.62454549,928000,4669.01386,1334,6003.01386,240120.5544,15.05523938,1075000,860000,4326.887844,1236.25,5563.137844,222525.5138,16.27458422
193,Point Arena,1245000,701000,996000,5011.139875,1431.75,6442.889875,257715.595,0.325628896,560800,2821.533375,806.15,3627.683375,145107.335,2.613422798,681250,545000,2742.039389,783.4375,3525.476889,141019.0756,2.720800561
194,Pollock Pines,307950,299000,246360,1239.502429,354.1425,1593.644929,63745.79717,50.38061492,239200,1203.478572,343.85,1547.328572,61893.1429,47.02780931,303500,242800,1221.591126,349.025,1570.616126,62824.64505,46.70569049
195,Pomona,417500,4.00E+05,334000,1680.442488,480.125,2160.567488,86422.69953,26.02917686,320000,1610.004779,460,2070.004779,82800.19117,24.10795588,370000,296000,1489.254421,425.5,1914.754421,76590.17683,24.59616125
196,Quartz Hill,360000,355000,288000,1449.004301,414,1863.004301,74520.17205,52.83765446,284000,1428.879241,408.25,1837.129241,73485.16966,52.63155069,265000,212000,1066.628166,304.75,1371.378166,54855.12665,55.95834817
197,Rancho Palos Verdes,1350000,1275000,1080000,5433.76613,1552.5,6986.26613,279450.6452,13.6442777,1020000,5131.890234,1466.25,6598.140234,263925.6093,12.40869112,1285000,1028000,5172.140353,1477.75,6649.890353,265995.6141,12.10150946
198,Redondo Beach,1250000,1230000,1.00E+06,5031.264935,1437.5,6468.764935,258750.5974,9.872329906,984000,4950.764696,1414.5,6365.264696,254610.5878,8.474490924,1200000,960000,4830.014337,1380,6210.014337,248400.5735,8.495055423
199,Redwood Valley,425000,471000,340000,1710.630078,488.75,2199.380078,87975.20311,32.67345973,376800,1895.780627,541.65,2437.430627,97497.2251,27.9047933,425000,340000,1710.630078,488.75,2199.380078,87975.20311,29.29563344
200,Reedley,211000,235000,168800,849.277521,242.65,1091.927521,43677.10084,61.99293512,188000,945.8778077,270.25,1216.127808,48645.11231,61.21941151,216000,172800,869.4025807,248.4,1117.802581,44712.10323,61.28767021
201,Richmond,526500,490000,421200,2119.168791,605.475,2724.643791,108985.7516,12.00951293,392000,1972.255854,563.5,2535.755854,101430.2342,12.25989069,394502.5,315602,1587.877276,453.677875,2041.555151,81662.20604,28.07227589
202,Riverdale,177745,257500,142196,715.4257487,204.40675,919.8324987,36793.29995,68.66073258,206000,1036.440577,296.125,1332.565577,53302.62306,43.21159022,159300,127440,641.1844033,183.195,824.3794033,32975.17613,80.02088904
203,Rodeo,483500,465000,386800,1946.093277,556.025,2502.118277,100084.7311,17.69163418,372000,1871.630556,534.75,2406.380556,96255.22223,33.95842918,460000,368000,1851.505496,529,2380.505496,95220.21984,33.59074778
212,Rolling Hills Estates,1848000,1399000,1478400,7438.22208,2125.2,9563.42208,382536.8832,10.27745621,1119200,5630.991715,1608.85,7239.841715,289593.6686,14.72442076,1486000,1188800,5981.167754,1708.9,7690.067754,307602.7102,13.33914343
213,Rosemead,634000,604400,507200,2551.857575,729.1,3280.957575,131238.303,5.389586362,483520,2432.717221,695.06,3127.777221,125111.0889,4.962292318,570000,456000,2294.25681,655.5,2949.75681,117990.2724,5.638458302
214,Ross,4205000,2212000,3364000,16925.17524,4835.75,21760.92524,870437.0096,0,1769600,8903.326429,2543.8,11447.12643,457885.0571,5.608487113,3455000,2764000,13906.41628,3973.25,17879.66628,715186.6512,0
215,Rowland Heights,620000,651500,496000,2495.507408,713,3208.507408,128340.2963,11.60614523,521200,2622.295284,749.225,3371.520284,134860.8114,10.80015673,640000,512000,2576.007647,736,3312.007647,132480.3059,10.84506439
216,San Andreas,230950,245000,184760,929.5765094,265.5925,1195.169009,47806.76037,62.04008409,196000,986.1279272,281.75,1267.877927,50715.11709,47.88045665,207500,166000,835.1899792,238.625,1073.814979,42952.59917,67.00725398
217,San Anselmo,1455000,1368000,1164000,5856.392384,1673.25,7529.642384,301185.6954,11.98891722,1094400,5506.216345,1573.2,7079.416345,283176.6538,11.23986078,1227500,982000,4940.702166,1411.625,6352.327166,254093.0866,12.42034334
218,San Dimas,641500,672000,513200,2582.045165,737.725,3319.770165,132790.8066,14.77320516,537600,2704.808029,772.8,3477.608029,139104.3212,12.75987669,649500,519600,2614.24526,746.925,3361.17026,134446.8104,13.15872887
219,San Fernando,455000,467000,364000,1831.380436,523.25,2354.630436,94185.21745,24.89002295,373600,1879.68058,537.05,2416.73058,96669.22319,22.56130724,425000,340000,1710.630078,488.75,2199.380078,87975.20311,23.32464602
220,San Francisco,1610000,1501504,1288000,6480.269236,1851.5,8331.769236,333270.7694,8.534400107,1201203.2,6043.57154,1726.7296,7770.30114,310812.0456,7.439185254,1300000,1040000,5232.515532,1495,6727.515532,269100.6213,8.771362393
221,San Gabriel,865000,793500,692000,3481.635335,994.75,4476.385335,179055.4134,5.520380221,634800,3193.846981,912.525,4106.371981,164254.8792,7.325534084,797500,638000,3209.947028,917.125,4127.072028,165082.8811,7.029463557
222,San Joaquin,182000,170000,145600,732.5521745,209.3,941.8521745,37674.08698,39.24532486,136000,684.2520311,195.5,879.7520311,35190.08125,40.973302,125000,1.00E+05,503.1264935,143.75,646.8764935,25875.05974,61.1955001
223,San Leandro,680000,659500,544000,2737.008125,782,3519.008125,140760.325,10.32870725,527600,2654.49538,758.425,3412.92038,136516.8152,10.15303711,581500,465200,2340.544448,668.725,3009.269448,120370.7779,12.22660324
224,San Lorenzo,660000,620000,528000,2656.507886,759,3415.507886,136620.3154,12.04770805,496000,2495.507408,713,3208.507408,128340.2963,12.33131896,550000,440000,2213.756571,632.5,2846.256571,113850.2629,15.26061347
225,San Marino,2400000,1940000,1920000,9660.028675,2760,12420.02867,496801.147,0.288678325,1552000,7808.523179,2231,10039.52318,401580.9272,7.672012235,2540000,2032000,10223.53035,2921,13144.53035,525781.2139,0
226,San Miguel,370000,395000,296000,1489.254421,425.5,1914.754421,76590.17683,66.22758903,316000,1589.879719,454.25,2044.129719,81765.18878,59.79518447,344500,275600,1386.616616,396.175,1782.791616,71311.66464,74.2200905
227,San Pablo,425000,434500,340000,1710.630078,488.75,2199.380078,87975.20311,21.18215048,347600,1748.867691,499.675,2248.542691,89941.70765,18.92150965,375000,3.00E+05,1509.37948,431.25,1940.62948,77625.17922,19.96955621
228,San Rafael,1079000,1155000,863200,4342.987892,1240.85,5583.837892,223353.5157,12.74005854,924000,4648.8888,1328.25,5977.1388,239085.552,10.34353894,1.00E+06,8.00E+05,4025.011948,1150,5175.011948,207000.4779,12.04658922
229,San Ramon,1129000,1107500,903200,4544.238489,1298.35,5842.588489,233703.5396,19.49044948,886000,4457.700732,1273.625,5731.325732,229253.0293,16.72234479,1095100,876080,4407.790584,1259.365,5667.155584,226686.2234,16.57732281
230,Sanger,240000,260000,192000,966.0028675,276,1242.002867,49680.1147,59.0324896,208000,1046.503106,299,1345.503106,53820.12426,39.30949546,228444,182755.2,919.4898294,262.7106,1182.200429,47288.01718,54.01031263
231,Santa Clarita,581250,499999,465000,2339.538195,668.4375,3007.975695,120319.0278,20.7531182,399999.2,2012.501949,574.99885,2587.500799,103500.032,22.59754668,410000,328000,1650.254899,471.5,2121.754899,84870.19594,41.89085929
232,Santa Fe Springs,462500,515000,370000,1861.568026,531.875,2393.443026,95737.72104,26.89369367,412000,2072.881153,592.25,2665.131153,106605.2461,9.552396743,460000,368000,1851.505496,529,2380.505496,95220.21984,25.23715061
233,Santa Monica,1605000,2335000,1284000,6460.144176,1845.75,8305.894176,332235.7671,6.065109408,1868000,9398.402898,2685.25,12083.6529,483346.1159,0.512563314,1750000,1400000,7043.770909,2012.5,9056.270909,362250.8363,4.138598829
234,Sausalito,1685000,1757000,1348000,6782.145132,1937.75,8719.895132,348795.8053,11.10508201,1405600,7071.945992,2020.55,9092.495992,363699.8397,7.679905052,1725000,1380000,6943.14561,1983.75,8926.89561,357075.8244,7.841256001
235,Selma,227500,215500,182000,915.6902181,261.625,1177.315218,47092.60873,60.00196987,172400,867.3900748,247.825,1115.215075,44608.60299,55.31716827,175000,140000,704.3770909,201.25,905.6270909,36225.08363,55.74511683
236,Shaver Lake,458500,464750,366800,1845.467978,527.275,2372.742978,94909.71912,41.78280427,371800,1870.624303,534.4625,2405.086803,96203.47211,37.81441786,405000,324000,1630.129839,465.75,2095.879839,83835.19356,40.67686987
237,Shingle Springs,543000,550000,434400,2185.581488,624.45,2810.031488,112401.2595,23.22034546,440000,2213.756571,632.5,2846.256571,113850.2629,20.46543156,499000,399200,2008.480962,573.85,2582.330962,103293.2385,22.52036051
238,Sierra Madre,979500,862500,783600,3942.499203,1126.425,5068.924203,202756.9681,16.86277096,690000,3471.572805,991.875,4463.447805,178537.9122,14.87797255,1145000,916000,4608.63868,1316.75,5925.38868,237015.5472,9.668398812
239,Signal Hill,717500,7.00E+05,574000,2887.946073,825.125,3713.071073,148522.8429,10.00856669,560000,2817.508363,805,3622.508363,144900.3345,10.62040635,857500,686000,3451.447745,986.125,4437.572745,177502.9098,7.434088009
240,Smith River,221000,565000,176800,889.5276405,254.15,1143.67764,45747.10562,53.72436171,452000,2274.131751,649.75,2923.881751,116955.27,4.677256535,86000,68800,346.1510275,98.9,445.0510275,17802.0411,87.34092428
241,Snelling,110000,174000,88000,442.7513143,126.5,569.2513143,22770.05257,80.41808513,139200,700.3520789,200.1,900.4520789,36018.08316,61.29115458,462500,370000,1861.568026,531.875,2393.443026,95737.72104,21.74036982
242,South El Monte,502000,464500,401600,2020.555998,577.3,2597.855998,103914.2399,6.840447903,371600,1869.61805,534.175,2403.79305,96151.72199,19.52486685,424000,339200,1706.605066,487.6,2194.205066,87768.20264,20.18700655
243,South Gate,460000,415000,368000,1851.505496,529,2380.505496,95220.21984,19.93437441,332000,1670.379958,477.25,2147.629958,85905.19833,18.82679117,377500,302000,1519.44201,434.125,1953.56701,78142.68041,19.29928699
