"","RegionSalesCar","2018 Q1","2017 Q4","Quarter_Rev","2017 Q1","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",538640,550990,"",497980,440792,2147.83746810291,633.6385,2781.47596810291,111259.038724117,0.28896568679369,0.28896568679369
"2","CA Condo/Townhomes",449720,446800,"R",413720,357440,1741.69001388116,513.82,2255.51001388116,90220.4005552465,0.376869468292656,0.374056508663745
"3","Los Angeles Metropolitan Area",5e+05,496250,"",459000,397000,1934.45315440584,570.6875,2505.14065440584,100205.626176233,0.307435915256127,0.307435915256127
"4","Inland Empire",350000,340000,"",325000,272000,1325.36840805639,391,1716.36840805639,68654.7363222557,0.427214338889601,0.427214338889601
"5","S.F. Bay Area",9e+05,895000,"",780330,716000,3488.83742708962,1029.25,4518.08742708962,180723.497083585,0.214146340393612,0.214146340393612
"6","United States",245500,247800,"",232100,198240,965.959680930511,284.97,1250.92968093051,50037.1872372204,0.55697785567206,0.55697785567206
"7","Alameda",875000,867250,"",798000,693800,3380.66397613796,997.3375,4378.00147613796,175120.059045518,0.197320218135646,0.197320218135646
"8","Contra-Costa",615000,612000,"",562500,489600,2385.6631345015,703.8,3089.4631345015,123578.52538006,0.342738975410312,0.342738975410312
"9","Marin",1360000,1250000,"",1200000,1e+06,4872.67797079556,1437.5,6310.17797079556,252407.118831822,0.178651465992733,0.178651465992733
"10","Napa",679000,675000,"",668000,540000,2631.2461042296,776.25,3407.4961042296,136299.844169184,0.25242248432307,0.25242248432307
"11","San Francisco",1610000,1501504,"",1300000,1201203.2,5853.07637108913,1726.7296,7579.80597108913,303192.238843565,0.120847397727395,0.120847397727395
"12","San Mateo",1575049.5,1500000,"",1300000,1200000,5847.21356495467,1725,7572.21356495467,302888.542598187,0.144571148339689,0.144571148339689
"13","Santa Clara",1373000,1270000,"",1070000,1016000,4950.64081832828,1460.5,6411.14081832828,256445.632733131,0.150212926109953,0.150212926109953
"14","Solano",430000,415000,"",390750,332000,1617.72908630412,477.25,2094.97908630412,83799.163452165,0.437339691840211,0.437339691840211
"15","Sonoma",681000,655000,"",605000,524000,2553.28325669687,753.25,3306.53325669687,132261.330267875,0.234430516601121,0.234430516601121
"16","Los Angeles",545540,553330,"",485820,442664,2156.95912126424,636.3295,2793.28862126424,111731.54485057,0.252899107031857,0.252899107031857
"17","Orange County",810000,785000,"",750000,628000,3060.04176565961,902.75,3962.79176565961,158511.670626384,0.210142020833522,0.210142020833522
"18","Riverside County",397000,385000,"",365000,308000,1500.78481500503,442.75,1943.53481500503,77741.3926002012,0.384011521788473,0.384011521788473
"19","San Bernardino",278500,276250,"",255000,221000,1076.86183154582,317.6875,1394.54933154582,55781.9732618327,0.502831476107204,0.502831476107204
"20","San Diego",610000,610000,"",564000,488000,2377.86684974823,701.5,3079.36684974823,123174.673989929,0.256147523196452,0.256147523196452
"21","Ventura",635500,640000,"",6e+05,512000,2494.81112104732,736,3230.81112104732,129232.444841893,0.264858675290569,0.264858675290569
"22","Monterey",590000,599950,"",560000,479960,2338.69051886303,689.9425,3028.63301886303,121145.320754521,0.21190470295582,0.21190470295582
"23","San Luis Obispo",596400,594325,"",550000,475460,2316.76346799445,683.47375,3000.23721799446,120009.488719778,0.240046130265402,0.240046130265402
"24","Santa Barbara",675000,710000,"",779000,568000,2767.68108741188,816.5,3584.18108741188,143367.243496475,0.175875163124901,0.175875163124901
"25","Santa Cruz",850000,855000,"",805000,684000,3332.91173202416,983.25,4316.16173202416,172646.469280966,0.167563851756093,0.167563851756093
"26","Fresno",258000,255000,"",238000,204000,994.026306042293,293.25,1287.27630604229,51491.0522416917,0.46208186388678,0.455579387155132
"27","Kern (Bakersfield)",231500,233250,"",219000,186600,909.24170935045,268.2375,1177.47920935045,47099.168374018,0.537208332742817,0.537208332742817
"28","Kings County",232000,225000,"",215000,180000,877.0820347432,258.75,1135.8320347432,45433.281389728,0.517064461618238,0.517064461618238
"29","Madera",255000,235000,"R",238000,188000,916.063458509564,270.25,1186.31345850956,47452.5383403826,0.488941630172662,0.469971134520778
"30","Merced",262500,250000,"",228500,2e+05,974.535594159111,287.5,1262.03559415911,50481.4237663644,0.47608157906126,0.47608157906126
"31","Placer County",465000,453750,"",435000,363000,1768.78210339879,521.8125,2290.59460339879,91623.7841359515,0.439443746717148,0.439443746717148
"32","Sacramento",355000,349900,"",319720,279920,1363.96001758509,402.385,1766.34501758509,70653.8007034037,0.431208808312438,0.431208808312438
"33","San Benito",560000,552000,"",525000,441600,2151.77459190332,634.8,2786.57459190332,111462.983676133,0.310120975997077,0.310120975997077
"34","San Joaquin",362500,349950,"",315000,279960,1364.15492470392,402.4425,1766.59742470392,70663.896988157,0.409994574053026,0.409994574053026
"35","Stanislaus",3e+05,298250,"",275000,238600,1162.62096383182,342.9875,1505.60846383182,60224.3385532728,0.453668253182355,0.453668253182355
"36","Tulare",225000,220000,"",212000,176000,857.591322860018,253,1110.59132286002,44423.6529144007,0.521071835866639,0.521071835866639
"37","Amador",330750,325000,"",295000,260000,1266.89627240684,373.75,1640.64627240684,65625.8508962738,0.437952898020574,0.437952898020574
"38","Butte County",307000,308500,"",282000,246800,1202.57692319234,354.775,1557.35192319234,62294.0769276937,0.387595581162165,0.387595581162165
"39","Calaveras",315000,301500,"",286629,241200,1175.28992655589,346.725,1522.01492655589,60880.5970622355,0.497451011129956,0.497451011129956
"40","El Dorado County",489000,455000,"",429000,364000,1773.65478136958,523.25,2296.90478136958,91876.1912547833,0.422526687818295,0.422526687818295
"41","Humboldt",300050,310500,"",295000,248400,1210.37320794562,357.075,1567.44820794562,62697.9283178247,0.343737111014792,0.343737111014792
"42","Lake County",266450,265000,"",217000,212000,1033.00772980866,304.75,1337.75772980866,53510.3091923463,0.358767382385308,0.358767382385308
"43","Lassen",171000,180000,"",177000,144000,701.66562779456,207,908.66562779456,36346.6251117824,0.651282669876009,0.651282669876009
"44","Mariposa",292500,291750,"",302000,233400,1137.28303838368,335.5125,1472.79553838368,58911.8215353473,0.482929976559406,0.482929976559406
