"","X1","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"1",NA,"ACTON","2018-Q1",610000,"2018-01-01",2455.25728818564,488000,701.5,3156.75728818564,126270.291527426,0.373925616505592
"2",NA,"ADELANTO","2018-Q1",215000,"2018-01-01",865.377568786742,172000,247.25,1112.62756878674,44505.1027514697,0.403193347546973
"3",NA,"AGOURA HILLS","2018-Q1",782500,"2018-01-01",3149.57184918896,626000,899.875,4049.44684918896,161977.873967558,0.401231750922984
"4",NA,"ALAMEDA","2018-Q1",854995,"2018-01-01",3441.365090348,683996,983.24425,4424.609340348,176984.37361392,0.249524834360173
"5",NA,"ALAMO","2018-Q1",1695000,"2018-01-01",6822.3952515978,1356000,1949.25,8771.64525159781,350865.810063912,0.329709556843412
"6",NA,"ALHAMBRA","2018-Q1",638000,"2018-01-01",2567.95762272531,510400,733.7,3301.65762272531,132066.304909012,0.174186651448967
"7",NA,"ALISO VIEJO","2018-Q1",594900,"2018-01-01",2394.47960777318,475920,684.135,3078.61460777318,123144.584310927,0.450486952380711
"8",NA,"ALPINE","2018-Q1",604500,"2018-01-01",2433.11972247249,483600,695.175,3128.29472247249,125131.7888989,2.45796543106425
"9",NA,"ALTADENA","2018-Q1",860000,"2018-01-01",3461.51027514697,688000,989,4450.51027514697,178020.411005879,0.256307082554653
"10",NA,"AMERICAN CANYON","2018-Q1",515000,"2018-01-01",2072.88115314034,412000,592.25,2665.13115314034,106605.246125613,0.403302116412024
"11",NA,"ANAHEIM","2018-Q1",547000,"2018-01-01",2201.68153547139,437600,629.05,2830.73153547139,113229.261418855,0.275825328076959
"12",NA,"ANDERSON","2018-Q1",227950,"2018-01-01",917.501473511339,182360,262.1425,1179.64397351134,47185.7589404536,0.378072288962242
"13",NA,"ANTELOPE","2018-Q1",330000,"2018-01-01",1328.25394278895,264000,379.5,1707.75394278895,68310.1577115581,0.523705042667772
"14",NA,"ANTIOCH","2018-Q1",420000,"2018-01-01",1690.50501809503,336000,483,2173.50501809503,86940.2007238012,0.420850180053731
"15",NA,"APPLE VALLEY","2018-Q1",255250,"2018-01-01",1027.38429968752,204200,293.5375,1320.92179968752,52836.8719875006,0.490265327502268
"16",NA,"APTOS","2018-Q1",840000,"2018-01-01",3381.01003619006,672000,966,4347.01003619006,173880.401447602,0.214254536832059
"17",NA,"ARCADIA","2018-Q1",972750,"2018-01-01",3915.33037226653,778200,1118.6625,5033.99287226653,201359.714890661,0.18023053137397
"18",NA,"ARCATA","2018-Q1",301000,"2018-01-01",1211.52859630144,240800,346.15,1557.67859630144,62307.1438520576,0.280871076461041
"19",NA,"ARNOLD","2018-Q1",292060,"2018-01-01",1175.5449894877,233648,335.869,1511.4139894877,60456.5595795081,0.471402834854944
"20",NA,"ARROYO GRANDE","2018-Q1",7e+05,"2018-01-01",2817.50836349172,560000,805,3622.50836349172,144900.334539669,0.203111187441849
"21",NA,"ATASCADERO","2018-Q1",522500,"2018-01-01",2103.06874274918,418000,600.875,2703.94374274918,108157.749709967,0.30348980006762
"22",NA,"ATWATER","2018-Q1",245000,"2018-01-01",986.127927222102,196000,281.75,1267.8779272221,50715.1170888841,0.447991519954359
"23",NA,"AUBURN","2018-Q1",464000,"2018-01-01",1867.60554380022,371200,533.6,2401.20554380022,96048.221752009,0.301057478728147
"24",NA,"AZUSA","2018-Q1",432000,"2018-01-01",1738.80516146918,345600,496.8,2235.60516146918,89424.206458767,0.358649757870101
"25",NA,"BAKERSFIELD","2018-Q1",226300,"2018-01-01",910.860203797394,181040,260.245,1171.10520379739,46844.2081518958,0.618920445054824
"26",NA,"BALDWIN PARK","2018-Q1",461000,"2018-01-01",1855.53050795669,368800,530.15,2385.68050795669,95427.2203182676,0.246862285665427
"27",NA,"BANNING","2018-Q1",250000,"2018-01-01",1006.25298696133,2e+05,287.5,1293.75298696133,51750.1194784531,0.449727116297597
"28",NA,"BARSTOW","2018-Q1",129150,"2018-01-01",519.830293064222,103320,148.5225,668.352793064222,26734.1117225689,0.631803778628955
"29",NA,"BAY POINT","2018-Q1",410000,"2018-01-01",1650.25489861658,328000,471.5,2121.75489861658,84870.1959446631,0.308374750254286
"30",NA,"BEAUMONT","2018-Q1",318250,"2018-01-01",1280.96005240177,254600,365.9875,1646.94755240177,65877.9020960708,0.549752556903941
"31",NA,"BELMONT","2018-Q1",1775000,"2018-01-01",7144.39620742543,1420000,2041.25,9185.64620742543,367425.848297017,0.176607839152045
"32",NA,"BENICIA","2018-Q1",575000,"2018-01-01",2314.38187001105,460000,661.25,2975.63187001105,119025.274800442,0.406496653585236
"33",NA,"BERKELEY","2018-Q1",1150000,"2018-01-01",4628.76374002211,920000,1322.5,5951.26374002211,238050.549600884,0.139929136491936
"34",NA,"BERMUDA DUNES","2018-Q1",369000,"2018-01-01",1485.22940875492,295200,424.35,1909.57940875492,76383.1763501968,0.436992062432166
"35",NA,"BLOOMINGTON","2018-Q1",304000,"2018-01-01",1223.60363214497,243200,349.6,1573.20363214497,62928.145285799,0.426649690136749
"36",NA,"BONITA","2018-Q1",699500,"2018-01-01",2815.4958575178,559600,804.425,3619.9208575178,144796.834300712,0.28350456027388
"37",NA,"BOULDER CREEK","2018-Q1",605000,"2018-01-01",2435.13222844641,484000,695.75,3130.88222844641,125235.289137857,0.26633710066693
"38",NA,"BREA","2018-Q1",675000,"2018-01-01",2716.88306479559,540000,776.25,3493.13306479559,139725.322591823,0.296237789041646
"39",NA,"BRENTWOOD","2018-Q1",610000,"2018-01-01",2455.25728818564,488000,701.5,3156.75728818564,126270.291527426,0.404135728556701
"40",NA,"BUENA PARK","2018-Q1",570000,"2018-01-01",2294.25681027183,456000,655.5,2949.75681027183,117990.272410873,0.254549454034111
"41",NA,"BURBANK","2018-Q1",758000,"2018-01-01",3050.95905646675,606400,871.7,3922.65905646675,156906.36225867,0.357913121611118
"42",NA,"BURLINGAME","2018-Q1",2204000,"2018-01-01",8871.12633305107,1763200,2534.6,11405.7263330511,456229.053322043,0.135496734915415
"43",NA,"CALABASAS","2018-Q1",1118750,"2018-01-01",4502.98211665194,895000,1286.5625,5789.54461665194,231581.784666078,0.272311150867552
"44",NA,"CALIFORNIA CITY","2018-Q1",159900,"2018-01-01",643.599410460465,127920,183.885,827.484410460465,33099.3764184186,0.669073240833813
"45",NA,"CAMARILLO","2018-Q1",579000,"2018-01-01",2330.48191780244,463200,665.85,2996.33191780244,119853.276712097,0.405285036511799
"46",NA,"CAMBRIA","2018-Q1",587000,"2018-01-01",2362.6820133852,469600,675.05,3037.7320133852,121509.280535408,0.246071618840742
"47",NA,"CAMERON PARK","2018-Q1",472500,"2018-01-01",1901.81814535691,378000,543.375,2445.19314535691,97807.7258142764,0.449519105852498
"48",NA,"CAMPBELL","2018-Q1",1400000,"2018-01-01",5635.01672698344,1120000,1610,7245.01672698344,289800.669079338,0.134420422106829
"49",NA,"CANYON LAKE","2018-Q1",419000,"2018-01-01",1686.48000614719,335200,481.85,2168.33000614719,86733.2002458874,0.457445712251188
"50",NA,"CARLSBAD","2018-Q1",825500,"2018-01-01",3322.64736294631,660400,949.325,4271.97236294631,170878.894517852,0.278040726562879
"51",NA,"CARMICHAEL","2018-Q1",387000,"2018-01-01",1557.67962381614,309600,445.05,2002.72962381614,80109.1849526454,0.416654838768453
"52",NA,"CARSON","2018-Q1",487500,"2018-01-01",1962.19332457459,390000,560.625,2522.81832457459,100912.732982984,0.383963998318916
"53",NA,"CASTRO VALLEY","2018-Q1",797500,"2018-01-01",3209.94702840664,638000,917.125,4127.07202840664,165082.881136265,0.272252482485897
"54",NA,"CATHEDRAL CITY","2018-Q1",281000,"2018-01-01",1131.02835734453,224800,323.15,1454.17835734453,58167.1342937813,0.414988033695924
"55",NA,"CERES","2018-Q1",285050,"2018-01-01",1147.32965573331,228040,327.8075,1475.13715573331,59005.4862293323,0.496029383578667
"56",NA,"CHICO","2018-Q1",337250,"2018-01-01",1357.43527941083,269800,387.8375,1745.27277941083,69810.9111764333,0.372418307301756
"57",NA,"CHINO","2018-Q1",483500,"2018-01-01",1946.09327678321,386800,556.025,2502.11827678321,100084.731071328,0.373876591384924
"58",NA,"CHINO HILLS","2018-Q1",691000,"2018-01-01",2781.28325596111,552800,794.65,3575.93325596111,143037.330238444,0.31710923857203
