"","RegionSalesCar","2018 Q1","2017 Q4","Quarter_Rev","2017 Q1","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",538640,468341.5,"",497980,421507.35,1850.65927133039,538.592725,2389.25199633039,71677.5598899117,0.470671959457,0.470671959457
"2","CA Condo/Townhomes",449720,379780,"R",413720,341802,1500.7070226872,436.747,1937.4540226872,58123.6206806159,0.557120810852534,0.554698019355509
"3","Los Angeles Metropolitan Area",5e+05,421812.5,"",459000,379631.25,1666.79914952668,485.084375,2151.88352452668,64556.5057358004,0.497536222256002,0.497536222256002
"4","Inland Empire",350000,289000,"",325000,260100,1141.98833418453,332.35,1474.33833418453,44230.1500255358,0.611660008961495,0.611660008961495
"5","S.F. Bay Area",9e+05,760750,"",780330,684675,3006.11635027986,874.8625,3880.97885027986,116429.365508396,0.392068939226756,0.392068939226756
"6","United States",245500,210630,"",232100,189567,832.307968267429,242.2245,1074.53246826743,32235.9740480229,0.714808067149761,0.714808067149761
"7","Alameda",875000,737162.5,"",798000,663446.25,2912.90994947509,847.736875,3760.64682447509,112819.404734253,0.37578698857985,0.37578698857985
"8","Contra-Costa",615000,520200,"",562500,468180,2055.57900153215,598.23,2653.80900153215,79614.2700459644,0.53641985105299,0.53641985105299
"9","Marin",1360000,1062500,"",1200000,956250,4198.48652273723,1221.875,5420.36152273723,162610.845682117,0.314888748294812,0.314888748294812
"10","Napa",679000,573750,"",668000,516375,2267.1827222781,659.8125,2926.9952222781,87809.8566683431,0.45674751449095,0.45674751449095
"11","San Francisco",1610000,1276278.4,"",1300000,1148650.56,5043.23544626883,1467.72016,6510.95560626883,195328.668188065,0.204379818020148,0.204379818020148
"12","San Mateo",1575049.5,1275000,"",1300000,1147500,5038.18382728468,1466.25,6504.43382728468,195133.01481854,0.235445679832747,0.235445679832747
"13","Santa Clara",1373000,1079500,"",1070000,971550,4265.66230710103,1241.425,5507.08730710103,165212.619213031,0.298000768630543,0.298000768630543
"14","Solano",430000,352750,"",390750,317475,1393.89752554876,405.6625,1799.56002554876,53986.8007664628,0.63036285630789,0.63036285630789
"15","Sonoma",681000,556750,"",605000,501075,2200.00693791431,640.2625,2840.26943791431,85208.0831374292,0.43458234315655,0.43458234315655
"16","Los Angeles",545540,470330.5,"",485820,423297.45,1858.51883810095,540.880075,2399.39891310095,71981.9673930286,0.427410812393927,0.427410812393927
"17","Orange County",810000,667250,"",750000,600525,2636.64953627898,767.3375,3403.98703627898,102119.611088369,0.397397985264095,0.397397985264095
"18","Riverside County",397000,327250,"",365000,294525,1293.13384900307,376.3375,1669.47134900307,50084.140470092,0.572940056526962,0.572940056526962
"19","San Bernardino",278500,234812.5,"",255000,211331.25,927.865521524928,270.034375,1197.89989652493,35936.9968957478,0.671503477758962,0.671503477758962
"20","San Diego",610000,518500,"",564000,466650,2048.86142309577,596.275,2645.13642309577,79354.092692873,0.450208691126033,0.450208691126033
"21","Ventura",635500,544000,"",6e+05,489600,2149.62509964146,625.6,2775.22509964146,83256.7529892438,0.479657083608327,0.479657083608327
"22","Monterey",590000,509957.5,"",560000,458961.75,2015.10559145296,586.451125,2601.55671645296,78046.7014935888,0.39998459095966,0.39998459095966
"23","San Luis Obispo",596400,505176.25,"",550000,454658.625,1996.21240210064,580.9526875,2577.16508960064,77314.9526880193,0.436332258030924,0.436332258030924
"24","Santa Barbara",675000,603500,"",779000,543150,2384.74034491475,694.025,3078.76534491475,92362.9603474424,0.354307864303198,0.354307864303198
"25","Santa Cruz",850000,726750,"",805000,654075,2871.76478155227,835.7625,3707.52728155226,111225.818446568,0.330806659392017,0.330806659392017
"26","Fresno",258000,216750,"",238000,195075,856.491250638395,249.2625,1105.75375063839,33172.6125191518,0.633320173678753,0.625732308216573
"27","Kern (Bakersfield)",231500,198262.5,"",219000,178436.25,783.437585142767,228.001875,1011.43946014277,30343.183804283,0.698859421810149,0.698859421810149
"28","Kings County",232000,191250,"",215000,172125,755.727574092701,219.9375,975.665074092701,29269.952222781,0.69445926231033,0.69445926231033
"29","Madera",255000,199750,"R",238000,179775,789.315466274599,229.7125,1019.0279662746,30570.838988238,0.672527294901112,0.658628527794438
"30","Merced",262500,212500,"",228500,191250,839.697304547446,244.375,1084.07230454745,32522.1691364234,0.666460335459079,0.666460335459079
"31","Placer County",465000,385687.5,"",435000,347118.75,1524.05060775361,443.540625,1967.59123275361,59027.7369826084,0.625406766982988,0.625406766982988
"32","Sacramento",355000,297415,"",319720,267673.5,1175.24034744461,342.02725,1517.26759744461,45518.0279233382,0.613230933223022,0.613230933223022
"33","San Benito",560000,469200,"",525000,422280,1854.05164844076,539.58,2393.63164844076,71808.9494532228,0.521998077843088,0.521998077843088
"34","San Joaquin",362500,297457.5,"",315000,267711.75,1175.40828690551,342.076125,1517.48441190551,45524.5323571654,0.592555532937874,0.592555532937874
"35","Stanislaus",3e+05,253512.5,"",275000,228161.25,1001.7588843251,291.539375,1293.2982593251,38798.9477797531,0.636377587282858,0.636377587282858
"36","Tulare",225000,187000,"",212000,168300,738.933628001752,215.05,953.983628001752,28619.5088400526,0.690503515189403,0.690503515189403
"37","Amador",330750,276250,"",295000,248625,1091.60649591168,317.6875,1409.29399591168,42278.8198773504,0.610071767731454,0.610071767731454
"38","Butte County",307000,262225,"",282000,236002.5,1036.18647381155,301.55875,1337.74522381155,40132.3567143464,0.556692025263811,0.556692025263811
"39","Calaveras",315000,256275,"",286629,230647.5,1012.67494928422,294.71625,1307.39119928422,39221.7359785266,0.669976294143333,0.669976294143333
"40","El Dorado County",489000,386750,"",429000,348075,1528.24909427635,444.7625,1973.01159427635,59190.3478282906,0.599076416654973,0.599076416654973
"41","Humboldt",300050,263925,"",295000,237532.5,1042.90405224793,303.51375,1346.41780224793,40392.5340674378,0.532720997699267,0.532720997699267
"42","Lake County",266450,225250,"",217000,202725,890.079142820293,259.0375,1149.11664282029,34473.4992846088,0.520686720942355,0.520686720942355
"43","Lassen",171000,153000,"",177000,137700,604.582059274161,175.95,780.532059274161,23415.9617782248,0.790786192752469,0.790786192752469
"44","Mariposa",292500,247987.5,"",302000,223188.75,979.926754406869,285.185625,1265.11237940687,37953.3713822061,0.650173713381544,0.650173713381544
"45","Mendocino",412500,331075,"",4e+05,297967.5,1308.24840048492,380.73625,1688.98465048492,50669.5395145476,0.460806811319498,0.460806811319498
"46","Mono",780000,500225,"",612250,450202.5,1976.64745490469,575.25875,2551.90620490469,76557.1861471406,0.444313538506351,0.444313538506351
"47","Nevada",4e+05,335750,"",380000,302175,1326.72174118496,386.1125,1712.83424118496,51385.0272355489,0.582059874188673,0.582059874188673
"48","Plumas",271000,250750,"",305000,225675,990.842819365986,288.3625,1279.20531936599,38376.1595809796,0.618594938783389,0.618594938783389
"49","Shasta",249900,216750,"",235500,195075,856.491250638395,249.2625,1105.75375063839,33172.6125191518,0.653133931310653,0.653133931310653
"50","Siskiyou County",210000,168725,"",206500,151852.5,666.719659810672,194.03375,860.753409810672,25822.6022943202,0.666244865385082,0.666244865385082
"51","Sutter",282700,233750,"",258500,210375,923.66703500219,268.8125,1192.47953500219,35774.3860500657,0.704729682624913,0.704729682624913
"52","Tehama",219000,178500,"",206000,160650,705.345735819855,205.275,910.620735819855,27318.6220745956,0.727365354758788,0.727365354758788
"53","Tuolumne",280000,233750,"",279000,210375,923.66703500219,268.8125,1192.47953500219,35774.3860500657,0.654436360342214,0.654436360342214
"54","Yolo",4e+05,369707.5,"",385500,332736.75,1460.90537045165,425.163625,1886.06899545165,56582.0698635494,0.512034272582405,0.512034272582405
"55","Yuba",269950,231625,"",254900,208462.5,915.270061956716,266.36875,1181.63881195672,35449.1643587015,0.611885930346197,0.611885930346197
