"","RegionSalesCar","2018 Q1","2017 Q4","Quarter_Rev","2017 Q1","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",538640,550990,NA,423283,380954.7,1655.84883001027,486.77545,2142.62428001027,64278.7284003081,0.513198426709531,0.514324846154975,""
"2","CA Condo/Townhomes",449720,446800,NA,351662,316495.8,1375.67327593849,404.4113,1780.08457593849,53402.5372781547,0.58298673735154,0.581976272849009,""
"3","Los Angeles Metropolitan Area",5e+05,496250,NA,390150,351135,1526.23521622297,448.6725,1974.90771622297,59247.2314866891,0.528453221629108,0.525970531935899,""
"4","Inland Empire",350000,340000,NA,276250,248625,1080.66763675918,317.6875,1398.35513675918,41950.6541027755,0.628899316702759,0.627212163050263,""
"5","S.F. Bay Area",9e+05,895000,NA,663280.5,596952.45,2594.69962151475,762.772575,3357.47219651475,100724.165895442,0.448292368583217,0.448292368583217,""
"6","United States",245500,247800,"1",197285,177556.5,771.762949205558,226.87775,998.640699205558,29959.2209761667,0.73379588383483,0.73379588383483,""
"7","Alameda",875000,867250,NA,678300,610470,2653.45468964255,780.045,3433.49968964255,103004.990689276,0.407891267548797,0.407891267548797,""
"8","Contra-Costa",615000,612000,NA,478125,430312.5,1870.38629439089,549.84375,2420.23004439089,72606.9013317268,0.56756917635767,0.56756917635767,""
"9","Marin",1360000,1250000,NA,1020000,918000,3990.15742803391,1173,5163.15742803391,154894.722841017,0.324682555354731,0.324682555354731,""
"10","Napa",679000,675000,NA,567800,511020,2221.18763493888,652.97,2874.15763493888,86224.7290481663,0.457489261871046,0.457489261871046,""
"11","San Francisco",1610000,1501504,NA,1105000,994500,4322.67054703673,1270.75,5593.42054703673,167802.616411102,0.252490154091735,0.252490154091735,""
"12","San Mateo",1575049.5,1500000,NA,1105000,994500,4322.67054703673,1270.75,5593.42054703673,167802.616411102,0.287912616363164,0.287912616363164,""
"13","Santa Clara",1373000,1270000,NA,909500,818550,3557.89037333023,1045.925,4603.81537333023,138114.461199907,0.366856573511578,0.366856573511578,""
"14","Solano",430000,415000,NA,332137.5,298923.75,1299.29501250354,381.958125,1681.25313750354,50437.5941251062,0.650277725394723,0.650277725394723,""
"15","Sonoma",681000,655000,NA,514250,462825,2011.7043699671,591.3875,2603.0918699671,78092.7560990129,0.464364553291749,0.464364553291749,""
"16","Los Angeles",545540,553330,NA,412947,371652.3,1615.41523473953,474.88905,2090.30428473953,62709.1285421858,0.482832140272634,0.482832140272634,""
"17","Orange County",810000,785000,NA,637500,573750,2493.84839252119,733.125,3226.97339252119,96809.2017756358,0.417564436426691,0.417564436426691,""
"18","Riverside County",397000,385000,NA,310250,279225,1213.67288436031,356.7875,1570.46038436031,47113.8115308094,0.595325657937517,0.595325657937517,""
"19","San Bernardino",278500,276250,NA,216750,195075,847.908453457205,249.2625,1097.17095345721,32915.1286037162,0.697587208814559,0.695243301230756,""
"20","San Diego",610000,610000,NA,479400,431460,1875.37399117594,551.31,2426.68399117594,72800.5197352781,0.480388464170989,0.480388464170989,""
"21","Ventura",635500,640000,NA,510000,459000,1995.07871401695,586.5,2581.57871401695,77447.3614205086,0.509616502158142,0.478582676828879,"R"
"22","Monterey",590000,599950,NA,476000,428400,1862.07346641582,547.4,2409.47346641582,72284.2039924747,0.430325399026032,0.430325399026032,""
"23","San Luis Obispo",596400,594325,NA,467500,420750,1828.82215451554,537.625,2366.44715451554,70993.4146354662,0.468200046947705,0.468200046947705,""
"24","Santa Barbara",675000,710000,NA,662150,595935,2590.27719703201,761.4725,3351.74969703201,100552.49091096,0.310189635952913,0.310189635952913,""
"25","Santa Cruz",850000,855000,NA,684250,615825,2676.73060797275,786.8875,3463.61810797275,103908.543239182,0.353139476867675,0.353139476867675,""
"26","Fresno",258000,255000,NA,202300,182070,791.381223226725,232.645,1024.02622322673,30720.7866968018,0.659619604952348,0.659619604952348,""
