"","RegionSalesCar","2018 Q1","2017 Q4","2017 Q1","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",538640,550990,497980,430912,2168.0324355874,619.436,2787.4684355874,111498.737423496,0.314447587707777,0.28896568679369,"",0.316397124575571,""
"2","CA Condo/Townhomes",449720,446800,413720,359776,1810.12837318499,517.178,2327.30637318499,93092.2549273998,0.390839418811292,0.376869468292656,"R",0.396538559066528,""
"3","Los Angeles Metropolitan Area",5e+05,496250,459000,4e+05,2012.50597392266,575,2587.50597392266,103500.238956906,0.324247036813996,0.307435915256127,"",0.33118104873286,""
"4","Inland Empire",350000,340000,325000,280000,1408.75418174586,402.5,1811.25418174586,72450.1672698344,0.430461536114778,0.427214338889601,"",0.43660250017805,"R"
"5","S.F. Bay Area",9e+05,895000,780330,720000,3622.51075306078,1035,4657.51075306078,186300.430122431,0.234352129637581,0.214146340393612,"",0.249415807983977,""
"6","United States",245500,247800,232100,196400,988.140433196024,282.325,1270.46543319602,50818.617327841,0.571466767431348,0.55697785567206,"",0.573480475120446,""
"7","Alameda",875000,867250,798000,7e+05,3521.88545436465,1006.25,4528.13545436465,181125.418174586,0.217414267375465,0.197320218135646,"",0.212661009901421,""
"8","Contra-Costa",615000,612000,562500,492000,2475.38234792487,707.25,3182.63234792487,127305.293916995,0.355885374131336,0.342738975410312,"",0.369269921252505,""
"9","Marin",1360000,1250000,1200000,1088000,5474.01624906962,1564,7038.01624906962,281520.649962785,0.183771599978508,0.178651465992733,"",0.179703915109936,""
"10","Napa",679000,675000,668000,543200,2732.98311258697,780.85,3513.83311258697,140553.324503479,0.277421946647176,0.25242248432307,"",0.241812369640784,""
"11","San Francisco",1610000,1501504,1300000,1288000,6480.26923603095,1851.5,8331.76923603095,333270.769441238,0.146038928170048,0.120847397727395,"",0.127655394550722,""
"12","San Mateo",1575049.5,1500000,1300000,1260039.6,6339.59305594779,1811.306925,8150.89998094779,326035.999237911,0.145537460452886,0.144571148339689,"",0.153143422514158,""
"13","Santa Clara",1373000,1270000,1070000,1098400,5526.34140439161,1578.95,7105.29140439161,284211.656175665,0.167446211038748,0.150212926109953,"",0.186072096348487,""
"14","Solano",430000,415000,390750,344000,1730.75513757348,494.5,2225.25513757348,89010.2055029394,0.417654450882592,0.437339691840211,"",0.451283468716084,""
"15","Sonoma",681000,655000,605000,544800,2741.03313648266,783.15,3524.18313648266,140967.325459306,0.214624053450951,0.234430516601121,"",0.249873204969538,""
"16","Los Angeles",545540,553330,485820,436432,2195.80501802753,627.371,2823.17601802753,112927.040721101,0.277656740773198,0.252899107031857,"",0.289070486477341,""
"17","Orange County",810000,785000,750000,648000,3260.2596777547,931.5,4191.7596777547,167670.387110188,0.210832520915757,0.210142020833522,"",0.21428374501028,""
"18","Riverside County",397000,385000,365000,317600,1597.92974329459,456.55,2054.47974329459,82179.1897317836,0.390935243316627,0.384011521788473,"",0.393574906208571,""
"19","San Bernardino",278500,276250,255000,222800,1120.96582747492,320.275,1441.24082747492,57649.6330989968,0.516795830058951,0.502831476107204,"",0.524341247496209,""
"20","San Diego",610000,610000,564000,488000,2455.25728818564,701.5,3156.75728818564,126270.291527426,0.259061720340467,0.256147523196452,"",0.278478984352457,""
"21","Ventura",635500,640000,6e+05,508400,2557.8950928557,730.825,3288.7200928557,131548.803714228,0.311785059227286,0.264858675290569,"",0.282146880714826,"R"
"22","Monterey",590000,599950,560000,472000,2374.75704922873,678.5,3053.25704922873,122130.281969149,0.23129523394881,0.21190470295582,"",0.227989143225593,""
"23","San Luis Obispo",596400,594325,550000,477120,2400.51712569494,685.86,3086.37712569494,123455.085027798,0.246154493292129,0.240046130265402,"",0.262309487363068,""
"24","Santa Barbara",675000,710000,779000,540000,2716.88306479559,776.25,3493.13306479559,139725.322591823,0.219822834831806,0.175875163124901,"",0.142505093013767,""
"25","Santa Cruz",850000,855000,805000,680000,3421.26015566851,977.5,4398.76015566851,175950.406226741,0.146669980724538,0.167563851756093,"",0.174653455059008,""
"26","Fresno",258000,255000,238000,206400,1038.45308254409,296.7,1335.15308254409,53406.1233017636,0.486886310481312,0.46208186388678,"",0.478672710065058,""
"27","Kern (Bakersfield)",231500,233250,219000,185200,931.79026592619,266.225,1198.01526592619,47920.6106370476,0.558733712170795,0.537208332742817,"",0.552681961338223,""
"28","Kings County",232000,225000,215000,185600,933.802771900112,266.8,1200.60277190011,48024.1108760045,0.518594374154894,0.517064461618238,"",0.528595316406614,""
"29","Madera",255000,235000,238000,204000,1026.37804670055,293.25,1319.62804670055,52785.1218680222,0.495217490921488,0.488941630172662,"R",0.470855200219437,""
"30","Merced",262500,250000,228500,210000,1056.56563630939,301.875,1358.44063630939,54337.6254523758,0.42881515623916,0.47608157906126,"",0.504990054798127,""
"31","Placer County",465000,453750,435000,372000,1871.63055574807,534.75,2406.38055574807,96255.2222299228,0.443765229427657,0.439443746717148,"",0.445549350927307,""
"32","Sacramento",355000,349900,319720,284000,1428.87924148509,408.25,1837.12924148509,73485.1696594035,0.443247230932275,0.431208808312438,"",0.4603915736974,""
"33","San Benito",560000,552000,525000,448000,2254.00669079337,644,2898.00669079337,115920.267631735,0.324158323090753,0.310120975997077,"",0.319271534733705,""
"34","San Joaquin",362500,349950,315000,290000,1459.06683109393,416.875,1875.94183109393,75037.673243757,0.39586883042146,0.409994574053026,"",0.44565274435955,""
"35","Stanislaus",3e+05,298250,275000,240000,1207.50358435359,345,1552.50358435359,62100.1433741438,0.484431036305333,0.453668253182355,"",0.475239710677442,""
"36","Tulare",225000,220000,212000,180000,905.627688265195,258.75,1164.3776882652,46575.1075306078,0.503185451892043,0.521071835866639,"",0.523882810535217,""
"37","Amador",330750,325000,295000,264600,1331.27270174984,380.3625,1711.63520174984,68465.4080699935,0.45181503446429,0.437952898020574,"",0.469210907107998,""
"38","Butte County",307000,308500,282000,245600,1235.67866798851,353.05,1588.72866798851,63549.1467195404,0.405474327113253,0.387595581162165,"",0.410639215595062,""
"39","Calaveras",315000,301500,286629,252000,1267.87876357127,362.25,1630.12876357127,65205.1505428509,0.46287683123407,0.497451011129956,"",NA,NA
"40","El Dorado County",489000,455000,429000,391200,1968.23084249636,562.35,2530.58084249636,101223.233699854,0.418770125434377,0.422526687818295,"",0.433684886765958,""
"41","Humboldt",300050,310500,295000,240040,1207.70483495099,345.0575,1552.76233495099,62110.4933980394,0.361659851774497,0.343737111014792,"",0.3552524727495,""
"42","Lake County",266450,265000,217000,213160,1072.46443350338,306.4175,1378.88193350338,55155.2773401353,0.397899071917294,0.358767382385308,"",0.427341938770131,""
"43","Lassen",171000,180000,177000,136800,688.277043081548,196.65,884.927043081548,35397.0817232619,0.6826072309601,0.651282669876009,"",NA,NA
"44","Mariposa",292500,291750,302000,234000,1177.31599474475,336.375,1513.69099474475,60547.6397897902,0.441030278455913,0.482929976559406,"",0.458138008171884,"R"
"45","Mendocino",412500,389500,4e+05,330000,1660.31742848619,474.375,2134.69242848619,85387.6971394477,0.247830561753058,0.278176326038117,"",0.258601676237199,""
"46","Mono",780000,588500,612250,624000,3139.50931931934,897,4036.50931931934,161460.372772774,0.0779362531461252,0.186965584450268,"",NA,NA
"47","Nevada",4e+05,395000,380000,320000,1610.00477913812,460,2070.00477913812,82800.191165525,0.366259621308614,0.388831980680296,"",NA,NA
"48","Plumas",271000,295000,305000,216800,1090.77823786608,311.65,1402.42823786608,56097.1295146432,0.466050014597343,0.452564000330556,"",NA,NA
"49","Shasta",249900,255000,235500,199920,1005.85048576654,287.385,1293.23548576654,51729.4194306618,0.487444213407567,0.474225600336191,"",0.494068775145989,""
