"","RegionSalesCar","2018 Q3","2018 Q2","Quarter_Rev","2017 Q3","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",588530,596650,NA,555680,444544,2163.53066490671,639.032,2802.56266490671,112102.506596268,0.284137030603603,0.284138785368646,""
"2","CA Condo/Townhomes",479390,477790,NA,446800,357440,1739.60822970112,513.82,2253.42822970112,90137.1291880448,0.375529253766276,0.382078033829701,""
"3","Los Angeles Metropolitan Area",526000,530000,NA,502000,401600,1954.52849442695,577.3,2531.82849442695,101273.139777078,0.30208575889415,0.30208575889415,""
"4","Inland Empire",362500,360000,NA,339900,271920,1323.39489094765,390.885,1714.27989094765,68571.1956379061,0.426472548654735,0.426472548654735,""
"5","S.F. Bay Area",950000,1035000,NA,860000,688000,3348.39542869956,989,4337.39542869956,173495.817147982,0.226892751155122,0.226892751155122,""
"6","United States",266900,269000,"1",254000,203200,988.944696383358,292.1,1281.04469638336,51241.7878553343,0.547293707409777,0.547293707409777,""
"7","Alameda",950000,1e+06,NA,865000,692000,3367.8628439827,994.75,4362.6128439827,174504.513759308,0.196351679724072,0.196351679724072,""
"8","Contra-Costa",660000,695000,NA,624450,499560,2431.28549471098,718.1175,3149.40299471098,125976.119788439,0.33171175436934,0.33171175436934,""
"9","Marin",1300000,1400000,NA,1225000,980000,4769.51674436856,1408.75,6178.26674436856,247130.669774742,0.181641024511013,0.181641024511013,""
"10","Napa",729500,707250,NA,653000,522400,2542.44443597769,750.95,3293.39443597769,131735.777439108,0.263904405934735,0.263904405934735,""
"11","San Francisco",1600000,1625000,NA,1370000,1096000,5334.07178757953,1575.5,6909.57178757953,276382.871503181,0.127729689025099,0.127729689025099,""
"12","San Mateo",1600000,1650000,NA,1441250,1153000,5611.48245536423,1657.4375,7268.91995536423,290756.798214569,0.147560189889671,0.147560189889671,""
"13","Santa Clara",1300000,1405000,NA,1165000,932000,4535.90776097091,1339.75,5875.65776097091,235026.310438837,0.17025542694974,0.17025542694974,""
