"","RegionSalesCar","2018 Q3","2018 Q2","Quarter_Rev","2017 Q3","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",588530,596650,NA,472328,425095.2,1847.7088996749,543.1772,2390.8860996749,71726.582990247,0.468708997422174,0.468710957261209,""
"2","CA Condo/Townhomes",479390,477790,NA,379780,341802,1485.66861570463,436.747,1922.41561570463,57672.4684711388,0.558528293921086,0.564137875260107,""
"3","Los Angeles Metropolitan Area",526000,530000,NA,426700,384030,1669.21585739418,490.705,2159.92085739418,64797.6257218255,0.494599211803307,0.494599211803307,""
"4","Inland Empire",362500,360000,NA,288915,260023.5,1130.2120914906,332.25225,1462.4643414906,43873.9302447181,0.613781326892317,0.613781326892317,""
"5","S.F. Bay Area",950000,1035000,NA,731000,657900,2859.6128234243,840.65,3700.2628234243,111007.884702729,0.411478569764833,0.411478569764833,""
"6","United States",266900,269000,"1",215900,194310,844.583322267177,248.285,1092.86832226718,32786.0496680153,0.708525286260233,0.708525286260233,""
"7","Alameda",950000,1e+06,NA,735250,661725,2876.23847937444,845.5375,3721.77597937444,111653.279381233,0.378008744445144,0.378008744445144,""
"8","Contra-Costa",660000,695000,NA,530782.5,477704.25,2076.37817161314,610.399875,2686.77804661314,80603.3413983943,0.529864755440172,0.529864755440172,""
"9","Marin",1300000,1400000,NA,1041250,937125,4073.28570778461,1197.4375,5270.72320778461,158121.696233538,0.322077951129459,0.322077951129459,""
"10","Napa",729500,707250,NA,555050,499545,2171.31066708845,638.3075,2809.61816708845,84288.5450126535,0.472298866555134,0.472298866555134,""
"11","San Francisco",1600000,1625000,NA,1164500,1048050,4555.42973033871,1339.175,5894.60473033871,176838.141910161,0.239203312073625,0.239203312073625,""
"12","San Mateo",1600000,1650000,NA,1225062.5,1102556.25,4792.34532762822,1408.821875,6201.16720262822,186035.016078847,0.25306290887721,0.25306290887721,""
"13","Santa Clara",1300000,1405000,NA,990250,891225,3873.77783638292,1138.7875,5012.56533638292,150376.960091488,0.33022445508118,0.33022445508118,""
"14","Solano",455000,450000,NA,353387.5,318048.75,1382.42329225425,406.395625,1788.81891725425,53664.5675176274,0.631065418133064,0.631065418133064,""
"15","Sonoma",660000,695000,NA,535500,481950,2094.8326497178,615.825,2710.6576497178,81319.729491534,0.452503577268562,0.452503577268562,""
"16","Los Angeles",628940,557220,NA,505843.5,455259.15,1978.81882249772,581.720025,2560.53884749772,76816.1654249315,0.398078404365015,0.398078404365015,""
"17","Orange County",830000,830000,NA,671500,604350,2626.85364012232,772.225,3399.07864012232,101972.35920367,0.396423994001512,0.396423994001512,""
"18","Riverside County",405000,405000,NA,328950,296055,1286.82577054094,378.2925,1665.11827054094,49953.5481162281,0.572675306230389,0.572675306230389,""
"19","San Bernardino",294900,290000,NA,229500,206550,897.785421307629,263.925,1161.71042130763,34851.3126392289,0.680597720442977,0.680597720442977,""
"20","San Diego",650000,645000,NA,515950,464355,2018.35463234715,593.3425,2611.69713234715,78350.9139704145,0.453227060945251,0.453227060945251,""
"21","Ventura",665000,670000,NA,538900,485010,2108.13317447791,619.735,2727.86817447791,81836.0452343374,0.486705847907577,0.486705847907577,""
"22","Monterey",622000,647000,NA,497250,447525,1945.20174616653,571.8375,2517.03924616653,75511.1773849959,0.411132203639024,0.411132203639024,""
"23","San Luis Obispo",640000,618500,NA,509150,458235,1991.75358282693,585.5225,2577.27608282693,77318.2824848078,0.434392704744527,0.434392704744527,""
"24","Santa Barbara",599500,695000,NA,564854.75,508369.275,2209.66605536543,649.5829625,2859.24901786543,85777.4705359628,0.387023120373736,0.387023120373736,""
"25","Santa Cruz",903000,905000,NA,705500,634950,2759.85888772345,811.325,3571.18388772345,107135.516631704,0.34474197358017,0.34474197358017,""
"26","Fresno",275060,270000,NA,221000,198900,864.534109407347,254.15,1118.68410940735,33560.5232822204,0.627660065618886,0.627814083243444,""
"27","Kern (Bakersfield)",246000,244000,NA,199750,179775,781.40582965664,229.7125,1011.11832965664,30333.5498896992,0.697811021888474,0.697811021888474,""
"28","Kings County",230000,235000,NA,191250,172125,748.154517756358,219.9375,968.092017756358,29042.7605326907,0.696566417978019,0.696566417978019,""
"29","Madera",260000,259000,NA,225165,202648.5,880.827252238485,258.93975,1139.76700223849,34193.0100671546,0.628397648392584,0.606761089843875,"R"
"30","Merced",276320,265000,NA,216750,195075,847.908453457205,249.2625,1097.17095345721,32915.1286037162,0.659663072794302,0.659663072794302,""
"31","Placer County",480000,495900,NA,386750,348075,1512.93469146286,444.7625,1957.69719146286,58730.9157438857,0.625822384734229,0.625822384734229,""
"32","Sacramento",370000,374000,NA,297500,267750,1163.79591650989,342.125,1505.92091650989,45177.6274952967,0.614656679503873,0.614656679503873,""
"33","San Benito",610000,571000,NA,467500,420750,1828.82215451554,537.625,2366.44715451554,70993.4146354662,0.525411134394951,0.525411134394951,""
"34","San Joaquin",370000,373375,NA,299412.5,269471.25,1171.27746168745,344.324375,1515.60183668745,45468.0551006236,0.591506987786642,0.591506987786642,""
"35","Stanislaus",319900,315000,NA,250750,225675,980.913701058336,288.3625,1269.27620105834,38078.2860317501,0.641845019572934,0.641845019572934,""
"36","Tulare",239900,233000,NA,191250,172125,748.154517756358,219.9375,968.092017756358,29042.7605326907,0.683859612077817,0.683859612077817,""
"37","Butte County",315000,320000,NA,254915,229423.5,997.206843889474,293.15225,1290.35909388947,38710.7728166842,0.568459642556692,0.568459642556692,""
"38","Calaveras",332950,329000,NA,288150,259335,1127.21947341958,331.3725,1458.59197341958,43757.7592025874,0.629589903309511,0.629589903309511,""
"39","El Dorado County",489500,525000,NA,393337.5,354003.75,1538.70445818558,452.338125,1991.04258318558,59731.2774955673,0.594061453983459,0.594061453983459,""
"40","Humboldt",315000,315000,NA,270300,243270,1057.39171842899,310.845,1368.23671842899,41047.1015528696,0.525006024725774,0.525006024725774,""
"41","Lake County",266250,283000,NA,212457.5,191211.75,831.116540947563,244.326125,1075.44266594756,32263.2799784269,0.548878302045355,0.548878302045355,""
"42","Lassen",175000,192500,NA,158525,142672.5,620.13696694027,182.30375,802.44071694027,24073.2215082081,0.784569458759164,0.784569458759164,""
"43","Mariposa",315000,320000,NA,229500,206550,897.785421307629,263.925,1161.71042130763,34851.3126392289,0.677341018478588,0.655204862293833,"R"
"44","Mendocino",420000,430000,NA,332350,299115,1300.12629530105,382.2025,1682.32879530105,50469.8638590314,0.460540566468552,0.460540566468552,""
"45","Mono",675000,624500,NA,485350,436815,1898.64990950613,558.1525,2456.80240950613,73704.072285184,0.463202082397949,0.463202082397949,""
"46","Nevada",429500,435000,NA,334050,300645,1306.7765576811,384.1575,1690.9340576811,50728.0217304331,0.585071647751683,0.585071647751683,""
"47","Plumas",282000,297000,NA,242250,218025,947.662389158053,278.5875,1226.24988915805,36787.4966747416,0.630492889044391,0.630492889044391,""
"48","Shasta",275000,265500,NA,212500,191250,831.282797507064,244.375,1075.65779750706,32269.7339252119,0.661870446050126,0.661870446050126,""
"49","Siskiyou County",214200,207500,NA,172975,155677.5,676.66419717075,198.92125,875.58544717075,26267.5634151225,0.659608797526942,0.659608797526942,""
"50","Sutter",298500,299950,NA,238510,214659,933.031811921929,274.2865,1207.31831192193,36219.5493576579,0.698864062938855,0.698864062938855,""
"51","Tehama",223950,215900,NA,177225,159502.5,693.289853120891,203.80875,897.098603120891,26912.9580936267,0.730698064773988,0.730698064773988,""
"52","Tuolumne",318000,308500,NA,245650,221085,960.962913918166,282.4975,1243.46041391817,37303.812417545,0.638447829284668,0.638447829284668,""
"53","Yolo",450000,469500,NA,369750,332775,1446.43206766229,425.2125,1871.64456766229,56149.3370298687,0.513638734661881,0.513638734661881,""
"54","Yuba",270000,290000,NA,228238.6,205414.74,892.850926621627,262.47439,1155.32531662163,34659.7594986488,0.619363061271346,0.619363061271346,""
