"","region","Price2018-Q3","Price2018-Q2","principal2018-Q3","pmt2018-Q3","t_i2018-Q3","pti2018-Q3","min_inc2018-Q3","HAI2018-Q3","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","Price2017-Q3","principal2017-Q3","pmt2017-Q3","t_i2017-Q3","pti2017-Q3","min_inc2017-Q3","HAI2017-Q3"
"1","ACTON",599000,599950,479200,2505.51410005515,688.85,3194.36410005515,127774.564002206,0.372363411904418,479960,2489.25403018496,689.9425,3179.19653018496,127167.861207398,0.372587049333607,599000,479200,2332.19635091981,688.85,3021.04635091981,120841.854036792,0.388070956138676
"2","ADELANTO",222000,225000,177600,928.587863459503,255.3,1183.8878634595,47355.5145383801,0.373518927956512,180000,933.548056990776,258.75,1192.29805699078,47691.922279631,0.368351489659866,196500,157200,765.069420627283,225.975,991.044420627283,39641.7768250913,0.440223967756758
"3","AGOURA HILLS",895000,965000,716000,3743.63125133448,1029.25,4772.88125133448,190915.250053379,0.332016391236251,772000,4003.88388887155,1109.75,5113.63388887155,204545.355554862,0.297565726054524,880000,704000,3426.26508983211,1012,4438.26508983211,177530.603593284,0.303162251181164
"4","ALAMEDA",1018618,945000,814894.4,4260.70410946573,1171.4107,5432.11480946573,217284.592378629,0.176279493952376,756000,3920.90183936126,1086.75,5007.65183936126,200306.07357445,0.198022532387311,909000,727200,3539.1760984743,1045.35,4584.5260984743,183381.043938972,0.186484056247981
"5","ALAMO",1564500,1745000,1251600,6544.03474046123,1799.175,8343.20974046123,333728.389618449,0.346244533471989,1396000,7240.18381977291,2006.75,9246.93381977291,369877.352790916,0.318592240133772,1645000,1316000,6404.77962815207,1891.75,8296.52962815206,331861.185126083,0.287660974893555
"6","ALHAMBRA",659500,641500,527600,2758.57520698893,758.425,3517.00020698893,140680.008279557,0.155732174039668,513200,2661.64923804259,737.725,3399.37423804259,135974.969521704,0.166073938772736,595000,476000,2316.6224186933,684.25,3000.8724186933,120034.896747732,0.182484625916569
"7","ALISO VIEJO",623000,590000,498400,2605.9019771859,716.45,3322.3519771859,132894.079087436,0.413822810469116,472000,2447.97046055359,678.5,3126.47046055359,125058.818422144,0.443535270871326,577500,462000,2248.48646520232,664.125,2912.61146520232,116504.458608093,0.45968593427808
"8","ALPINE",629895,622000,503916,2634.74257771993,724.37925,3359.12182771993,134364.873108797,2.18360274993347,497600,2580.74173977006,715.3,3296.04173977006,131841.669590802,18.0128255758549,605000,484000,2355.55724925957,695.75,3051.30724925957,122052.289970383,2.55401011587659
"9","ALTADENA",835000,850000,668000,3492.66155850759,960.25,4452.91155850759,178116.462340304,0.261560931028634,680000,3526.73710418738,977.5,4504.23710418738,180169.484167495,0.254252058984321,849500,679600,3307.51385660497,976.925,4284.43885660497,171377.554264199,0.234539364098743
"10","AMERICAN CANYON",576500,519000,461200,2411.40046524506,662.975,3074.37546524506,122975.018609802,0.344118699622535,415200,2153.38418479206,596.85,2750.23418479206,110009.367391682,0.392541330795909,510000,408000,1985.67635887997,586.5,2572.17635887997,102887.054355199,0.41424069746439
